cluster,name,authors_year,venue_or_url,near_neighbor,blinded_structural_role_induction,cross_script_transfer,uncertainty_aware,sealed_heldout_eval,what_it_does,notes
corpora-editions,PA-I-TO (pa-i-to) Linear B Epigraphic Project — RTI/3D epigraphy,"Alessandro Greco & Georgia Flouda, 2017 (ASAtene 95:143–160); with Lavinia Giorgi (graphology/RTI, 2022)",https://www.paitoproject.it/en/ ; academia.edu/37390708; ASAtene 95 (2017); CREWS Project blog 2022-08-10,FAR,False,False,False,False,"Epigraphic/philological project producing a new critical edition of 94 Knossos Linear B tablets mentioning pa-i-to (Phaistos), using non-invasive digital capture: portable 3D laser scanning plus Reflectance Transformation Imaging (RTI) to reproduce engraved sign shape/orientation/stroke sequence as ","An imaging/palaeography-and-graphology project operating at the physical-glyph/stroke level (how signs were incised, scribal-hand identification), orthogonal to text-structure role/schema induction. No computational induction, no cross-script transfer, no held-out ML evaluation. Relevant only as a scribal-hand data source; FAR on every axis of the novelty claim."
computational-decipherment / ancient-script NLP,"Luo, Cao & Barzilay 2019 — Neural Decipherment via Minimum-Cost Flow: from Ugaritic to Linear B","Jiaming Luo, Yuan Cao, Regina Barzilay, 2019","ACL 2019, https://aclanthology.org/P19-1303/ (arXiv 1906.06718)",MODERATE,False,True,False,False,"Seq2seq character-level cognate model trained via a minimum-cost-flow objective to recover phonetic correspondences between a lost script and a KNOWN related language (Ugaritic->Hebrew, Linear B->Greek). Reports 67.3% correct cognate translation on Linear B.","The canonical computational-decipherment work in the cluster, but it is fundamentally PHONETIC and REQUIRES a known cognate language — the exact opposite of the blinded, structure-only, gloss-hidden premise. 'Cross-script' here means script->known-language phonetic mapping, not structure-only role transfer. No held-out site/scribe/family partition; evaluated on cognate recovery, not administrative"
computational-decipherment / ancient-script NLP,"Luo, Hartmann, Santus, Cao & Barzilay 2021 — Deciphering Undersegmented Ancient Scripts Using Phonetic Prior","Jiaming Luo, Frederik Hartmann, Enrico Santus, Yuan Cao, Regina Barzilay, 2021","TACL 2021, arXiv 2010.11054",FAR,False,True,False,False,Joint segmentation + phonetic decipherment of undersegmented scripts using a phonetic/linguistic prior and neural sequence modelling; tested on scripts like Gothic and Ugaritic.,"Same Barzilay lineage; its central mechanism is a PHONETIC prior — precisely what the novelty claim excludes and blinds against. No administrative role/schema, no held-out site/scribe eval, no uncertainty calibration. In-cluster but methodologically orthogonal."
computational-decipherment / ancient-script NLP,"Papavassileiou, Kokkinos & Alexandridis 2023 — A Generative Model for the Mycenaean Linear B Script (text infilling)","Katerina Papavassileiou, Dimitrios I. Kosmopoulos, et al., 2023","ACM JOCCH 16(3), https://dl.acm.org/doi/10.1145/3593431",FAR,False,False,False,True,Bidirectional RNN generative language model of Mycenaean Greek in Linear B that infills/restores damaged words on tablets; beats n-gram baselines. Authors state an aspiration to later apply Linear-B-trained models to Linear A.,"This is the 'Papavassileiou Linear B restoration' work named in the brief. It USES the actual Greek readings (fully un-blinded), does character/word restoration not administrative role/schema induction, and does not transfer cross-script (transfer is only future aspiration). Held-out masked-token eval exists but on word-forms with known glosses, not blinded roles."
computational-decipherment / ancient-script NLP,Papavassileiou et al. 2024 — Restoring Mycenaean Linear B 'A&B' series tablets,"Papavassileiou et al., 2024","ML4AL 2024 workshop, https://aclanthology.org/2024.ml4al-1.13.pdf",FAR,False,False,False,True,Follow-up restoration/infilling of specific Knossos Linear B tablet series using neural language models.,"Restoration task on read Linear B; readings fully available. Not role/schema induction, not blinded, not cross-script."
computational-decipherment / ancient-script NLP,Neural Representation Learning for Scribal Hands of Linear B,2021 (arXiv 2108.04199),arXiv 2108.04199,MODERATE,False,False,False,True,"Self-supervised/representation learning over Linear B sign images to characterize and cluster scribal hands (paleography), enabling held-out scribe analysis.","Genuinely structure/representation-only and does held-out-scribe generalization — overlaps the 'held-out scribe' evaluation axis — but the TASK is paleographic scribal-hand identity, not administrative role/document-schema induction, and there is no cross-script transfer or reading-blinding ablation."
computational-decipherment / ancient-script NLP,"Born, Monroe, Kelley & Sarkar 2025 — Disambiguating Numeral Sequences to Decipher Ancient Accounting Corpora","Logan Born, M. Willis Monroe, Kathryn Kelley, Anoop Sarkar, 2025",arXiv 2502.00090 (cs.CL),NEAR,True,False,True,True,Disambiguates multi-valued proto-Elamite numeral signs using structural properties of administrative documents plus bootstrapped classifiers with a 'cautious rule selection' (uncertainty-aware) mechanism; contributes a held-out test set.,"The single nearest computational method: it operates STRUCTURE-ONLY on an UNDECIPHERED administrative/accounting corpus (readings genuinely unavailable), is explicitly UNCERTAINTY-AWARE (cautious rule selection), and ships a held-out test set. But it is numeral-value disambiguation, not role/schema induction over document families; there is NO cross-script transfer gate, NO deliberate blinding-as-"
computational-decipherment / ancient-script NLP,"Born, Kelley, Kambhatla, Chen & Sarkar 2019 — Sign Clustering and Topic Extraction in Proto-Elamite","Logan Born, Kate Kelley, Nishant Kambhatla, Carolyn Chen, Anoop Sarkar, 2019","LaTeCH-CLfL @ NAACL 2019, https://aclanthology.org/W19-2516/",MODERATE,True,False,False,False,"Unsupervised hierarchical clustering, n-gram statistics, and LDA topic models over the undeciphered proto-Elamite administrative corpus; replicates some manual findings and surfaces novel sign relationships as a decipherment aid.","Structure-only, distributional induction of sign groupings/'topics' on an undeciphered accounting corpus — conceptually adjacent to schema induction — but it is exploratory unsupervised clustering with NO held-out generalization test, NO uncertainty gate, and NO cross-script transfer. Predecessor of the 2025 paper."
computational-decipherment / ancient-script NLP,Contextual reconstruction of Linear A administrative meaning without decipherment (2026 scholarship),"unattributed survey/essay coverage, 2026 (GreekReporter Jan 2026; gertitashkomd overview)",https://greekreporter.com/2026/01/15/reconstruct-linear-a-crack-language/,MODERATE,False,False,False,False,"Argues that much of the economic/administrative CONTENT of Linear A tablets is recoverable by human deductive analysis of administrative logic, numeral structure, and archaeological context WITHOUT reading the Minoan language.","The closest CONCEPTUAL statement of 'recover administrative roles without decipherment/glosses,' so worth citing to frame the idea — but it is a human, non-computational, non-benchmarked scholarly argument: no model, no blinding ablation, no cross-script transfer gate, no held-out partition, no preregistration/uncertainty. It motivates the claim rather than pre-empting the method."
computational-decipherment / ancient-script NLP,Machine Learning for Ancient Languages: A Survey (Sommerschield et al. 2023),"Thea Sommerschield, Yannis Assael, et al., 2023","Computational Linguistics 49(3), MIT Press",FAR,False,False,False,False,"Field-wide survey of ML for ancient languages (restoration, attribution, decipherment, OCR/HTR).","Used as a coverage check: the survey's decipherment coverage is dominated by phonetic/restoration/attribution work (Luo/Barzilay, Ithaca/Aeneas, restoration LMs). No entry describes a blinded, structure-only administrative role/schema benchmark with a cross-script transfer gate — consistent with (though not proof of) novelty. Absence in a survey is not proof; treat as corroborating, not decisive."
