sign_id,ab_number,la_attestations,damos_attestations,cog_attestations,conventional_value,value_source,homomorphy_grade,cypriot_stable,value_space,maskable,robust_anchor,source_status,citations,disagreement_notes
KO,B070,15,1734,115,ko,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
KU,B081,154,416,44,ku,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
MA,B080,117,496,48,ma,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
ME,B013,43,759,66,me,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
MI,B073,92,313,27,mi,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
MU,B023,15,42,2,mu,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
NA,B006,157,1050,50,na,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
NE,B024,57,445,39,ne,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
NI,B030,123,463,37,ni,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
NU,B055,59,190,12,nu,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
NWA,B048,1,25,2,nwa,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,False,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
O,B061,14,1382,70,o,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
PA,B003,101,940,53,pa,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
PA3,,46,0,0,pa3,data.py bridge convention,pending_primary,pending_primary,unicode_lb_syllabary_74,False,False,secondary,"scripts/cross_script/data.py bridge: GORILA romanization == Unicode LB syllable value (Unicode chart cross-check); NOT in the litindex seed — needs citation before graduating to seed status || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
PI,B039,57,635,70,pi,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
PO,B011,8,584,69,po,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
PU,B050,23,261,14,pu,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
PU2,B029,13,52,12,pu2,data.py bridge convention,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"scripts/cross_script/data.py bridge: GORILA romanization == Unicode LB syllable value (Unicode chart cross-check); NOT in the litindex seed — needs citation before graduating to seed status || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
QA,B016,45,274,14,qa,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
QE,B078,45,541,22,qe,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
QI,B021,1,105,5,qi,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,False,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
RA,B060,116,1359,113,ra,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
RA2,B076,51,66,6,ra2,data.py bridge convention,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"scripts/cross_script/data.py bridge: GORILA romanization == Unicode LB syllable value (Unicode chart cross-check); NOT in the litindex seed — needs citation before graduating to seed status || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
RE,B027,124,1039,104,re,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
RI,B053,77,855,77,ri,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
RO,B002,95,1647,128,ro,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
RU,B026,92,389,40,ru,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
SA,B031,138,370,34,sa,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
SE,B009,65,219,23,se,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
SI,B041,145,797,60,si,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
SU,B058,52,165,16,su,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
TA,B059,150,1286,113,ta,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
TA2,B066,16,20,1,ta2,data.py bridge convention,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"scripts/cross_script/data.py bridge: GORILA romanization == Unicode LB syllable value (Unicode chart cross-check); NOT in the litindex seed — needs citation before graduating to seed status || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
TE,B004,125,1194,96,te,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
