approx_size,format,gitignored,licence_or_terms,path,provenance_source,records_count_if_cheap,redistributable,relevant_to,what_it_is
2.9M,JSONL + JSON + log,yes,CC BY-NC-SA 4.0 (content); GPL-3.0 (software) — personal academic non-commercial use,corpus/bronze/linearb/damos/items.jsonl,"https://damos.hf.uio.no/ public JSON API, harvested by scripts/fetch_damos.py (1.0s delay, max_id 6000); Aurora 2015 citation","5,840 tablets -> ~13,562 wordforms",no (house policy; NC terms),"Linear B positive controls, cross-script transfer, morphology control, canary/decoy construction","DAMOS Mycenaean Linear B harvest — THE DAMOS wordform source: 5,840 tablet records (jsonl) parsed by scripts/cross_script/data.py:65 (DAMOS_ITEMS) via load_b_damos() into ~13,562 syllabic wordforms; plus collections.json + harvest.log"
920 lines,.cog text,yes,distributed in a GPL-3.0 repo (data terms not separately stated),corpus/bronze/linearb/linear_b-greek.cog,"ftamburin/CSA_OptMatcher GitHub (per MANIFEST.txt, hash-pinned)",920,unclear (repo is GPL-3.0 but data provenance is Tamburini's paper),CSA sufficiency/decipherment-simulation experiments (primary LB->Greek analogue),Linear B - Greek cognate pairs for CSA-style decipherment simulation
326K,.cog text,yes,UNSTATED for the data; host repos GPL-3.0 (CSA) / NeuroDecipher licence not recorded,"corpus/bronze/ugaritic/{uga-heb.gold,uga-heb.full,uga-heb.noisy}.cog","gold+noisy from ftamburin/CSA_OptMatcher; full from j-luo93/NeuroDecipher (MANIFEST.txt, hash-pinned)","2,215 / 43,952 / 4,442",unclear,"known-decipherment calibration analogues (Ugaritic->Hebrew), CSA/matcher validation","Ugaritic-Hebrew cognate sets: gold 2,215 / full 43,952 / noisy 4,442 rows"
~29M (with EditDistanceWild),Python + .cog data + shallow .git clone,yes,GPL-3.0 (LICENSE in repo),corpus/bronze/code/CSA_OptMatcher/ (incl. data/*.cog),"github.com/ftamburin/CSA_OptMatcher; cite Tamburini, Frontiers in AI 2025, DOI 10.3389/frai.2025.1581129","7 datasets, 9,491 total data rows",yes (GPL-3.0; data terms unclear),CSA sufficiency sweeps and any anchor-transfer simulation; NOTE serial path (processes=1) is BROKEN — parallel only,"Tamburini 2025 coupled-simulated-annealing decipherment code + its bundled datasets: csyl-greek.cog (694 = Cypriot syllabary->Greek), linear_b-greek.cog (920), linear_b-greek.names.cog (920), RWT2002_Luv-Hit.cog (136, Luvian-Hittite), StarlingDB_Ph-Ug.cog (164, Phoenician-Ugaritic), uga-heb.no_speNL.cog (2,215), uga-heb.no_speNoisy.cog (4,442), FixNULL (empty fixture)"
included in 29M above,C++/CUDA + built artifacts,yes,GPL-3.0,corpus/bronze/code/EditDistanceWild/,github.com/ftamburin/EditDistanceWild,n/a (code),yes,dependency of CSA experiments,CUDA/CPU edit-distance-with-wildcards extension required by CSA_OptMatcher (built .so for cpython-311 present)
1.7G,text-fabric (.tf) + docs + git clone,yes,"data CC BY-NC 4.0 (README License section, verbatim); repo code MIT",corpus/bronze/hebrew/bhsa/,github.com/ETCBC/bhsa (VU Amsterdam); DOI 10.17026/dans-z6y-skyh,"whole Hebrew Bible, 7 data versions",NC only; house policy: no,"decoy/canary language material (consumed by scripts/comparison/{run_canary,ablation,lfake}.py) and Semitic-family tests",ETCBC BHSA — full Hebrew Bible with linguistic annotation in text-fabric format (multiple versions 2011-2021 under tf/)
9.5K,JSON,yes,UNSTATED (lineara.xyz has no open licence),"corpus/bronze/palaeo/{linA_codepoint_map.json,results_palaeo.json}",codepoint map parsed from lineara.xyz ideograms.js; results generated locally. NO PROVENANCE.md in dir,2 files,no,image/palaeography channel experiments,Linear A Unicode codepoint->value map + palaeo experiment results (classical vs I-JEPA image runs)
3.5M (688 files),PNG + JSON manifest,yes,"font caveat recorded in manifest: 'UFAS; tightened 2024; gitignored bronze, research-only, not redistributed'",corpus/bronze/sign_images/,rendered locally from Aegean.ttf (Douros UFAS) + lineara.xyz codepoint map + Unicode LB names,88 linA / 74 linB / 525 damaged,no,"image-leg / homomorphy experiments (the cross-script image leg was previously graded circular, cap <=0.75)","Rendered sign glyph images: 88 Linear A + 74 Linear B PNGs + 525 damaged variants (erode/occlude/noise/rotate/scale) + manifest.json (96px, seed-pinned, 55 shared anchors)"
618K,TTF,Aegean.ttf yes; the two Noto fonts are TRACKED in git (force-added),"Aegean = UFAS (tightened 2024, research-only per manifest caveat); Noto = SIL OFL 1.1",corpus/bronze/fonts/,Douros UFAS; Google Noto,3,Noto yes; Aegean unclear/no,rendering signs for image experiments and figures,Aegean.ttf (George Douros) + NotoSansLinearA/B-Regular.ttf
136M,PDF (16 files) + zip,yes,"personal use only (verbatim: 'personal use; GITIGNORED, never redistributed, never committed')",corpus/bronze/salgarella_2020/,"operator's Cambridge Core personal download, 2026-07-03; SHA-256s in SHA256SUMS; DOI 10.1017/9781108783477","16 PDFs, 416 pp.",no,"homomorphy grading / LA-LB sign-relationship anchors (consumed by crossscript_gate anchors.csv, salgarella taxonomy notes)","Salgarella 2020, Aegean Linear Script(s) (CUP) — complete per-chapter PDFs (ch.2 LA pp.42-177; ch.3 LB; ch.4 interpretative models; sign index) + source zip"
970K,PDF,yes,author self-archival permission post-embargo; no reuse licence stated,corpus/bronze/steele_meissner_2017/chapter-6.pdf,authors' CREWS project self-archive (embargo expired); SHA-256 in PROVENANCE.md,1,no,sound-value anchor grades (experiments/crossscript_gate/steele_meissner_2017.py page-cited constants),"Steele & Meissner 2017, 'From Linear B to Linear A: backward projection of sound values' (Oxbow ch. offprint, 54 pp.)"
934K (38 pp.),PDF + derived TXT,yes,CC BY-NC-SA 4.0 (journal-stated),corpus/bronze/delfreo_rapport_koronowesa/,"University of Crete ejournals, DOI 10.26248/ariadne.vi.1843, downloaded 2026-07-03, sha-pinned",1,NC-SA-permitted but house policy: no,corpus-completeness audit (source of the 4 committed post-GORILA additions); new-finds watch,"Del Freo, Rapport 2016-2021 on CH/LA/LB texts (Ariadne Suppl. 5, pp. 87-124; LA = pp. 96-108) + rapport.txt extraction"
6.0M,PDF x2 + HTML,yes,"CC BY-NC-SA 4.0 (article page, verbatim class)",corpus/bronze/kanta_etal_2024_anetaki/,Ariadne ejournals DOI 10.26248/ariadne.vi.1841 + operator-supplied variant; sha-pinned,1 article (17/30 pp. variants),NC-SA-permitted but house policy: no,prospective Anetaki II programme; GAP_DELTA = PENDING-FULL-EDITION,"Kanta/Nakassis/Palaima/Perna 2024 Anetaki overview (KN Zg 57+58 ivory sceptre, ~119 signs, longest known LA inscription; prints NO transliterated sequences) — 2 PDF variants + article page"
1.9M,PDF,yes,CC BY (open access),corpus/bronze/anetaki_context/henkel_margaritis_2022_religions.pdf,"MDPI Religions 13(1):81, DOI 10.3390/rel13010081, operator-supplied 2026-07-03",1,yes (CC BY),Anetaki-watch context only,Henkel & Margaritis 2022 archaeobotany of the Fetish Shrine (context only; NO inscription content); carries the Anetaki II series citation pointer
26M,PDF (40 pp.),yes,UNSTATED (freely distributed newsletter),corpus/bronze/kentro_newsletters/Kentro_2021_WEBSITEviewing.pdf,"INSTAP public web-viewing copy, operator-supplied 2026-07-03",1,unclear,Anetaki-watch context only,INSTAP Kentro newsletter Vol. 24 (2021): Anetaki archaeobotany pp. ~21-24; corroborates Anetaki volumes in prep; NO inscription content
90K,HTML + MD,yes,UNSTATED,corpus/bronze/prepub_prediction_2024_ivory_circle/,Academia.edu page via Wayback Save Page Now 2026-07-03; posted 2024-02-07,1 prediction (2 hypotheses),no,gradable prediction registry for Anetaki II publication day,"REGISTRY OBJECT, NOT EVIDENCE: Chiapello 2024 dated pre-publication prediction on KN Zg 57/58 (Wayback HTML + text rendering; the PDF itself NOT acquired — login-gated)"
2.0M,PDF (200 pp. volume) + HTML,yes,(c) author/publisher; open archive posting; no reuse licence,corpus/bronze/rjabchikov_2025_sceptre/,"publisher's open conference archive sciencen.org (KOF-1370), retrieved 2026-07-03, sha-pinned",1 article (pp. 100-106),no,quarantine/contamination gating; mechanically gradable vs Anetaki II,"REGISTRY OBJECT, NOT EVIDENCE — FRINGE/DISPUTED: Rjabchikov 2025 self-attributed 'decipherment' of KN Zg 57/58 from photographs (full proceedings PDF + Wayback page); readings quarantined via litindex.py"
