experiment,prior_instance,prior_data_source,prior_representation,prior_algorithm,prior_null,prior_evidential_channel,prior_outcome,proposed_classification,material_difference
E205,"Frontier allograph/site block: EPOCH-008 (stroke recovery partial, SOURCE UNBLOCKED, PC 5/5 - epochs/EPOCH-008/result.json), EPOCH-009 (stroke channel calibrated useful, 802 SigLA docs), EPOCH-012 (allograph structure CONFOUNDED by doc->site tracer), EPOCH-013/018 (component-decomposition matcher, survives adaptive null), EPOCH-017/020 (SITE_ALLOGRAPH_REAL on INV/topology partition - honest verdict SITE_LOCAL, survives matched adaptive null)","SigLA glyph vector data (corpus/bronze sigla database; 802 docs / 376 signs / bboxes per sigla-decoded memory), GORILA/silver crosswalk",stroke-count/topology skeleton features + component decomposition per glyph,"feature-partition allograph clustering with de-confounding (photograph/second-rendering), adaptive nulls >=200-999 realizations",matched-marginal adaptive nulls (E018/E020); doc-tracer de-confound design (E017),palaeographic shape variation -> site/scribal structure (L1),site-allograph signal REAL but SITE_LOCAL; decomposition NEUTRAL; exhaustion map still classes F2 SOURCE_BLOCKED for true stroke CONTOURS (bbox/vector-skeleton only; facsimiles not accessibly available),REPLICATION,"Allograph clustering + site attribution on the existing SigLA-derived features is done and adaptive-null-validated; re-running it is replication unless E205 ingests genuinely new shape data (GORILA plate contours / photos / 3D - the 'most valuable unblocked-if-acquired second channel' per METHOD_EXHAUSTION_MAP.md, and the never-built stroke-corpus channel per OPEN_AND_UNTESTED_METHODS.md). Note unresolved tension: E008 says 'SOURCE UNBLOCKED' (partial skeletons from SigLA vectors) vs F2 'SOURCE_BLOCKED' (full contours)."
E205,"F23_SPATIAL block EPOCH-076..090 (15 epochs: glyph size cross-site, size-frequency economy, h/v spacing regularity, width-artifact qualification E083, margins, header size/length/width, HT layout registers) - final/METHOD_EXHAUSTION_MAP.{md,json}, master table rows E076-E090",SigLA per-glyph bounding boxes,"normalized glyph geometry (size, position, spacing, row structure)",cross-site frozen-rule tests with PC-passed mechanical verdicts,"width/height-preserving randomization nulls (E083/E084), position permutation",physical layout measurement (L2),"SUPPORTED_RELATIVE_ONLY family-wide: several cross-site positives, many SITE_LOCAL, one width-artifact QUALIFICATION",DUPLICATE,"Bbox-geometry measurement of LA writing is a 15-epoch closed family; an E205 'measurement' leg on the same bboxes re-treads it. Only new physical data or a new question (e.g., hand-level attribution, next row) differs."
E205,Scribal-hand attribution BELOW site level: NO prior instance found in either source (closest: E017 site-level allograph; E012 confound; admin_schema ADMIN-04 document grouping),n/a (absence of record),n/a,n/a,n/a,palaeographic hand attribution (L1),NOT_ATTEMPTED (per keyword scan of 214 instances + 105 epochs),NEW,"Hand-level (scribe) attribution and a hand-conditioned corpus partition were never built; GORILA/SigLA hand assignments were never modeled. Power warning: the site-level allograph signal was only SITE_LOCAL on bbox/skeleton features, so hand-level separation likely needs the unacquired stroke-contour data; and E012 shows the document->site tracer confound must be designed out."
E205,"Transcription-uncertainty priors: PC-35-representation-audit (sensitivity LOW/LOCALIZED under plausible ambiguity treatments), CE-B1-sigla-cross-edition-independence, CE-B2-sign-allography-recount (259 = 92 syllabary + 108 ligatures + 13 damage...), PC-03-inventory-ontology, LC-01-SIGLA-SILVER-RECONCILE, EGY-08 (transcription/sign-value sensitivity)","GORILA vs SigLA editions, silver corpus",transcription-treatment variants of corpus statistics,sensitivity/forensic audits (no probabilistic model),n/a (audits),edition/transcription robustness (L1),"STRUCTURAL_ONLY: statistics robust, inventory reconciled; no posterior over uncertain readings exists",EXTENSION,"Prior work audited sensitivity point-wise; a full uncertainty-PROPAGATING transcription model (posterior over damaged/ambiguous sign identities fed into downstream analyses, incl. the graduated A-initial finding's noted-but-unrun SigLA-inventory cross-check) was never built. Bounded value: GRADUATED_FINDINGS.md marks the SigLA cross-check as same-lineage, not independent replication."
E206,"la_lb_continuity campaign LC-01..LC-13, esp. LC-06-CONTINUITY-MATCHING-MODEL (exact identity A1-A5, no free mapping: PRIMARY_B(11) x EVALUATION(16) = 0 matched pairs), LC-08 (10 null families, N=4000; freq-matched FP 1.25%), LC-09 (held-out + known-pair LOO), LC-10 (power: H_exact full, H_drift NO_POWER), LC-11 (circularity audit)",LA candidate toponym packet (frozen) x independent LB toponym target manifest; 5 known-pair continuities audited (LC-03 TRIVIAL_RECOVERY),cross-script wordform identity/drift matching,"exact-identity record matching, run ONCE after freezes; drift variants power-analyzed",10 end-to-end null families N=4000,cross-script onomastic (toponym) linkage (L5),NULL_PUBLISHED (0 matches); drift/fuzzy regime NO_POWER at current corpus,DUPLICATE,"Cross-script (LA<->LB) onomastic linkage is closed: exact matching returned a published null with full power, and any probabilistic (Fellegi-Sunter-style) fuzzy linkage lands in the H_drift regime already shown NO_POWER (LC-10). Personal-name variant equally covered: EA-07 Keftiu names TRIVIAL_RECOVERY, EA-02 NO_POWER, G1-G3 anchor audit -> SEED_A=0."
E206,"Within-LA entity linkage: frontier EPOCH-032 (cross-site recurrent administrative word-forms - MACHINERY_UNINFORMATIVE, the site-shuffle null failed its PC), EPOCH-068 (A-marked vocab more cross-site shared, POSITIVE_RELATIVE), EPOCH-053 (no entry-word lexicon restriction)","LA silver, cross-site word-form recurrences",word-form recurrence across documents/sites,site-label-shuffle significance of shared forms,site-shuffle null (FAILED its own positive control),within-corpus record linkage of recurrent forms (L2/L3),MACHINERY_UNINFORMATIVE - no claim either way; adjacent positives exist,EXTENSION,"A gated, prosopography-style WITHIN-LA linkage (same entity across tablets, document-context-gated, with a null whose PC actually passes) genuinely redoes E032's unanswered question with a fixed null design. Cap on record: yields anonymous identity classes at L2/L3 only - no name readings (SEED_A=0, all licences NOT_EARNED); the E032 PC failure is the concrete design hazard to solve."
E207,"Morphology lineage LIN-07 end-state: PC-05/PC-08 (pooled/stratified NULL vs L_fake bigram floor), PC-07 (LB control HAS power), FND-09, E1_morphology (three anonymous models: MDL/Bayesian/FSM-paradigm -> A- only), E5_wrongstruct, PC-34 (PYP-Gibbs/adaptor-grammar-adjacent + tuned Morfessor/MDL segmentation), frontier EPOCH-015 (segmentation-marginalized morphology), EPOCH-022/023/024/025/050/103+E103R (the graduated A-initial finding), EPOCH-038..043 (prefix-paradigm/positional-specialization block), EPOCH-064/067 (initial concentration depth-2)","LA silver (packed units + GORILA words), LB control corpus",segmented wordforms; affix/paradigm hypotheses; positional distributions,"MDL, Bayesian, FSM-paradigm induction; PYP-Gibbs; segmentation-marginalization; maxT adaptive nulls",within-word permutation + best-of-candidates maxT (E022 p=0.0002); campaign-wide null E104R (1/400 false graduation),LA-internal morphological distribution (L2/L3),"One graduated finding: A-initial positional enrichment (REPLICATED_RELATIVE_CONSTRAINT, L2/L3, no value, prefixhood FORBIDDEN as assertion); everything beyond A- closed or underpowered",DUPLICATE,"MDL and adaptor-grammar-class morphology induction on LA is done to exhaustion and its ceiling is known (it re-finds A- and stops). Re-running these algorithm families changes nothing: same channel, same nulls, verdicts on file."
E207,Subregular characterization (SL/TSL/SP class of LA morphotactics/phonotactics with LB calibration): NO prior instance found (closest: E1_morphology's FSM-paradigm model; EPOCH-029 bigram collocation MACHINERY_UNINFORMATIVE; EPOCH-047 Markov doc grammar; EPOCH-048 sign-sequence near-random),n/a (absence of record),n/a,n/a,n/a,LA-internal distribution (L2),NOT_ATTEMPTED as a formal-language-class question,NEW,"Placing LA word-internal structure in the subregular hierarchy (with LB as the known-answer comparator) is a new formal target. Honest ceiling stated upfront: it is relabeling-invariant by construction (H3: 0 exploitable bits), so the maximum payoff is a sharper L2 typological constraint feeding language-tournament priors - never a value; E048's near-random sign-entropy result predicts low power."
E208,"Candidate-language tournaments: FND-19/FND-20/FND-21 (6 families + isolate, 3x200 realizations end-to-end nulls; decisive: random control beats Etruscan), H1_round1/H2_round2/H3_round3 (relative-class-, anchor-, morphology-first-constrained rounds - NULL/UNDERDETERMINED), FND-16 (agnostic reduced-K value search AT_END_TO_END_NULL), CE-G-language-family-gate (POWER_GATED_BEFORE_RUN), CE-J-end-to-end-null, EA-10-E8-CANDIDATE-LANGUAGE-TOURNAMENT (PROPOSED_ONLY - designed to run LAST, only after anchors exist; SEED_A=0 unmet)","LA silver + candidate-language lexica (West Semitic, Pre-Greek/Anatolian, Hurrian, Luwian, Etruscan, isolate) + random-language controls",sign->value maps scored by lexicon match under family phonotactics,bounded/beam search per family at equal budget; end-to-end match-rate scoring,per-family random-realization nulls (200 each) + calibration draws; L_fake floor,LA-internal lexical fit of candidate families (L8/L9),AT_END_TO_END_NULL for every family tested; the tournament-at-equal-budget design exists but is gate-blocked pending anchors,DUPLICATE,"A Luo-style neural joint model is a new ALGORITHM on a channel that is 6+ times at end-to-end null, and the exhaustion map's bottom line is explicit: re-opening requires new evidence, not new algorithms. The joint segmentation+decipherment idea specifically duplicates E015/H3 (morphology-first joint -> UNDERDETERMINED). EA-10's own prereg logic (run last, after anchors) is still unmet (SEED_A=0)."
E208,"Sufficiency leg: PC-22-csa-sufficiency-curve (INVALIDATED clamps) + PC-19/PC-21; frontier EPOCH-093 (LB->LA degradation surface, 108-cell factorial: LINEAR_A_ABOVE_THRESHOLD qualification)","LB->Greek, Cypriot->Greek known pairs; degraded-LB surrogates at LA scale",cognate wordform pairs / degraded token budgets,CSA_OptMatcher learning curve; factorial degradation,analytic/permutation chance floors per cell,known-answer sufficiency at LA data scale,"LB->Greek at chance floor at LA scale (lower-bound, at-floor branch non-definitive); 600-700-word cells unmeasured",EXTENSION,"Reframed as 'at what corpus scale does a Luo-style NEURAL decipherer succeed on LB->Greek / Cypriot->Greek?', E208 becomes a benchmark-on-analogues sufficiency measurement that (a) fixes PC-22's invalidated cells and (b) prices the neural variant - with NO LA claim attached. Any LA application remains gated by E208 row above."
E209,"Cross-script correspondence lineage LIN-08 (4th+ null): PC-10-ab-alignment-null (CCA/procrustes; positive control 0.947, LA NULL_PUBLISHED), crossscript gate Phase 0-2 incl. PC-32 (REFUTE, 8 vetted anchors, corrected two-attempt bar, LOTO-fragile; distributional channel 0.0000; prereg DOIs 10.5281/zenodo.21168887/21173639), F1_decompose (only admin_function calibratable -> NULL; 0/59 correspondences primary), F4_loso (R@5 0.071 vs shuffled 0.066, +Cypro-Minoan), FND-11 (WP4)","LA<->LB shared-sign pairs, anchors (I+RI pins one-toponym-deep), Cypro-Minoan compat set",distributional context vectors / sequence alignments over shared signs,"procrustes/CCA alignment, LOSO/LOTO prediction, decomposed per-channel calibration","permutation n=2000, shuffled-anchor negatives, LOTO survival bars",cross-script distributional correspondence (L6),NULL/REFUTE repeatedly (4+ independent implementations); any retry needs a NEW prereg + timestamp (crossscript-gate memory),DUPLICATE,"Recurrent sound-correspondence inference (List/Kondrak-style) presupposes paired readings LA lacks; on the only available pairing (LA<->LB sign correspondences) the channel is at its 4th+ null. The single materially different variant on record - OPEN_AND_UNTESTED_METHODS.md: use the LB-VALIDATED substitution consonant-axis (LIN-03) as the bridge feature instead of raw distribution, never implemented - would make E209 an EXTENSION; anything else re-runs a closed channel."
E210,"Same distributional-geometry channel as E209 (PC-10, PC-32, F1_decompose, F4_loso, FND-11) PLUS frontier EPOCH-101 (global network-flow constrained decipherment: capacity-Hungarian assignment -> GLOBAL_ASSIGNMENT_SELECTS_ARBITRARY_REPRESENTATIVE; NO_POWER target-free; 'cannot beat the anchor-lattice null') and EPOCH-098 ('determined-but-wrong' caution)",LA/LB sign co-occurrence graphs,weighted graphs / embeddings of sign contexts,"global combinatorial assignment (Hungarian), procrustes/CCA; annealed Potts",LB calibration + permutation nulls + anchor-lattice null,cross-script structural graph alignment (L6),BOUNDED_NEGATIVE / NULL: global optimizers pick arbitrary representatives of a huge equivalence class; channel itself at 0.0000,DUPLICATE,"Partial/unbalanced Gromov-Wasserstein is a new optimizer on the same 5x-nulled channel, and E101 already demonstrated the failure mode of exactly this class (target-free global alignment). Materially different only if (a) the bridge feature is the validated substitution consonant-axis, or (b) a genuinely new second channel (stroke contours) supplies the graph - both are data/feature changes, not the OT algorithm."
E211,"Sign-level restoration: frontier EPOCH-097 (ECC + loopy belief propagation masked-sign reconstruction: calibrates on LB, but forward-BIGRAM beats BP on real LA; loopy BP actively harmful - FAILED_REPLICATION at LA), OBS-01 (masked logogram REFUTED for word-context), OBS-02 (masked quantity REFUTED/TRIVIAL), SEAL_5 relative-phonology (masked-notation ledger arithmetic - committed NULL)",LA silver with artificial masking; LB calibration corpus,sign factor graphs / n-gram contexts around masked positions,"BP decoding, bigram forward models, per-channel masked recovery",value-permutation and baseline-relative nulls per experiment,masked-token predictive recovery (L2/L3),sign-level restoration does not beat a bigram baseline on LA; word-context channels REFUTED,DUPLICATE,An HMM is in the same model class as the bigram baseline already shown to be the LA ceiling (E097); re-testing sign-level lacuna prediction re-runs a closed question.
E211,"Template/formula-level: OBS-03 (accounting closure 0.071 > null 0.049, sparse; masked-summand exact where present), OBS-04 (document-template completion M_template 0.508 > position 0.398 > global 0.338 on unseen docs - site-dependent, single-direction), OBS-05 (cross-site invariance leg: STRUCTURAL licence NOT_EARNED), frontier EPOCH-047 (Markov doc token-type grammar predictive held-out), EPOCH-031/037 (ledger word->numeral, line-final numeral CROSS_SITE_ROBUST), EPOCH-060..063/069 (template/marker positives), E2_formula + SEAL_2 (relative-phonology formula grammars, held-out SUPPORTED), CE-D1 (TRIVIAL_RECOVERY), ADMIN-04, DIMINO-D-LOSO (NO_POWER)","LA silver document structures (ledgers + libation formulas), held-out unseen documents","token-TYPE sequences (word/logogram/numeral/fraction/divider slots), formula slot grammars","Markov/template grammars, closure arithmetic, held-out completion scoring",baseline-relative (position/global) + permutation nulls; adaptive nulls on formula grammars,document-structure predictive completion (L2),L2 template channel genuinely positive (the campaign's best-validated structure) but site-dependent and never packaged as a restoration deliverable,EXTENSION,"A formula-profile HMM as an epigraphic RESTORATION TOOL - calibrated lacuna-fill distributions over token-types/slots, scored on artificially damaged held-out inscriptions across sites, with abstention - is a new deliverable on a validated channel: OBS-04 tested one direction on notation-type only, and no prior instance produced editor-usable restorations with uncertainty. Hard caps to inherit: restores SLOTS/notation-types, never readings (L2; STRUCTURAL licence NOT_EARNED per OBS-05); site-dependence is the known failure mode; KU-RO/terminal-total and libation-order grammars are the only cross-site-robust profiles to build on."
