method_id,canonical_name,campaign,branch_ref,claim_layer,method_family,implementation_status,scientific_outcome,mechanical_verdict,primary_metric_value,power,licence_earned,contamination_leakage,supersession_relations,record_confidence,_scope
NOHUM-04,Pre-Stage-5 power gate -> NO_POWER_BEFORE_MODELING (route closure),no_human_structure (No-Human Structural Decipherment),research/no-human-structural-decipherment,L4 (functional role) — power analysis before modeling,"analytical power gate (power_gate.py, Art. XVIII/VI)",POWER_GATED_BEFORE_RUN (Stage 5 NOT frozen/implemented; STOP per Sec VII),NO_POWER,NO_POWER_BEFORE_MODELING,est O2+D8 model accuracy 0.291 << min-detectable 0.92 at n=19 -> power_at_est_O2_D8 = 0.0; 2 load-bearing classes absent (VERIFIED_FROM_ARTIFACT power_gate.json),0.0 (definitive underpower); a larger model cannot repair a 19-unit sealed set or 2 missing classes,NONE,NOT_APPLICABLE,Route CLOSED -> pivot to observable_channels programme (OBS-*),HIGH,admin_structure
OBS-01,Experiment 1 — masked logogram (commodity channel) recovery from opaque word context,observable_channels (Observable Administrative Channel Recovery),research/observable-admin-channel-recovery,L3 (functional word-context),masked-target prediction (Naive-Bayes sign-bag M_sign + structure M_struct; masked_logogram.py),RUN_PREREGISTERED (charter gate pre-declared),REFUTED (per-channel NEGATIVE for word-context),"NEGATIVE — word-context does NOT beat series shortcut, transfers negatively cross-site; signal is the document-series shortcut, not transferable word context",M_sign 0.182 vs freq 0.175 / series 0.63 / null 0.144; M_struct 0.186; cross-site KN->nonKN M_sign 0.073 vs baseline 0.115 (NEGATIVE transfer) (VERIFIED_FROM_ARTIFACT masked_logogram.json),well-powered (457 A12 units; fixed the label-route underpower),NONE (FUNCTIONAL NOT_EARNED),A12 removes lexical identity; series shortcut explicitly the convenience to remove,Channel 1 of 2 L3 negatives feeding GATE_VERDICT (OBS-07),HIGH,admin_structure
OBS-02,Experiment 2 — masked quantity/accounting channel recovery (presence + magnitude),observable_channels (Observable Administrative Channel Recovery),research/observable-admin-channel-recovery,L3 (functional word-context),"masked-target prediction, two targets (presence, S/M/L magnitude); masked_quantity.py",RUN_PREREGISTERED,REFUTED (TRIVIAL_RECOVERY for functional word-context; only LAYOUT/L2 beats baseline),"per-channel NEGATIVE: M_sign below majority on presence and below null on magnitude; only M_struct (layout, L2) beats baseline",Presence: M_sign 0.651 < majority 0.680 / series 0.688 / null 0.611; M_struct 0.709; cross-site 0.579 vs 0.557. Magnitude: M_sign 0.637 < null 0.665; series 0.702; cross-site 0.69 vs 0.753 (negative) (VERIFIED_FROM_ARTIFACT masked_quantity.json),"well-powered (1,593 A12 units, balanced)",NONE (FUNCTIONAL NOT_EARNED),masked numeral excluded from predictor; A12 enforced,Channel 2 of 2 L3 negatives -> GATE_VERDICT (OBS-07); layout positive characterized in OBS-03/04,HIGH,admin_structure
OBS-03,Experiment 3 — accounting-closure structure + masked-summand reconstruction (L2),observable_channels (Observable Administrative Channel Recovery),research/observable-admin-channel-recovery,L2 (document structure) — numeral arithmetic only,arithmetic closure detection + masked-summand reconstruction (accounting_closure.py),RUN_PREREGISTERED,STRUCTURAL_ONLY (L2 positive but sparse; exact where present),closure 0.071 > null 0.049 (real but sparse); masked-summand reconstruction 1.000 vs 0.200 baseline where closing,closure exact 0.071 vs null 0.049; tol1 0.214 vs 0.143; KN 0.111 / nonKN 0.052; masked-summand reconstruction 1.000 vs 0.200 (n=25) (VERIFIED_FROM_ARTIFACT accounting_closure.json),closure concentrated at KN (formal totals); minority of documents,NONE (L2 known layer; earns no functional licence),masked summand excluded from its own reconstruction,Second structural channel evaluated by STRUCTURAL gate (OBS-06); feeds GATE_VERDICT,HIGH,admin_structure
OBS-04,Experiment 4 — document-template completion (notation-type) (L2),observable_channels (Observable Administrative Channel Recovery),research/observable-admin-channel-recovery,L2 (document structure) — notation-type template only,rest-of-document majority template prediction (template_completion.py),RUN_PREREGISTERED,"STRUCTURAL_ONLY (L2 positive, held-out; site-dependent/single-direction)","M_template 0.508 > position 0.398 > global 0.338 on unseen docs; strong at nonKN (0.633), absent at KN (0.407 < 0.443 baseline)","M_template 0.508 vs position 0.398 / global 0.338 (n=1324); KN 0.407 (< 0.443 base); nonKN 0.633 (vs 0.342 base, +0.29) (VERIFIED_FROM_ARTIFACT template_completion.json)","held-out unseen docs, real signal",NONE (L2 = already-known paper segmentation layer),masked entry excluded; held out by document,Primary structural channel entering STRUCTURAL gate (OBS-05/06); feeds GATE_VERDICT,HIGH,admin_structure
OBS-05,Experiment 5 — cross-site invariance of the template grammar (STRUCTURAL gate leg),observable_channels (Observable Administrative Channel Recovery),research/observable-admin-channel-recovery,L2 (document structure),cross-site transfer + type-distribution divergence + site-shuffle null (cross_site_invariance.py),RUN_PREREGISTERED,STRUCTURAL_ONLY (bidirectional but SITE_DEPENDENT; STRUCTURAL licence NOT_EARNED leg),SITE_DEPENDENT — template beats target baseline both directions but TVD 0.28 + gap null-p 0.0,KN->nonKN template 0.616 vs 0.238 baseline; nonKN->KN 0.389 vs 0.289; entry-type TVD 0.281; cross-site gap 0.227; site-shuffle null p=0.000 (VERIFIED_FROM_ARTIFACT cross_site_invariance.json),adequate (thousands of entries),NONE (fails 'no site dependence' condition),site identity removed as a feature,One of two STRUCTURAL-gate failure grounds -> GATE_VERDICT NOT_EARNED,HIGH,admin_structure
OBS-06,Experiment 6 — pseudo-script O2 (sign permutation) + D8 (LA-like sparsity) stress test,observable_channels (Observable Administrative Channel Recovery),research/observable-admin-channel-recovery,L2 (document structure),pseudo-script invariance + degradation sweep (pseudo_script_o2d8.py),RUN_PREREGISTERED,STRUCTURAL_ONLY (template O2-robust but sign-agnostic/content-free; closure D8-fragile),"O2: template 0.497 = 0.497 (identical -> carries NO sign/lexical content); D8: template robust, closure decays to null (0.033 vs 0.054 at 35% retention)","O2 template 0.497->0.497 identical; D8 template 0.497/0.591/0.602/0.589 (> baseline 0.408->0.48); closure 0.071/0.049/0.047/0.033 vs null 0.049/0.036/0.008/0.054; LA vs LB density mean 2.73 vs 2.29 entries/doc, both 28% >=3 entries (VERIFIED_FROM_ARTIFACT pseudo_script_o2d8.json)",LA density comparable to LB -> D8 mild; L2 grammar would be measurable on LA IF a STRUCTURAL licence were earned,NONE (STRUCTURAL_TRANSFER_LICENSE NOT_EARNED),O2 scrambles sign identity (model never sees permutation key),Final STRUCTURAL-gate leg -> GATE_VERDICT (OBS-07) NOT_EARNED,HIGH,admin_structure
OBS-07,Mechanical gate synthesis — OBSERVABLE_CHANNEL_READY = NO,observable_channels (Observable Administrative Channel Recovery),research/observable-admin-channel-recovery,L3 functional (primary) + L2 structural-transfer (secondary),mechanical gate synthesis over Exp 1-6 (Art. XV/XVI),RUN_CONFIRMATORY (gate evaluated),REFUTED (L3) + NO_POWER/NOT_EARNED (L2 structural-transfer) = complete well-powered negative,OBSERVABLE_CHANNEL_READY = NO; FUNCTIONAL_TRANSFER_LICENSE NOT_EARNED; STRUCTURAL_TRANSFER_LICENSE NOT_EARNED,0 of 2 L3 channels beat baseline; both structural-gate legs fail (SITE_DEPENDENT + D8-fragile + sign-agnostic) (VERIFIED_FROM_ARTIFACT via constituent JSONs),"well-powered negative (not underpower, unlike the label route)",NONE (SEMANTIC+ NOT_AUTHORIZED; no LA output authorized),A12 enforced across all L3 channels,Closes the admin_structure lineage; consistent with NOHUM-04 and ADMIN-06 negatives,HIGH,admin_structure
CE-A-identifiability-recount,Stage A identifiability reopening audit (syllabary parameter recount),linear_a_constraint_expansion,research/linear-a-constraint-expansion,meta (audit of L6 identifiability),identifiability/information-budget audit (parameter & constraint counting from ontology + corpus inventories),RUN_EXPLORATORY,NULL,"A_REOPENED — prior 259>212 INVALIDATED as category error; corrected budget is count-favourable structurally (92<212) but value-informative-deficient (~2 vs 92, 46x)",syllabic parameters = 92 (conservative); structural constraints = 212; structural ratio 0.434; value-informative constraints = 2; value deficit = 46x,NOT_APPLICABLE,none (favourable structural count explicitly NOT a licence — necessary not sufficient),"none (deterministic count of read-only artifacts; corpus never mutated, CA04)","SUPERSEDES the earlier linear-a 12h campaign headline '259 params > 212 => UNDERDETERMINED' (bac88a5); recorded as INVALIDATED category error, non-retroactively (prior UNDERDETERMINED conclusion stands qualitatively)",VERIFIED_FROM_ARTIFACT (all counts in data/stage_a_budget.json),constraint_expansion
CE-B2-sign-allography-recount,Stage B2 sign/allography inventory forensics,linear_a_constraint_expansion,research/linear-a-constraint-expansion,L0-L1 (physical/sign-id representation),sign-inventory forensics / allograph merging,RUN_EXPLORATORY,STRUCTURAL_ONLY,Confirms syllabary=92 (259 = 108 ligatures + 13 damage-tokens); allography removes only 7 params; no new defensible merges,syllabary = 92 confirmed; allography param reduction = 7; site-specific allography inflates lexical diversity <1%,NOT_APPLICABLE,none,ingest bug fixed (subscript key mismatch); answer-neutral,Supports/confirms Stage A parameter recount,"VERIFIED_FROM_ARTIFACT (syllabary=92, allography=7 in data/stage_b_representation.json + INFORMATION_BUDGET.json); B2 sub-token breakdown (108 ligatures/13 damage) REPORT_ONLY",constraint_expansion
CE-B1-sigla-cross-edition-independence,Stage B1 SigLA cross-edition independence check (AB-class contestation),linear_a_constraint_expansion,research/linear-a-constraint-expansion,"L1 (sign-id), bears on L5/L6 value channel",source-dependency / cross-edition agreement audit (Art. XI/XII),RUN_EXPLORATORY,STRUCTURAL_ONLY,SigLA = second digitization of same GORILA editions (0 held-out weight); AB value-class CONTESTED — 10 sign-numbers flip AB<->A-only across editions (34 tokens),38% byte-identical on 590 shared docs; ~90% of residual is edition convention; 10 signs / 34 tokens AB-class flip,NOT_APPLICABLE,none — discounts the (already circular) value channel further,Detects lineage-collapse risk: treating SigLA as independent would double-count (Art. XI),Reinforces prior 'SigLA already in repo / same lineage' finding,"VERIFIED_FROM_ARTIFACT (AB_class_signs_contested=10 in INFORMATION_BUDGET.json); 38%/590/34-token figures REPORT_ONLY (report md, no committed B1 json)",constraint_expansion
CE-B4-joins-effective-n,Stage B4 joins/duplicates effective_n recomputation,linear_a_constraint_expansion,research/linear-a-constraint-expansion,L0 (physical/effective_n),effective-n / independence-unit audit (Art. VIII),RUN_EXPLORATORY,STRUCTURAL_ONLY,Raw 1341 overstates independence -> 1242 physical objects; 565 distinct >=2-sign content signatures (~2.4x smaller usable lexical base),1341 raw -> 1242 objects -> 618 >=2-sign records -> 565 signatures; 600 nodules = 14 types,NOT_APPLICABLE,none,Prevents pseudo-replication (counting joined fragments as independent),Corrects effective_n used by prior campaigns,VERIFIED_FROM_ARTIFACT (effective_denominators 1341/1242/618/565 in data/stage_b_representation.json); 600-nodule/86-join figures REPORT_ONLY,constraint_expansion
CE-B5-notation-typing,Stage B5 notation-channel typing + cleaned phonetic wordform inventory,linear_a_constraint_expansion,research/linear-a-constraint-expansion,L1-L2 (sign-id/structure representation),notation typing / channel separation (representation cleanup),RUN_EXPLORATORY,STRUCTURAL_ONLY,26% of the word channel was non-phonetic contamination; produces 944 clean phonetic wordform types (was 1165) for Stage D,word tokens 3147 -> 2328 PHONETIC / 402 LIGATURE / 298 LOGOGRAM / 119 MIXED; 819 non-phonetic removed (26%); 944 clean phonetic wordform types; 417 logogram tokens separated,NOT_APPLICABLE,none,REMOVES prior contamination (logograms mis-routed into phonetic channel); prerequisite for D2 morphology and D4 accounting,Feeds and re-grounds Stage D; corrects prior wordform counts,"VERIFIED_FROM_ARTIFACT (2328/402/298/119, 944, 878, 417 in data/stage_b_representation.json; 819 removed in INFORMATION_BUDGET.json). CONFLICTING: B5 report text says '222 commodity logograms mis-routed' while committed data types 298 LOGOGRAM word-token types / 417 total logogram tokens separated — scope mismatch, not load-bearing to verdict",constraint_expansion
CE-B6-support-invariance-axis,Stage B6 context/support invariance-axis recovery,linear_a_constraint_expansion,research/linear-a-constraint-expansion,L0-L2 (metadata/structure),metadata forensics / invariance-axis identification,RUN_EXPLORATORY,STRUCTURAL_ONLY,"'context' field mislabelled (holds chronology, not archaeology); support/object-type is a genuine independent axis (H(support|site)=1.23 bits); finer findspot recoverable from Younger bronze",H(support|site) = 1.23 bits (support cross-cuts site),NOT_APPLICABLE,none,Corrects a metadata mislabel that could confound site/context analyses,Enables Stage D5 cross-support held-out test,REPORT_ONLY (H(support|site)=1.23 bits stated in report md; no committed B6 json),constraint_expansion
CE-C-source-discovery,Stage C new-source & evidence discovery audit,linear_a_constraint_expansion,research/linear-a-constraint-expansion,L0 (evidence inventory),source-discovery / independence & circularity audit (Art. XI/XII),RUN_EXPLORATORY,STRUCTURAL_ONLY,"C_NEW_INFORMATION_FOUND but none value-informative: Salgarella=shape/circular (<=0.75), Younger=same lineage + findspot, Kanta=1 new 5-sign inscription (KO-RO-NO-WE-SA), Chiapello=3rd-party registry object","1 new inscription (KO-RO-NO-WE-SA, 5 signs); 5 sources catalogued; 0 new non-circular value constraints",NOT_APPLICABLE,none,Explicitly flags Salgarella shape channel as circular (LB values baked in via transliteration); Younger/Kanta same lineage,Refines prior SWEEP/GAP source audit; un-blocks the standing Salgarella 2020 'absent/paywalled' blocker (now PRESENT but circular),VERIFIED_FROM_ARTIFACT (SOURCE_REGISTER.csv lists all 5 sources + KO-RO-NO-WE-SA); circularity/lineage verdicts REPORT_ONLY (report md),constraint_expansion
CE-D1-formula-grammar,Stage D1 formula-grammar mining,linear_a_constraint_expansion,research/linear-a-constraint-expansion,L2-L3 (structure/function),formulaic-template / recurring-frame mining,RUN_PREREGISTERED,TRIVIAL_RECOVERY,CONFIRMS_KNOWN — nothing beyond libation chain (7 stone vessels) + KU-RO/KI-RO; template coverage 0% under site/support holdout; recurring-frame count at chance (p=0.53),template coverage 0% under holdout; recurring-frame count p=0.53 (at chance); only libation beats order-shuffle,corpus too shallow (mean 2.3 words/inscription) — limits template detection,none (FUNCTIONAL not earned),run on cleaned material (logograms removed),Confirms prior formula findings on clean material,"REPORT_ONLY (0% coverage, p=0.53 in D report md; no committed D1 output json)",constraint_expansion
CE-D2-morphology,Stage D2 morphology paradigm test (clean material),linear_a_constraint_expansion,research/linear-a-constraint-expansion,L3-L5 (grammar/lexical),morphological induction with interpolated-bigram null control,RUN_PREREGISTERED,NULL,"NULL (has power, not NO_POWER) — paradigm model does not beat interpolated bigram on unseen-stem families; at lambda=0.9 plain bigram BEATS morph (CI excludes 0); naive unigram comparison would have been a FALSE POSITIVE, the honest control erased it",morph does not beat bigram; at lambda=0.9 bigram beats morph with CI excluding 0; k=1 reproduces (no multi-sign morphemes),"HAS POWER (Stage E LB positive control fires 0.5625 vs 0.3125) -> genuine NULL, not NO_POWER",none,clean material; false-positive control demonstrates gate integrity,Confirms and hardens prior morphology NULL on clean material; underpins Stage H relabeling-invariance proof,"REPORT_ONLY (lambda=0.9 bigram>morph, CI-excludes-0, k=1 in D report md; no committed D2 output json; LB positive-control numbers cross-referenced to Stage E/prior campaign)",constraint_expansion
CE-D4-accounting-closure,Stage D4 accounting-closure / fraction-typing test,linear_a_constraint_expansion,research/linear-a-constraint-expansion,L3 (function/arithmetic),accounting-closure test with metrological fraction typing,RUN_PREREGISTERED,TRIVIAL_RECOVERY,"CONFIRMS_KNOWN — typing fractions does NOT raise closure (8/31 exact both integer-only and with fractions, 25.8%); Bennett A700 hypothesis inert (0 closure problems use raw A700 glyphs); typing net-zero (fixes HT104, breaks spurious HT13); re-derives KU-RO=total (Bennett 1950s)",8/31 exact (25.8%) integer-only AND with fractions (net zero); A700 hypothesis inert (0 problems),planted control recovers 0.9 vs 0.22 null (p=0.003) -> has power; real LA fraction balance = 0.0 (p=1.0),none (re-derives Bennett; no new function),disputed fraction values explicitly flagged; typing improves fidelity not power,Confirms KU-RO=total; retires the A700 glyph-fraction hypothesis as inert,"REPORT_ONLY (8/31=25.8%, A700-inert, planted 0.9/0.22 p=0.003, LA balance 0.0 p=1.0 in D/EF report md; d4 script committed but no committed output json)",constraint_expansion
CE-D5-cross-site-support-invariance,Stage D5 cross-site/support phonotactic invariance (held-out),linear_a_constraint_expansion,research/linear-a-constraint-expansion,L2 (structure),cross-partition invariance / positional-grammar generalization test,RUN_PREREGISTERED,STRUCTURAL_ONLY,"CONFIRMS_KNOWN — a GENUINE held-out positive: word-initial positional grammar survives simultaneous site+support removal and cross-genre validation (cross-genre r=0.607 p=0.001; held-out r up to 0.931 p=0.0005), beating a metadata-preserving null; BUT it is the known CV-syllabary phonotactics (value-free)",cross-genre r=0.607 (p=0.001); held-out r up to 0.931 (p=0.0005),fires (significant held-out correlation),none (STRUCTURAL positive but re-derives known phonotactics; earns no functional/value licence),metadata-preserving null guards against site/support confound,Confirms known Linear A phonotactic structure held-out,"REPORT_ONLY (r=0.607 p=0.001, r<=0.931 p=0.0005 in D report md; script committed, no committed output json)",constraint_expansion
CE-D7-compression-grammar,Stage D7 administrative-grammar compression (held-out),linear_a_constraint_expansion,research/linear-a-constraint-expansion,L2 (structure),grammar-induction / minimum-description-length compression test,RUN_PREREGISTERED,STRUCTURAL_ONLY,"CONFIRMS_KNOWN — GENUINE held-out positive: induced grammar compresses held-out docs at 1.42 bits/tok vs 1.77 best baseline (positional-bigram), 2.57 unigram (+0.33 over all 6 baselines + both shuffled controls); BUT the structure is the known LA admin list format (word->numeral->line-break, totals penultimate)",1.42 bits/tok (grammar) vs 1.77 (positional-bigram best baseline) vs 2.57 (unigram); +0.33 over all baselines + shuffles,fires (beats all baselines held-out),"none (STRUCTURAL positive, known format; no functional/value licence)",series-disjoint; reads token categories not values,Strongest campaign structural positive; confirms known LA list format held-out,REPORT_ONLY (1.42 vs 1.77 vs 2.57 bits/tok in D report md; no committed D7 output json),constraint_expansion
CE-E-method-validation-battery,Stage E value-recovery method-validation battery (fires on known truth),linear_a_constraint_expansion,research/linear-a-constraint-expansion,meta (method validation for L5/L6 detectors),positive-control battery / detector-power validation (re-audit of prior committed artifacts),REPRODUCED,SUPPORTED,"METHOD_VALID_LA_NULL_IS_CORPUS — detectors fire on known/planted truth (LB morph 0.5625 vs 0.3125; opaque-LB self-persistence 11/11, 0 FP; planted power->1.0 top-1 0.997 at strength 13; metrology planted 0.9 vs 0.22 p=0.003; gate false-graduation 3/500=0.6%) and null on LA -> the LA null is a corpus/information-budget property",LB morph 0.5625 vs 0.3125 (has_morphology_power=true); opaque-LB 11/11 (0 FP); planted top-1 0.997 at s=13; metrology 0.9 vs 0.22 (p=0.003); gate FP 3/500=0.6% (CP upper 1.54%); KU-RO reconciliation 25% vs 1.47% null =17x (p=0.0005),DEMONSTRATED — detectors fire on truth; LA nulls therefore genuine (corpus property),none (validates detectors; no LA licence),"distinguishes KU-RO integer reconciliation control (17x, real integer sections) from planted metrology control (0.9 vs 0.22) — both HT-locked",Re-audit/reproduction of prior-campaign controls; grounds the campaign's 'null is the corpus' conclusion,"REPORT_ONLY within this worktree (all control numbers stated in EF report md; underlying artifacts live in the main/prior-campaign tree, cross-referenced by filename, not re-committed here)",constraint_expansion
