lineage,contradiction
admin_structure,"A_SIGN VOCAB COUNT (ADMIN-03): LINEAR_A_STRUCTURAL_CHANNEL_AUDIT reports A_SIGN vocab = 259, which conflicts with the corrected real-syllabary~=92 figure established in the separate constraint-expansion campaign (per MEMORY); 259 conflates variants/damaged forms. Cross-lineage note, not resolved within these three dirs."
admin_structure,"LF COUNT: reports/DECISION_LOG say '13 LFs' but weak_supervision_metrics.json has 14 LF entries (13 base + LF_CROSS_SOURCE_CONCORDANCE, a CROSS_CLASS meta-LF) — reconcilable but nominally inconsistent."
constraint_expansion,"STALE STATUS.md vs final verdict: STATUS.md ends mid-campaign ('Next: H+J, K, L') and is dated 2026-07-07 through Stages E+F only, while CAMPAIGN.md/CHECKPOINT_3_EL.md record all stages COMPLETE with FINAL VERDICT NEW_CONSTRAINTS_BUT_NO_DECIPHERMENT (commit 2996567). STATUS never updated to COMPLETE."
constraint_expansion,"Logogram-count scope mismatch (CONFLICTING, non-load-bearing): Stage B5 report text says '222 commodity logograms mis-routed into the phonetic word channel', but committed data/stage_b_representation.json types 298 LOGOGRAM word-token TYPES and 417 logogram_tokens_separated. Three different figures (222/298/417) for overlapping quantities; the 26%/819-token non-phonetic removal is internally consistent."
constraint_expansion,"SUPERSESSION direction: this campaign's Stage A INVALIDATES the earlier 12h-campaign '259 params > 212 constraints' as a category error (corrected to 92 syllabic params, count-favourable). Per orchestrator note + MEMORY, this campaign's own '259->92 + internal value-blindness' HEADLINE was itself later flagged SUPERSEDED downstream; load-bearing surviving results are the 92-syllabary recount and the relabeling-invariance value-blindness proof, not the prose framing."
constraint_expansion,"Stage E controls are re-cited, not re-run in this worktree: LB morphology 0.5625/0.3125, opaque-LB 11/11, planted 0.997@s13, KU-RO 17x, gate 0.6% are stated in EF report md but the underlying artifacts live in the main/prior-campaign tree (REPORT_ONLY here) — must not be counted as fresh runs of this branch."
constraint_expansion,"Stage F references two frozen preregistered one-shot REFUTEs (DOIs zenodo.21168887, 21173639) that were explicitly NOT re-run; F is an anchor-independence AUDIT (NO_POWER for the value lever), not a new confirmatory test."
di_mino,"S_morph is structurally VALUE-INVARIANT (identical 0.2738 under any relabelling) -> the PRIMARY preregistered held-out statistic has NO_DISCRIMINATIVE_POWER for the *301 value; the H1 REJECT therefore rests on the S_lex channel + combined gate, NOT on the primary statistic — a nuance easy to misread as 'S_morph rejects /na/' (it does not)."
di_mino,Family A TASK_LEDGER = REJECT but the S_morph leg is explicitly NO_DISCRIMINATIVE_POWER and /na/ is rank 1 on the weakest S_phono channel; the REJECT is driven only by S_lex rank 21/65 + failing E[max]. Different channels of the SAME family give opposite surface signals (phono rank 1 vs lex rank 21).
di_mino,"H4 is simultaneously PARTIAL_SUPPORT (L3 functional) in the core matrix yet family D (its leave-one-site-out test) returns NO_POWER; the functional support comes from family E structural analysis, not from the cross-site predictive test, which ties all baselines."
di_mino,The end-to-end FP rate is 1.0 (chain manufactured on essentially every null run) YET the verdict is a GENUINE negative rather than a dead-detector artifact — this only holds because the PC battery PASSED (PC3 recovers a planted value rank 1/113); the two results look mutually undermining but are the intended calibration pairing.
di_mino,"Prereg names IOZa6 as a held-out anchor, but IOZa6 sits on the derivation site Iouktas -> integrity flag; it can only be used leave-form-out, a self-caught partition contamination."
di_mino,"Verdict rejects the CHAIN while explicitly LEAVING the structural i-*301 core UNAFFECTED (mainstream Davis/Thomas) — a REJECT that is scoped, not a blanket refutation of the reading; and no impossibility of a Semitic etymology is claimed (III-y->III-h transform merely charged as unregistered)."
Foundry,"CORPUS-MULTIPLE CONFLICT: WP3.2b substitution power curve (FND-07) reports LA is ~1.7x below the clean regime, while WP5.2 seed-propagation power curve (FND-14) reports LA needs ~4.9x its corpus. Framed as different channels but never reconciled to one figure; both are quoted campaign-wide."
Foundry,"WP5.2 low-end curve is NON-MONOTONE: data/wp5_2_seed_propagation_power_curve.json shows size 300 kv=3 AUC=0.7747 > size 539 kv=3 AUC=0.647, contradicting the report's 'smooth monotone 0.647->0.752' framing and making the '~4.9x / crosses 0.70 at ~2620 wf' point estimate noisy."
Foundry,"ANCHOR INDEPENDENCE CONFLICT: data/wp5_anchor_inventory.json summary field n_held_out_survivable_candidate=26 (26 signs), but the report (WP4_WP5) and FINAL_CAMPAIGN_REPORT de-rate this to only 2 held-out survivors (I, RI) via the frozen cross-script gate — the JSON field is stale/optimistic vs the ~13x-overstatement finding."
Foundry,"STANDING SUPERSESSION (task-note, not intra-repo): the campaign's two live positive constraints — position->C/V symmetry-break (FND-02/04/10) and reduced-seed propagation (FND-13/14/18) — were LATER REFUTED as frequency artifacts by the relative-phonology campaign; the FINAL_CAMPAIGN_REPORT/STATUS still present them as standing corrections C1-C3."
Foundry,DATE INCONSISTENCY: FINAL_CAMPAIGN_REPORT header says 'Opened 2026-07-08 · Closed 2026-07-07' (close precedes open); STATUS/DECISION_LOG concur on 2026-07-07 close.
Foundry,"COMMIT-QUOTA MISS stated honestly: nominal quota 24+ commits vs 17 substantive foundry commits delivered (self-flagged in §9, Art. XII)."
Foundry,"WP3.2 substitution significance is reported two ways: report/DECISION_LOG cite z=7.07, while the data threshold-sweep table gives perm p=0.0033 — a presentational (not numerical) gap."
relative_phonology,"STALE STATUS.md: dated 2026-07-07 it still reads as scaffold ('Next automatic task: A1_reconstruct -> A2_multiplicity') while the campaign is CLOSED (M_FINAL_VERDICT/LICENCE_STATE 2026-07-08, NEW_CONSTRAINTS_BUT_NO_DECIPHERMENT). STATUS was never updated to the terminal state."
relative_phonology,"E3 cross-site contradiction: TASK_LEDGER E3 result_note and E_CROSS_SITE_GENERALIZATION.md assert 'only A- generalizes cross-site (non-HT p0.0099)', but K1 adaptive best-of-affix null downgrades this to ARTIFACT (adaptive p 0.4212) and M_FINAL_VERDICT sec.11 records it as an ERRATUM. The task-level artifact still carries the un-corrected positive; only the K/M layer carries the correction."
relative_phonology,SEARCH_RECEIPT.json is effectively EMPTY (families_searched/segmentation_variants/model_families/seed_selections all [] with note 'populated per task') despite a very large search space actually explored; the Art. VII global receipt was never populated (selection accounting lives instead inside K1_nulls.json).
relative_phonology,"Foundry supersession: three standing corrections recorded here (position->C/V frequency artifact A6; seed-propagation frequency artifact D3 pure-freq 0.872>seed 0.784; substitution axis re-scoped) directly supersede Foundry commits 0fafe40/ac73b4e interpretations — append-only ERRATUM/SUPERSEDING, Foundry record left intact."
relative_phonology,"Nuance not contradiction: the 7-feature CV label-perm p=0.01 (A1/A2) 'survives' config-search yet is declared NOT evidence of structure because log_freq_only AUC 0.838 >= full model — a real signal reclassified as a frequency prior, not a failed reproduction."
external_language,"STALE STATUS in continuity/STATUS.md: same file both declares 'CLOSED + ARCHIVED, split verdict H_exact=NULL_PUBLISHED/H_drift=NO_POWER' (header + §IX-§XV DONE row) AND leaves the pre-execution scaffold intact -- 'Verdicts (not yet issued): status=INCOMPLETE, channel_readiness=NOT_READY' with phase rows 6-10 unchecked. Final DECISION_LOG/closure supersede it; the INCOMPLETE/NOT_READY lines are stale."
external_language,STALE STATUS in ritual/STATUS.md: 'Verdicts (not yet issued)' header contradicts the very next line status=COMPLETE / NO_POWER and the phase table (rows 3-9 unchecked but row 10 COMPLETE). Final verdict is COMPLETE/NO_POWER.
external_language,"REPRODUCIBILITY ASYMMETRY across the lineage: continuity result JSONs are gitignored but their sha256 are hash-pinned in the TRACKED administrative_channel_closure.json (numbers REPORT_ONLY, integrity-anchored); ritual result JSONs (drift_feasibility/ritual_controls/ritual_nulls_power/ritual_final_verdict) are UNTRACKED working files on disk with NO committed hash ledger -- so ritual's load-bearing numbers (permissive-drift FP 99.6% etc.) are verifiable on disk this pass but not committed/hash-pinned."
external_language,"EA-02 toponym power envelope is entirely SYNTHETIC/PROVISIONAL (abstract Monte-Carlo, no real anchor-LA matching, params pending Hoch/Kilani calibration) yet CHANNEL_COMPARISON.md cites its Egyptian FP 0.22-0.30 side-by-side with the LA<->LB channel's real 1.25% as if a settled channel property; the Egyptian model was never fit."
external_language,"Branch-ref vs reality: charters name three distinct branches (research/external-minoan-anchors, .../la-lb-toponym-continuity, .../la-lb-ritual-feasibility) but the audited worktree is a single linear history on research/la-lb-ritual-feasibility -- the 'branches' are sequential forks collapsed into one commit chain, not concurrent live branches."
external_language,"EA-12 calibration: STATUS/DECISION_LOG say the Hoch data blocker was 'LIFTED by open research' (Kilani 2019 CC-BY), but the frozen correspondence model (EA-03) was still never fit and the calibration corpus never populated -- verdict correctly stays INCOMPLETE, not NO_POWER, but the 'unblocked' framing can be misread as 'done'."
paper_core,"CSA sufficiency curve (PC-22): the SUBMITTED TACL #11385 sentence says 'the completed 2,000-step curve splits the branches at the Linear-A-scale locator (600-700 words)' but Exit-B CONFIRMED the deposited LA-scale values (linb 0.044 n=276, cypriot 0.066 n=346) are _interp ENDPOINT CLAMPS from the last complete lower size - the 600-700 cells were recovery_mean=null/n_seeds_done=0 and NEVER measured; la_scale_in_swept_range=True is a false positive; invariant 12 (generated counts) BROKEN in the deposited paper. STEP_A ruled the sweep 'VALID AS-IS' (stochastic) while EXIT_B ruled the paper sentence inaccurate in 3 linked ways - a live framing tension; a 3rd clamp (ugaritic-noiseless 0.861) is deposited-only."
paper_core,"Identifiability parameter count: the 12h campaign (PC-41) + paper headline use 259 sign-value parameters > 212 constraints, but the cleaned-inventory (PC-03) + representation-audit + MEMORY establish the real conservative syllabary is V=92; MEMORY explicitly flags '259 params' as a count-favourable category error SUPERSEDED by the constraint-expansion campaign - so the headline parameter figure is inflated relative to the platform's own cleaned inventory."
paper_core,Frozen-paper corpus anchors vs recompute (PC-35): distinct_words=650 (paper) vs direct syllabogram recompute 1021 (+57%); mean_signs_per_word=2.3 (paper) vs 1.97 recompute - definitional gaps flagged in representation_audit but the paper is byte-frozen so uncorrected (would be an ERRATUM).
paper_core,Palaeo image leg (PC-12): commit 5e82576 message calls it 'cross-script IMAGE alignment SUCCEEDS (first non-null offensive signal)' but the final finding WITHDRAWS this and relabels it a CIRCULAR shape-genealogy engineering demonstration (review P2) - old commit chronology contradicts the settled verdict.
paper_core,"C.4 contamination (PC-15): the artifact contamination_rate=1.000 (all 32 defined seeds) directly contradicts the honest verdict 'the C.4 contamination delta is not yet a measurable quantity' - the 1.0 is a construction artifact, correctly reported as such but a raw-number/interpretation contradiction a naive reader would misread."
paper_core,"Stale STATUS: the 3 parked branches' Stage-1 STATUS.md are STALE (campaign T0 + MEMORY: branches are CLOSED negatives, not Stage-1); campaign ground-truth also lists post-submission Phase-2 as REFUTE while the frozen submitted paper reports its cross-script leg as an earlier null - the frozen paper predates PC-31/PC-32."
paper_core,Information floor (PC-04): finding headline 'the too-little-text excuse is false / there is enough ciphertext' was WITHDRAWN by two red-teams as an identifiability claim (conflates unique-key-exists with distinguishable-from-impostors); retained only as toy-model precondition and SUPERSEDED by the CSA learning curves.
