source_id,title,author_editor,year,identifier,institution,date_accessed,license,obtained,source_kind,refs,disagreements,checksum,rq,temporal_tier,priority,notes
SRC-ADNA-SKOURTANIOTI2023,aDNA of the Aegean Bronze Age (Aegean/Anatolia/Levant),Skourtanioti E. et al.,2023,doi-verify,journal,2026-07-06,open-abstract,metadata,secondary,Bronze Age Aegean population structure,modelling uncertainty,,RQ6,A,USEFUL,"Prior-tier evidence; no linguistic verdict."
SRC-GORILA,Recueil des inscriptions en lineaire A (GORILA),Godart L. & Olivier J.-P.,1976-1985,GORILA1-5,Ecole francaise d'Athenes,2026-07-06,licensed,none,edition,"the LA corpus editio princeps (already ingested, read-only)",sign readings/damage per inscription,see manifest,RQ1;RQ2;RQ3,A,BLOCKING,"Underlying edition of the read-only silver corpus; licensed — referenced not redistributed. Palaeographic variants for E-tests."
SRC-HOCH-SEMITIC,Semitic Words in Egyptian Texts of the New Kingdom and Third Intermediate Period,Hoch J.E.,1994,ISBN-9781400863884,Princeton University Press,2026-07-06,copyright,full,edition,group-writing correspondences for foreign (Semitic) words; 594pp,group-writing/vocalization debates,4df9bc092325648ccf1a83fe896e1c09aa403cc26a2c8a8d7040cea446632319,RQ2;RQ3,B,SATISFIED,"Egyptian foreign-name CALIBRATION corpus (REQ-02). Scan local-only (data/bronze/pdf_local); derived correspondence records only."
SRC-WIENER-BRONZETRADE,Bronze Age Trade (Nature/Control) — Kaptara/Kaptarite in the Mari archives,Wiener M.H.,various,malcolmwiener.net-Nature-Control,malcolmwiener.net,2026-07-06,open,full,secondary,"Kaptarite weapon; ARMT 342:4-12 clothing+leather shoes; bronze vessels+pincers from Kaptaru; tin route",column-doubled OCR,,RQ1;RQ5,A,SATISFIED,"OPEN pdf (28pp). Primary open source for the REQ-04 Mari Kaptara commodity/role ontology. Local-only scan."
SRC-ASTOUR-UGARITCAPHTOR,Ugarit and Caphtor,Astour M.C. (attrib.),n/a,gredos.usal.es-10366-73159,U. Salamanca (Gredos),2026-07-06,open,full,secondary,Ugaritic kptr/hkpt; Ktr-w-Hss; Caphtorian k phonology,,,RQ1;RQ6,B,SATISFIED,"OPEN pdf (7pp). Ugaritic kptr channel (SRC-UGARIT context). Local-only."
SRC-HOJENSORENSEN2009,Approaching Levantine Shores: Cretan contacts with Western Asia (MM-LMI),Hojen Sorensen A.,2009,PoDIA-VI-2009,Danish Institute at Athens,2026-07-06,copyright,full,secondary,"Mari Kaptara dossier with exact ARM refs (ARM 23/24/25/31); tin+interpreter (Heltzer 1989); Cretan mace (Dossin 1939); kap-ta-ra-yu",transliteration/translation variants noted,,RQ1;RQ3;RQ5,A,SATISFIED,"THE comprehensive REQ-04 source (52pp). Precise ARM text numbers + translits. Local-only scan."
SRC-PARDEE-MARILITSOURCES,Literary Sources for the History of Palestine and Syria: The Mari Archives,Pardee D.,var,mari-archives-survey,U. Chicago,2026-07-06,copyright,full,secondary,Mari-archives bibliographic survey; tin + Caphtorite mentions,,,RQ1,A,USEFUL,"Survey (15pp); background + tin/Caphtorite refs. Local-only."
SRC-DAUTAIS-GABOLDE2022,Crossing the Wine-Dark Sea from Knossos to Memphis: Hellenized Cretans in Egypt (BM EA 5647),Dautais L. & Gabolde M.,2022,JAEI-47-07,Journal of Ancient Egyptian Interconnections,2026-07-06,copyright,full,edition,"the 7 Keftiu names read as GREEK via Linear B onomastics; redated Amenhotep II",whether names are Greek vs pre-Greek (authors argue Greek),,RQ3,D,SATISFIED,"EA5647 edition (REQ-03). KEY FINDING: names are GREEK (earliest Greek names) -> NEGATIVE CONTROL for the Minoan channel, not an anchor. Local-only."
SRC-KILANI2019,Vocalisation in Group Writing: A New Proposal (Studia Monographica 20),Kilani M.,2019,10.37011/studmon.20,Widmaier Verlag / OAPEN,2026-07-06,CC-BY-4.0,full,edition,"group-writing -> vowel/sound model with explicit correspondences; Appendix A corpus; group index w/ variants; Onomasticon of Amenope",Egyptian-native (Coptic) not foreign-approx layer,,RQ2;RQ3,B,SATISFIED,"OPEN CC-BY, born-digital CLEAN text (161pp). CORE group-writing->sound calibration; derived correspondence data may be committed. Unblocks Task C."
SRC-TLA-LATEEG-HF,Thesaurus Linguae Aegyptiae — Late Egyptian v19 (Hugging Face),BBAW,2024,hf:thesaurus-linguae-aegyptiae/tla-late_egyptian-v19-premium,BBAW,2026-07-06,CC-BY-SA-4.0,metadata,corpus,machine-readable Late Egyptian lexical/text corpus (train.jsonl); ungated,,,RQ2,B,USEFUL,"OPEN ungated machine-readable Egyptian corpus; not yet fetched. Egyptian-side lexical data for the next pass."
SRC-KITCHEN-TOPLISTS,Egyptian New-Kingdom Topographical Lists: An Historical Resource,Kitchen K.A.,,memphis-Kitchen-12bzvto,U. Memphis (open),2026-07-06,open,full,secondary,"authoritative discussion of the NK foreign-toponym lists (8pp excerpt)",,,RQ1;RQ2,C,USEFUL,"OPEN 8pp; context for REQ-01 toponym-list collation + foreign-toponym renderings. Local-only."
SRC-SIGLA,SigLA — the Sign of Linear A palaeographical database,Salgarella E. & Castellan S.,ongoing,inscribercproject.com/SigLA/,SigLA project,2026-07-06,open,none,corpus,"machine-readable LA signs+inscriptions, palaeographic variants, interactive drawings, statistical",check export/API,,RQ1;RQ2,A,HIGH,"HIGH-value: authoritative machine-readable LA corpus + palaeographic variants (Task-G transcription uncertainty). ACQUIRE."
SRC-DELFREO-ZURBACH2025,GORILA Supplement 1 (new Linear A inscriptions),Del Freo M. & Zurbach J.,2025,GORILA-suppl-1,EFA,2026-07-06,copyright,none,edition,new LA inscriptions since GORILA,,,RQ1,A,USEFUL,"Corpus update — new inscriptions to ingest into main silver."
SRC-PAITO,paito project — 3D + RTI of Phaistos LA/hieroglyphic inscriptions,paito project,ongoing,paitoproject.it/en/pa-i-to-project-2,paito project,2026-07-06,open,none,corpus,open-access 3D/RTI palaeography,,,RQ1,B,USEFUL,"Palaeographic imaging; open."
