designation,site,description,publication,year,pages,translit_printed(yes/no/partial),accessibility(open/paywalled/pending_edition),notes,channel
KN Ze (unnumbered),Knossos,monumental stone inscription,"Hood, 'A Monumental Linear Inscription from Knossos', Kadmos 36 (1997) 111-117, fig. 1, pl. 1; Del Freo & Zurbach 2011 p. 89",1997,111-117,partial,paywalled,DF&Z: '?doubtful document'.,younger-pointer
KN Zg (no no.),Knossos (Little Palace),"black steatite amygdaloid, 4 small signs at top","Brice 1961, 24 s.n. V.12; CMS II 3 no. 23; Del Freo & Zurbach 2011 p. 89",1961,24,partial,open,"AMBIGUOUS: same CMS number (II 3, 23) as KN Zg 58, which Younger reclassifies as Hieroglyphic ('see Hiero seals additions') - likely one object with disputed script. CMS open on Arachne.",younger-pointer
KN Zh (no no.),Knossos,"circular ivory band with tassel ('sceptre'), D. 13.7 cm, Neopalatial; Linear A text","Kanta 2018 (Crete Emerging Cities exh. cat.), pp. 328, 336 no. 280; text edition announced for Kadmos (2023) per Younger",2018,328; 336,no,pending_edition,Younger (Aug 2023): 'Kanta will be publishing the Linear A text in the next Kadmos (2023)' - verify whether that edition has since appeared (post-dates the archived page).,younger-pointer
MA Zb (no. unknown),Malia,"globular jug MA Mus. Strat. P89P33, *405VAS+K","Perna, 'Ideograms of Vases and Fractions in Linear A Script', METRON (Aegaeum 24, 2003) 346, pl. LXVIIIg",2003,346,yes,paywalled,No corpus number assigned; sibling MA Zb 15 in inventory. Some older Aegaeum volumes are OA via ULiege - check.,younger-pointer
MO Zb 2,Mochlos,"pottery fragment incised with Linear A, Block C LM I houses","unpublished; mentioned by Brogan, Kentro 10 (Winter 2007-2008) 3",2008,3,no,pending_edition,"One of two fragments, one bearing the OLE sign; the Kentro newsletter itself is OA (INSTAP), but it is a mention, not an edition.",younger-pointer
MO Zb 3,Mochlos,"pottery fragment incised with Linear A, Block C LM I houses","unpublished; mentioned by Brogan, Kentro 10 (Winter 2007-2008) 3",2008,3,no,pending_edition,See MO Zb 2.,younger-pointer
MO Zb 4,Mochlos,support unspecified,unpublished; mentioned in Del Freo & Zurbach 2011 p. 90,2011,90,no,pending_edition,Younger: 'also unpublished'.,younger-pointer
MY Zf 2,Mycenae,"flange attaching handle to bronze cauldron, Shaft Grave IV (NMA 576)","Palaima, 'The Inscribed Bronze Kessel from Shaft Grave IV...', in Duhoux (ed.), Briciaka: A Tribute to W.C. Brice (Cretan Studies 9, 2003) 187-201",2003,187-201,yes,paywalled,AMBIGUOUS GORILA status: Younger cites only Palaima 2003 (sibling MY Zf 1 is in inventory); verify against GORILA IV before treating as a gap.,younger-pointer
PE 6,Petras,"folded half page tablet ('terracotta rod'), 2 lines","Hallager, 'Literacy at Petras and Three Hitherto Unpublished Linear A Inscriptions', in Tsipopoulou (ed.), Petras Siteia - 25 Years (Monographs of the Danish Institute at Athens 16, 2012) 267-269, fig. 3; Del Freo & Zurbach 2011 p. 91",2012,267-269,yes,open,"Danish Institute monographs are largely OA PDFs (best assessment; else paywalled print). Other PE items (PE 1-2, Ws, Wy 5, Zb 3/7/8, Zc 4, Zg 5/6) already in inventory.",younger-pointer
PETS Wc (no no.),Petsophas,"roundel, found Fall 1993",unpublished,1993,,no,pending_edition,Younger: '(unpublished)'; no text printed.,younger-pointer
PH Wb 55,Phaistos,"sealing HM 676, Vano LI, MM II context, vestigia only",no edition cited by Younger; seal impression = CMS II 5 no. 167,,,no,open,AMBIGUOUS: Younger cites no edition (adjacent PH W-series entries cite GORILA II) - unclear whether absent from GORILA or an oversight. 'vest.' only. CMS open on Arachne.,younger-pointer
PH Wc 52,Phaistos,"roundel HM 689 (CMS II 5, 300), Vano 25, MM II; VIN 6","Hallager, Proceedings of the Danish Institute at Athens 1 (1995) 11",1995,11,yes,open,PDIA 1 OA (best assessment). Inventory PH Wc series stops at 46.,younger-pointer
"PK Zb (unnumbered, AIA 2004)",Palaikastro,"pithos sherd, written retrograde, A-PA3-DI[","unpublished; presented at the AIA annual meeting, 3 January 2004 (per Younger)",2004,,no,pending_edition,Younger prints a provisional reading only.,younger-pointer
"PK Zb (unnumbered, Hood 1964)",Palaikastro (?),"conical cup fragment, signs RE B","Hood 1964 (Younger's bibliography lists only: 'Inscribed Cup from a Late Minoan I B Deposit at Knossos', Kadmos 3 (1964) 111-113)",1964,111-113,partial,paywalled,AMBIGUOUS: entry sits under Palaikastro but the only Hood 1964 in Younger's bibliography is a Knossos cup - site attribution unresolved; absent from GORILA per Younger's citation practice.,younger-pointer
PSE Zb 1,Pseira,"pithos shoulder fragment PS 4370, LM IB, *188-DU-SE[","Floyd, 'Fragments from Two Pithoi with Linear A Inscriptions from Pseira', Kadmos 34 (1995) 39-48",1995,39-48,yes,paywalled,Not to be confused with inventory PSIZa1/PSZa2 (Psykhro). Kadmos = De Gruyter.,younger-pointer
PSE Zb 2,Pseira,"pithos rim fragment PS 4163, LM IB","Floyd, Kadmos 34 (1995) 39-48",1995,39-48,partial,paywalled,Younger prints only a dot + [ - minimal sign content.,younger-pointer
SA Wc 1,Samothrace (Mikro Vouni),"roundel: Linear A KA flanking a ladder design, plus Hieroglyphic A-SA",CMS V Suppl. 1B no. 326,1993,no. 326,partial,open,Mixed Hieroglyphic/Linear A document. Series sibling SA Wa 1 is in inventory as SAMWa1 - normalize SA <-> SAM. CMS open on Arachne.,younger-pointer
SA Wc 2,Samothrace (Mikro Vouni),roundel impressed by lentoid + Hieroglyphic cushion seals; face: S-spiral + Hieroglyphic A-SA,CMS V Suppl. 1B no. 325 (seals nos. 322-324),1993,no. 325,no,open,"Linear A content doubtful (impressions Hieroglyphic; face motif a spiral) - listed by Younger, flagged here for completeness only.",younger-pointer
SA We 4,Samothrace (Mikro Vouni),nodulus pierced for suspension (formerly SA We 2); star? + line ('A ?') and S-shape,CMS V Suppl. 3 no. 343,2004,no. 343,no,open,Linear A reading doubtful per Younger's own description ('A ?'). CMS open on Arachne.,younger-pointer
THE tab. 6,Thera (Akrotiri D18),"page tablet fragment, Museum of Prehistoric Thera 8366, LM IA; ]10[ / ]TELA+SE ]200[","Boulotis, 'Les nouveaux documents en lineaire A d'Akrotiri (Thera): remarques preliminaires', BCH 122 (1998) 407-411",1998,407-411,partial,open,Division into 'tablet 5/tablet 6' is Younger's own (all under museum inv. 8366); inventory has THEtab.4/THEtab.5 from the same find but not 6. BCH 122 is on Persee (OA).,younger-pointer
THE Zb 11,Thera (Akrotiri),"pithos from the House of the Ladies, 4 signs (reading incl. VIN+TE 120)","unpublished: Bennett & Owens (n.d.); Karnava, 'Horizons' conference paper forthcoming (per Younger, 2023 state)",,,no,pending_edition,Younger prints a provisional reading; primary edition pending - check whether Karnava's paper has appeared since Aug 2023.,younger-pointer
ZA Wa 38,Zakros,"nodule HM 32/1, single sign *301 + seal impression CMS II 7 no. 23","Hallager 1995, Proceedings of the Danish Institute at Athens 1, 12, fig. 9",1995,12,partial,open,Siblings ZA Wa 36 / ZA Wb 37 (Weingarten 1983) are in inventory.,younger-pointer
ZA Zb (unnumbered),Zakros,support unspecified,unpublished; listed in Del Freo & Zurbach 2011 p. 93,2011,93,no,pending_edition,Younger: '(unpublished)'.,younger-pointer
ZO Za 1,Zominthos,"3-tier stone libation table ('altar', 20x20 cm), inscription on all 12 vertical sides",unpublished; news reports only (To Vima 11 Aug 2013; News Network Archaeology 15 Aug 2013),2013,,no,pending_edition,"AMBIGUOUS vs inventory: inventory contains ZO1 (Zominthos, 2 parsed signs) - possibly the same object under a different id; verify before counting as a gap. Inscription itself unpublished as of Younger's last update.",younger-pointer
