designation,site,description,publication,year,pages,translit_printed(yes/no/partial),accessibility(open/paywalled/pending_edition),notes,channel
HT Wa 1021α,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face α of inventoried nodule HTWa1021. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1021β,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face β of inventoried nodule HTWa1021. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1021γ,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face γ of inventoried nodule HTWa1021. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1024,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1025α,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1025γ,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1028α,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face α of inventoried nodule HTWa1028. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1028γ,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: face γ of inventoried nodule HTWa1028. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1029α,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1029γ,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1623,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1624,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1625,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1631,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1639,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1654,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1658,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1659,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1669,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1710,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1720,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1723,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1725,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1734,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1747,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1751,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1753,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1754,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1758,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1764,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1766,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1793,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1805,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1809,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1813,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1816,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1849,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1850,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1851,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1852,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1853,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wa 1854,Haghia Triada,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wc 3001-latus,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: latus (edge) of inventoried document HTWc3001. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wc 3004a,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3004. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wc 3004b,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3004. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
HT Wc 3005a,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3005. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
