record_id,channel,class,independence_class,covered_signs,tier,sm_trust,source_status,provenance
top_di_na_u_younger,L_lexical,toponym,1,DI|NA|U,unrated,n/a,secondary,"Younger LA pages (secondary, Wayback)"
top_i_na_ta_i_zu_di_si_ka_younger,L_lexical,toponym,1,I|NA|TA|ZU|DI|SI|KA,unrated,n/a,secondary,"Younger LA pages (secondary, Wayback)"
homo_A,H_homomorphy,sign_shape,,A,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_A,C_cypriot,cross_script_stability,,A,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_AU,H_homomorphy,sign_shape,,AU,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_DA,H_homomorphy,sign_shape,,DA,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_DA,C_cypriot,cross_script_stability,,DA,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_DE,H_homomorphy,sign_shape,,DE,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_DI,H_homomorphy,sign_shape,,DI,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_DU,H_homomorphy,sign_shape,,DU,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_E,H_homomorphy,sign_shape,,E,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_I,H_homomorphy,sign_shape,,I,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_I,C_cypriot,cross_script_stability,,I,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_JA,H_homomorphy,sign_shape,,JA,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_JE,H_homomorphy,sign_shape,,JE,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_JU,H_homomorphy,sign_shape,,JU,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_KA,H_homomorphy,sign_shape,,KA,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_KE,H_homomorphy,sign_shape,,KE,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_KI,H_homomorphy,sign_shape,,KI,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_KO,H_homomorphy,sign_shape,,KO,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_KU,H_homomorphy,sign_shape,,KU,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_MA,H_homomorphy,sign_shape,,MA,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_ME,H_homomorphy,sign_shape,,ME,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_MI,H_homomorphy,sign_shape,,MI,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_MU,H_homomorphy,sign_shape,,MU,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_NA,H_homomorphy,sign_shape,,NA,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_NA,C_cypriot,cross_script_stability,,NA,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_NE,H_homomorphy,sign_shape,,NE,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_NI,H_homomorphy,sign_shape,,NI,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_NU,H_homomorphy,sign_shape,,NU,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_NWA,H_homomorphy,sign_shape,,NWA,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_O,H_homomorphy,sign_shape,,O,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_PA,H_homomorphy,sign_shape,,PA,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_PA,C_cypriot,cross_script_stability,,PA,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_PI,H_homomorphy,sign_shape,,PI,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_PO,H_homomorphy,sign_shape,,PO,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_PO,C_cypriot,cross_script_stability,,PO,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_PU,H_homomorphy,sign_shape,,PU,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_PU2,H_homomorphy,sign_shape,,PU2,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_QA,H_homomorphy,sign_shape,,QA,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_QE,H_homomorphy,sign_shape,,QE,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_QI,H_homomorphy,sign_shape,,QI,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_RA,H_homomorphy,sign_shape,,RA,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_RA2,H_homomorphy,sign_shape,,RA2,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_RE,H_homomorphy,sign_shape,,RE,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_RI,H_homomorphy,sign_shape,,RI,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_RO,H_homomorphy,sign_shape,,RO,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_RO,C_cypriot,cross_script_stability,,RO,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_RU,H_homomorphy,sign_shape,,RU,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_SA,H_homomorphy,sign_shape,,SA,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_SA,C_cypriot,cross_script_stability,,SA,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_SE,H_homomorphy,sign_shape,,SE,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_SE,C_cypriot,cross_script_stability,,SE,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_SI,H_homomorphy,sign_shape,,SI,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_SU,H_homomorphy,sign_shape,,SU,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_TA,H_homomorphy,sign_shape,,TA,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_TA2,H_homomorphy,sign_shape,,TA2,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_TE,H_homomorphy,sign_shape,,TE,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_TI,H_homomorphy,sign_shape,,TI,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_TI,C_cypriot,cross_script_stability,,TI,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_TO,H_homomorphy,sign_shape,,TO,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
cypr_TO,C_cypriot,cross_script_stability,,TO,high,,primary,Steele & Meissner 2017 Table 6.2 p.98 (primary)
homo_TU,H_homomorphy,sign_shape,,TU,high,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_TWE,H_homomorphy,sign_shape,,TWE,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_U,H_homomorphy,sign_shape,,U,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_WA,H_homomorphy,sign_shape,,WA,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_WI,H_homomorphy,sign_shape,,WI,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_ZA,H_homomorphy,sign_shape,,ZA,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_ZE,H_homomorphy,sign_shape,,ZE,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
homo_ZO,H_homomorphy,sign_shape,,ZO,mid,,primary,"Salgarella 2020 Aegean Linear Script(s) (CUP), Tables 2-4"
