source_id,citation,type,edition_lineage,machine_readable,new_information,dependency_cluster,ingestion_status,independent_of_gorila_ventris,provenance_present,file_sha16
SRC-GORILA,"L. Godart & J.-P. Olivier, Recueil des inscriptions en Lineaire A (GORILA), Etudes cretoises 21, 1976-1985.",corpus_edition,GORILA (the critical edition; primary autopsy of the tablets),partial,The canonical corpus + sign inventory. All logos LA sequences descend from it; its transliteration is what fixes homomorphic values.,L_GORILA_VENTRIS,INGESTED_MACHINE,False,True,aaee1aeb5b186fa0
SRC-SACCONI-1972,"A. Sacconi, 'The monogram KAPO', Kadmos 11(1):22-26, 1972 (+ Foster 1974 Duke diss.).",journal_article,origin of the KA+PO=cinnamon/fenugreek logographic reading,no,WOULD ADD: the primary origin of the KA+PO monogram reading (decontamination provenance for the 2025 spice paper). Paywalled.,L_GORILA_VENTRIS,UNAVAILABLE,False,False,
SRC-SALGARELLA-BELLINATO-FERRARA-2025,"E. Salgarella, F. Bellinato & S. Ferrara, 'On Aegean spices...', Kadmos 64(1/2):29-44, 2025. DOI 10.1515/kadmos-2025-0002.",journal_article,logographic readings over GORILA sign inventory (KA+PO *127 etc.),no,"Public 2025 logographic/composite readings (KA+PO='spice', A646/A341='root'). SPECULATIVE by authors' own hedge; quarantined so it cannot leak as discovery.",L_GORILA_VENTRIS,CITED_ONLY,False,False,
SRC-STEELE-MEISSNER-2017,"P. M. Steele & T. Meissner, 'From Linear B to Linear A: the problem of the backward projection of sound values', in Understanding Relations Between Scripts, Oxbow 2017, 93-110.",chapter,CRITIQUE of the GORILA/Ventris backward projection itself,no,The load-bearing methodological critique of homomorphic value transfer + Cypriot-stable eleven (Table 6.2) + place-name equations. Meta-evidence on the lineage.,L_GORILA_VENTRIS,PDF_IN_HAND,False,True,a80810e419eae849
SRC-YOUNGER-LEXICON,"J. G. Younger, Linear A Lexicon (last update 2023-08-07), Wayback capture.",website,GORILA/Ventris values -> Younger lexicon + place-name identifications,yes,"Word list + toponym identifications (PA-I-TO=Phaistos, SU-KI-RI-TA=Sybrita, DI-KI-TE=Mt Dikte, ...). Toponym anchors ride on GORILA phonetic values.",L_GORILA_VENTRIS,ARCHIVED_PAGE,False,True,97ee1bee9a376df6
SRC-YOUNGER-TEXTS,"J. G. Younger, Linear A Texts & Inscriptions in phonetic transcription (KU personal site), HTtexts + misctexts + religioustexts; Wayback 2023 captures.",website,GORILA editions -> Younger's phonetic (GORILA-value) transcription,yes,Full LA text transliterations in one place + libation-formula segmentation. SECONDARY pointer to primary editions; uses GORILA values (same lineage).,L_GORILA_VENTRIS,ARCHIVED_PAGE,False,True,bda2ff3e8b767fd7
SRC-LINA-CODEPOINTS,palaeo/linA_codepoint_map.json + Unicode Linear A block (U+10600-1077F); Noto/Aegean fonts in corpus/bronze/fonts/.,dataset,Unicode Aegean encoding (from GORILA/Younger sign lists),yes,Codepoint<->AB-number mapping + rendering fonts; enables glyph rendering and normalization.,L_LA_PALAEOGRAPHY,INGESTED_MACHINE,True,True,5e657d0e263966d6
SRC-SALGARELLA-2019,"E. Salgarella, 'Drawing lines', Kadmos 58:61-92, 2019.",journal_article,synchronic palaeographic variation (hand strata),no,Hand-stratum / synchronic-variation palaeography — resolves the stratification question. Independent palaeographic channel.,L_LA_PALAEOGRAPHY,CITED_ONLY,True,False,
SRC-SALGARELLA-2020,"E. Salgarella, Aegean Linear Script(s): Rethinking the Relationship between Linear A and Linear B, CUP 2020. DOI 10.1017/9781108783477.",monograph,synthesis over GORILA + SigLA palaeography (A<->B homomorphy grading),partial,"The authoritative A<->B relationship + homomorphy grades (anchors.csv). Independent palaeographic argument about shape continuity, not value transfer.",L_LA_PALAEOGRAPHY,PDF_IN_HAND,True,True,274e12b6dba71de9
SRC-SALGARELLA-2022,"E. Salgarella, 'Mix and match: a combinatory (re-)classification of Linear A signs', TALANTA 54:31-52, 2022. OA (CC BY-NC-ND), Cambridge repository.",journal_article,combinatory sign classification over SigLA,no,Combinatory sign re-classification — OA palaeographic taxonomy. Independent.,L_LA_PALAEOGRAPHY,CITED_ONLY,True,False,
SRC-SALGARELLA-JUDSON-2024,"E. Salgarella & A. Judson, 'Signs of the times?', KO-RO-NO-WE-SA (Ariadne Suppl. 5), 2024, 359-379.",conference_paper,palaeographic stratification over GORILA/SigLA,no,Hand/stratum stratification — drove the morphology stratification prereg addendum. Palaeographic (independent) channel.,L_LA_PALAEOGRAPHY,CITED_ONLY,True,False,
SRC-SIGLA,"E. Salgarella & S. Castellan, SigLA: The signs of Linear A, a palaeographical database, https://sigla.phis.me/ (CC BY-NC-SA 4.0). Snapshot 2026-07-03.",database,"Built FROM GORILA corpus (all GORILA tablets present, 2021-08-24 changelog) + post-GORILA additions; palaeographic drawings are new autopsy work",yes,"802 documents / 376 signs with glyph-level bounding boxes and hand drawings — an INDEPENDENT palaeographic channel (shape, not sound). Decoded to JSON.",L_LA_PALAEOGRAPHY,INGESTED_MACHINE,True,True,218ae55b5dfcb290
SRC-SIGN-IMAGES,"logos sign_images/ — linA, linB and damaged glyph rasters + manifest.json.",dataset,GORILA/Unicode glyph shapes,yes,Per-sign glyph images (visual channel) for LA and LB; shape-level.,L_LA_PALAEOGRAPHY,INGESTED_MACHINE,True,True,2b29106943efe74f
SRC-SIGNS-ONTOLOGY,"logos signs_ontology.json — sign classes, allographs, AB-numbering.",dataset,GORILA/AB numbering -> logos ontology,yes,"Sign-class / allograph structure (shape level), used to scope parameters.",L_LA_PALAEOGRAPHY,INGESTED_MACHINE,True,True,246f63f1608a1238
SRC-SILVER-LA-WORDS,"logos silver Linear A, inscriptions_structured.json, GORILA word-segmented stream (t=='word'): 1,341 inscriptions / 3,147 word tokens (mean 1.84 signs).",dataset,"GORILA -> logos silver normalization (word units, the WP2 preferred unit)",yes,Word-segmented LA sign sequences — the primary modelling substrate (word units beat load_a()'s 539 packed inscriptions: AUC 0.76 vs 0.685).,L_LA_PALAEOGRAPHY,INGESTED_MACHINE,True,True,aaee1aeb5b186fa0
SRC-CORAZZA-2021,"M. Corazza et al., LA fraction system, JAS 125 (2021) 105214.",journal_article,"internal metrological analysis (fractions), independent of Schrijver",no,The second independent fraction-system reconstruction. Metrology -> independent.,L_LA_STRUCTURE,CITED_ONLY,True,False,
SRC-DAVIS-2013,"B. Davis, 'Syntax in Linear A', Kadmos 52 (2013) 35-52.",journal_article,internal syntactic/structural analysis (value-agnostic on *301),no,"i-*301 = 'give/dedicate' libation-formula verb, double-ended inflection; morphology 'neither IE nor Afroasiatic' (p.38 n.13). The serious structural reading; assigns *301 NO phonetic value -> genuinely independent of the value lineage.",L_LA_STRUCTURE,CITED_ONLY,True,False,
SRC-DAVIS-2014,"B. Davis, Minoan Stone Vessels with Linear A Inscriptions, Aegaeum 36, 2014.",monograph,structural / word-order analysis of the LA corpus,no,"The fullest modern structural (word-order/VSO) analysis; libation-formula corpus. Structure, not values -> independent.",L_LA_STRUCTURE,CITED_ONLY,True,False,
SRC-DUHOUX,"Y. Duhoux, standard analyses of the Linear A libation formula (1978, 1992, 1997).",journal_article,internal formula segmentation + agglutinative typology,no,Libation-formula segmentation + the agglutinative-typology argument. The held-out formula set. Structural -> independent.,L_LA_STRUCTURE,CITED_ONLY,True,False,
SRC-FULS-2015,"A. Fuls, 'Classifying undeciphered writing systems', Historische Sprachforschung 128(1):42-58, 2015.",journal_article,quantitative typology of undeciphered scripts,no,WOULD ADD: the 3.3-sign word-length figure to reconcile against the word-unit premise (mean 1.84 signs here). Paywalled.,L_LA_STRUCTURE,UNAVAILABLE,True,False,
SRC-POST-GORILA-ADD,"logos corpus/derived/post_gorila_additions/ — hand-audited post-GORILA finds (KN Zb 36a-d, PH Chalara 2017, THE Zb 14, VRY Za 4) with editorial-mark fidelity.",dataset,Del Freo 2024 / primary editions -> logos structured extraction,yes,"New inscriptions not in GORILA, extracted with dot/bracket certainty preserved — the held-out-supply frontier.",L_LA_STRUCTURE,INGESTED_MACHINE,True,True,7fc8b6b6c624b4d3
SRC-SALGARELLA-2025,"E. Salgarella, Writing in Bronze Age Crete: 'Minoan' Linear A (Cambridge Elements), 2025. DOI 10.1017/9781009520041.",monograph,current synthesis; endorses Davis 2013 structural reading,no,"Current authoritative synthesis: Minoan is a language ISOLATE, agglutinative, provisional VSO; REJECTS the etymological/Semitic method category-wide (S8).",L_LA_STRUCTURE,TEXT_EXTRACTED,True,True,33930b597be84f38
SRC-SCHOEP-2002,"I. Schoep, The Administration of Neopalatial Crete, Minos Suppl. 17, 2002.",monograph,administrative/structural synthesis + sign counts,no,"WOULD ADD: the Semitic/Lycian best-founded ranking + the 7,362-7,396 sign count (information-budget denominator). Paywalled; operator-supplies.",L_LA_STRUCTURE,UNAVAILABLE,True,False,
SRC-SCHRIJVER-2014,"P. Schrijver, LA fraction system, Kadmos 53 (2014) 1-44.",journal_article,internal metrological analysis (fractions),no,One of two independent Direction-D fraction-system reconstructions. Metrology from internal structure -> independent of the value lineage.,L_LA_STRUCTURE,CITED_ONLY,True,False,
SRC-VALERIO-2007,M. Valerio (2007) — LA ablative-like suffix analysis (per Salgarella 2025 S8).,journal_article,internal affix morphology,no,Proposed ablative-like suffix ('from'). Morphological/structural -> independent.,L_LA_STRUCTURE,CITED_ONLY,True,False,
SRC-YOUNGER-BIBLIO,"J. G. Younger, Linear A Bibliography from 1980, Wayback capture 2024-01-27.",website,secondary bibliographic index,yes,"Resolves the author-year citations used across the LA text lists — a bibliographic backbone (independent index, not a reading).",L_LA_STRUCTURE,ARCHIVED_PAGE,True,True,e7b52b84f5e9fdd3
SRC-DAMOS-LB,"DAMOS (Database of Mycenaean at Oslo), Linear B — 13,562 wordforms; loaded via scripts.cross_script.data.load_b_damos().",database,Ventris & Chadwick 1953 decipherment -> DAMOS digital edition,yes,Deciphered LB word corpus — the known-truth C/V + morphology grading side. GRADE ONLY on the LA problem (non-circularity).,L_LB_DECIPHERMENT,INGESTED_MACHINE,False,False,
SRC-LINB-GREEK-COG,linear_b-greek.cog (Tamburini CSA_OptMatcher data) — LB->Greek cognate pairs.,dataset,Ventris 1953 -> Tamburini CSA benchmark set,yes,LB->Greek gold cognate pairs — the primary analog for the CSA sufficiency sweep (LB->Greek at its chance floor at LA scale).,L_LB_DECIPHERMENT,INGESTED_MACHINE,False,True,270ff077e1300baf
SRC-VENTRIS-1953,"M. Ventris & J. Chadwick, 'Evidence for Greek dialect in the Mycenaean archives', JHS 73, 1953.",journal_article,ROOT of the phonetic-value lineage (Linear B = Greek),no,Fixes the syllabic values later transferred to homomorphic Linear A signs. The single origin of every GORILA-value reading.,L_LB_DECIPHERMENT,CITED_ONLY,False,False,
SRC-UGA-HEB-COG,Ugaritic<->Hebrew cognate sets: uga-heb.gold.cog / .noisy.cog / .full.cog (Tamburini CSA_OptMatcher + Luo NeuroDecipher).,dataset,Independent Semitic language-pair data (not Aegean),yes,Known-answer cross-script training pair — validates that the CSA/matcher detector fires when the signal is real. Independent of Linear A.,L_SEMITIC_DATA,INGESTED_MACHINE,True,True,048eb1eab6921f65
SRC-CHIC,"J.-P. Olivier & L. Godart, Corpus Hieroglyphicarum Inscriptionum Cretae (CHIC), Etudes cretoises 31, 1996.",corpus_edition,"Cretan Hieroglyphic critical edition (sister script, value-undeciphered)",no,"The Cretan Hieroglyphic corpus — structurally-related predecessor script. Value-undeciphered, so an INDEPENDENT (non-Ventris) comparandum. Not held in-repo.",L_SISTER_SCRIPT,CITED_ONLY,True,False,
SRC-CYPRIOT-SYLLABARY,"Cypriot Syllabary values (deciphered independently by G. Smith, 1870s); used in Steele & Meissner 2017 Table 6.2 (the Cypriot-stable eleven).",corpus_edition,"INDEPENDENT decipherment (Cypriot Greek), predates Ventris",no,An independently-cracked syllabary whose stable sign values give a cross-check on Aegean values NOT sourced from Ventris. Genuinely independent anchor.,L_SISTER_SCRIPT,CITED_ONLY,True,False,
SRC-CYPRO-MINOAN,"Cypro-Minoan corpus (Ferrara, Cypro-Minoan Inscriptions, 2012/2013; HoChyMin).",corpus_edition,"sister script (undeciphered), descended from Linear A",no,The undeciphered LA-descended Cypriot script; target of the Sign2Vec work. Independent script family. Not held in-repo.,L_SISTER_SCRIPT,CITED_ONLY,True,False,
SRC-JUDSON-2020,"A. P. Judson, The Undeciphered Signs of Linear B, CUP 2020.",monograph,LB scribal-practice framing (known-side),no,WOULD ADD: LB *127/*157 inventory + scribal-practice framing for the known-side transfer. Paywalled.,L_SISTER_SCRIPT,UNAVAILABLE,True,False,
