method_id,canonical_name,primary_metric_value,power,verdict,classification_hint
OBS-05,Experiment 5 — cross-site invariance of the template grammar (STRUCTURAL gate le,KN->nonKN template 0.616 vs 0.238 baseline; nonKN->KN 0.389 vs 0.289; entry-type TVD 0.281; cross-site gap 0.227; site-shuffle null p=0.000 (VERIFIED_FROM_ARTIFACT cross_site_invariance.json),adequate (thousands of entries),SITE_DEPENDENT — template beats target baseline both directions but TVD 0.28 + g,REPORT_ONLY
OBS-06,Experiment 6 — pseudo-script O2 (sign permutation) + D8 (LA-like sparsity) stres,O2 template 0.497->0.497 identical; D8 template 0.497/0.591/0.602/0.589 (> baseline 0.408->0.48); closure 0.071/0.049/0.047/0.033 vs null 0.049/0.036/0.008/0.054; LA vs LB density mean 2.73 vs 2.29 en,LA density comparable to LB -> D8 mild; L2 grammar would be ,O2: template 0.497 = 0.497 (identical -> carries NO sign/lexical content); D8: t,REPORT_ONLY
OBS-07,Mechanical gate synthesis — OBSERVABLE_CHANNEL_READY = NO,0 of 2 L3 channels beat baseline; both structural-gate legs fail (SITE_DEPENDENT + D8-fragile + sign-agnostic) (VERIFIED_FROM_ARTIFACT via constituent JSONs),"well-powered negative (not underpower, unlike the label rout",OBSERVABLE_CHANNEL_READY = NO; FUNCTIONAL_TRANSFER_LICENSE NOT_EARNED; STRUCTURA,REPORT_ONLY
CE-A-identifiability-recount,Stage A identifiability reopening audit (syllabary parameter recount),syllabic parameters = 92 (conservative); structural constraints = 212; structural ratio 0.434; value-informative constraints = 2; value deficit = 46x,NOT_APPLICABLE,A_REOPENED — prior 259>212 INVALIDATED as category error; corrected budget is co,VERIFIED_FROM_ARTIFACT
CE-B2-sign-allography-recount,Stage B2 sign/allography inventory forensics,syllabary = 92 confirmed; allography param reduction = 7; site-specific allography inflates lexical diversity <1%,NOT_APPLICABLE,Confirms syllabary=92 (259 = 108 ligatures + 13 damage-tokens); allography remov,VERIFIED_FROM_ARTIFACT
CE-B1-sigla-cross-edition-independence,Stage B1 SigLA cross-edition independence check (AB-class contestation),38% byte-identical on 590 shared docs; ~90% of residual is edition convention; 10 signs / 34 tokens AB-class flip,NOT_APPLICABLE,SigLA = second digitization of same GORILA editions (0 held-out weight); AB valu,VERIFIED_FROM_ARTIFACT
CE-B4-joins-effective-n,Stage B4 joins/duplicates effective_n recomputation,1341 raw -> 1242 objects -> 618 >=2-sign records -> 565 signatures; 600 nodules = 14 types,NOT_APPLICABLE,Raw 1341 overstates independence -> 1242 physical objects; 565 distinct >=2-sign,VERIFIED_FROM_ARTIFACT
CE-B5-notation-typing,Stage B5 notation-channel typing + cleaned phonetic wordform inventory,word tokens 3147 -> 2328 PHONETIC / 402 LIGATURE / 298 LOGOGRAM / 119 MIXED; 819 non-phonetic removed (26%); 944 clean phonetic wordform types; 417 logogram tokens separated,NOT_APPLICABLE,26% of the word channel was non-phonetic contamination; produces 944 clean phone,VERIFIED_FROM_ARTIFACT
CE-B6-support-invariance-axis,Stage B6 context/support invariance-axis recovery,H(support|site) = 1.23 bits (support cross-cuts site),NOT_APPLICABLE,"'context' field mislabelled (holds chronology, not archaeology); support/object-",REPORT_ONLY
CE-C-source-discovery,Stage C new-source & evidence discovery audit,"1 new inscription (KO-RO-NO-WE-SA, 5 signs); 5 sources catalogued; 0 new non-circular value constraints",NOT_APPLICABLE,C_NEW_INFORMATION_FOUND but none value-informative: Salgarella=shape/circular (<,VERIFIED_FROM_ARTIFACT
CE-D1-formula-grammar,Stage D1 formula-grammar mining,template coverage 0% under holdout; recurring-frame count p=0.53 (at chance); only libation beats order-shuffle,corpus too shallow (mean 2.3 words/inscription) — limits tem,CONFIRMS_KNOWN — nothing beyond libation chain (7 stone vessels) + KU-RO/KI-RO; ,REPORT_ONLY
CE-D2-morphology,Stage D2 morphology paradigm test (clean material),morph does not beat bigram; at lambda=0.9 bigram beats morph with CI excluding 0; k=1 reproduces (no multi-sign morphemes),HAS POWER (Stage E LB positive control fires 0.5625 vs 0.312,"NULL (has power, not NO_POWER) — paradigm model does not beat interpolated bigra",REPORT_ONLY
CE-D4-accounting-closure,Stage D4 accounting-closure / fraction-typing test,8/31 exact (25.8%) integer-only AND with fractions (net zero); A700 hypothesis inert (0 problems),planted control recovers 0.9 vs 0.22 null (p=0.003) -> has p,CONFIRMS_KNOWN — typing fractions does NOT raise closure (8/31 exact both intege,REPORT_ONLY
CE-D5-cross-site-support-invariance,Stage D5 cross-site/support phonotactic invariance (held-out),cross-genre r=0.607 (p=0.001); held-out r up to 0.931 (p=0.0005),fires (significant held-out correlation),CONFIRMS_KNOWN — a GENUINE held-out positive: word-initial positional grammar su,REPORT_ONLY
CE-D7-compression-grammar,Stage D7 administrative-grammar compression (held-out),1.42 bits/tok (grammar) vs 1.77 (positional-bigram best baseline) vs 2.57 (unigram); +0.33 over all baselines + shuffles,fires (beats all baselines held-out),CONFIRMS_KNOWN — GENUINE held-out positive: induced grammar compresses held-out ,REPORT_ONLY
CE-E-method-validation-battery,Stage E value-recovery method-validation battery (fires on known truth),LB morph 0.5625 vs 0.3125 (has_morphology_power=true); opaque-LB 11/11 (0 FP); planted top-1 0.997 at s=13; metrology 0.9 vs 0.22 (p=0.003); gate FP 3/500=0.6% (CP upper 1.54%); KU-RO reconciliation 2,DEMONSTRATED — detectors fire on truth; LA nulls therefore g,METHOD_VALID_LA_NULL_IS_CORPUS — detectors fire on known/planted truth (LB morph,REPORT_ONLY
CE-F-external-anchor-reaudit,Stage F external-anchor re-audit (Salgarella non-circular check),0 anchor classes with >=3 independent held-out non-circular anchors; existing pins one-toponym-deep; Salgarella circularity cap <=0.75,no non-circular anchor set exists to power a value test -> N,NO_NONCIRCULAR_ANCHOR — Salgarella's A-B scheme is the shape/homomorphy channel ,REPORT_ONLY
CE-G-language-family-gate,Stage G language-family hypothesis authorization gate,NOT_APPLICABLE (gate = NOT_AUTHORIZED),NOT_APPLICABLE (gated before run),G_NOT_AUTHORIZED — no value anchor exists to constrain a language-family hypothe,VERIFIED_FROM_ARTIFACT
CE-H-relabeling-invariance-null,Stage H agnostic internal value-search relabeling-invariance null,"held-out bigram LL = -4.172251 identical across 30 maps (min=max, range<1e-9)","PROVABLE (analytic invariance, empirically confirmed)",PROVABLE_NULL — held-out bigram log-likelihood is IDENTICAL (-4.172251) across a,VERIFIED_FROM_ARTIFACT
CE-J-end-to-end-null,Stage J end-to-end decipherment null (gate-bounded),gate FP 3/500=0.6% (CP upper 1.54%); internal held-out value hits 0.0000 (4x),gate calibrated; internal channel provably null (from Stage ,No agnostic system beats the end-to-end null: only ranker left is external-ancho,VERIFIED_FROM_ARTIFACT
CE-I-sealed-challenges,Stage I sealed-challenge preregistration (no surviving hypothesis),NOT_APPLICABLE,NOT_APPLICABLE,n/a — no surviving hypothesis to seal (Stages E/F/H/J left the value layer empty,VERIFIED_FROM_ARTIFACT
CE-K-active-unlock-ranking,Stage K active-unlock ranking (what evidence would actually help),3 ranked unlocks (bilingual > >=3 held-out anchors > related read script); 3 explicit non-unlocks with ~0 value-information,NOT_APPLICABLE,Only external value-bearing evidence helps: UNLOCK_01 bilingual/biscriptal (deci,VERIFIED_FROM_ARTIFACT
CE-L-final-verdict-synthesis,Stage L final verdict synthesis (by earned layer),highest earned layer = L2; L6 value = NONE; L8 family = NONE; licences all NOT_EARNED,NOT_APPLICABLE,campaign_status=COMPLETE; decipherment_readiness=NEW_CONSTRAINTS_BUT_NO_DECIPHER,VERIFIED_FROM_ARTIFACT
DIMINO-T00-CENSUS,Prior-test census: has the exact *301=/na/ core gate ever been run?,,NOT_APPLICABLE,EXACT_CORE_CLAIM_GATE (H1-H6) DOES NOT EXIST (unrun); QUALITATIVE_LITERATURE_AUD,VERIFIED_FROM_ARTIFACT
DIMINO-T01-ARCHIVE,Immutable public-claim archive + cryptographic hashing of the Di Mino claim,,NOT_APPLICABLE,"CLB-01 (AI Clambake article, 2026-06-16) + Figure 1 archived & hashed; 40-sign t",VERIFIED_FROM_ARTIFACT
DIMINO-T02-CLAIMGRAPH,Claim dependency graph + free-parameter (lower-bound search) receipt,,NOT_APPLICABLE,"Load-bearing circularity e2->e3->e4: *301 value chosen so na-wa-ya yields n-w-y,",VERIFIED_FROM_ARTIFACT
DIMINO-T03-PREREG,Frozen preregistration of H1-H12 with success/null/failure thresholds,,min ~3 independent held-out forms for power,Frozen 2026-07-08 before any outcome observed; content-hashed sha 8b098a4c; prim,VERIFIED_FROM_ARTIFACT
DIMINO-T04-CORPUS,Non-circular libation-formula / *301 corpus build with derivation/held-out parti,,held_out 32; leave-site-out eligible 26; invocation-slot lea,36 *301 attestations / 23 distinct forms / 31 LF carriers; partition 4 derivatio,VERIFIED_FROM_ARTIFACT
DIMINO-T05-SEGMENTATION,Segmentation comparison of A-TA-I-*301-WA-JA across 6 families (branching-entrop,,NOT_APPLICABLE,DECISIVE AGAINST the *301-WA-JA root cut: no value-free family isolates it as a ,VERIFIED_FROM_ARTIFACT
DIMINO-A-VALUE-SWEEP,Family A — exhaustive *301 value audit (H1: *301=/na/),,ADEQUATE — 32 held-out forms; S_morph z=6.95 has_power true,REJECT. Primary S_morph value-INVARIANT (identical 0.2738 under any relabelling),VERIFIED_FROM_ARTIFACT
DIMINO-B-ROOT-SEARCH-NULL,Family B — Semitic root existence search-null (H2: A-TA-I-*301-WA-JA contains N-,,ADEQUATE (enumerable onset space),REJECT — root existence is a generic search outcome: 31% (strict n-w-y) to 77% (,VERIFIED_FROM_ARTIFACT
DIMINO-B-LFAKE-CANARY,Family B — L_fake / Packard edit-distance 'match-exists' channel canary (S_lex p,,ZERO (floor >= real),NO_POWER — the L_fake INVENTED lexicon already contains a near-match to n-w-y ~1,VERIFIED_FROM_ARTIFACT
DIMINO-B-GLOSS-FEATURE,Family B — gloss specificity + formula-feature prediction (H3: gloss 'dwell'),,limited (single target word),REJECT — 'dwell' scores 0.0/3 on observable formula features (F1 precedes theony,VERIFIED_FROM_ARTIFACT
DIMINO-C-MORPHOLOGY,Family C — exact morphology / paradigm audit + head-to-head + known-script contr,,MORPH detector has power on controls (z 11-36); LA_invocatio,REJECT. MORPH_ROOT REFUTED (sign after *301 varies WA/U/TI/DE; *301-WA-JA recurs,VERIFIED_FROM_ARTIFACT
DIMINO-D-LOSO,Family D — leave-one-site-out formula prediction (H4 function / H6 regional para,,INSUFFICIENT — 3 effective discriminating sites at NO_POWER ,NO_POWER — Di Mino's exact-form prediction is IDENTICAL to the frequency/templat,VERIFIED_FROM_ARTIFACT
DIMINO-E-FULLFORMULA,Family E — full libation-formula interpretation audit (novel-parameter accountin,,NOT_APPLICABLE,REJECT (one-novel-parameter): 34/35 signs of the line are conventional LB transl,VERIFIED_FROM_ARTIFACT
DIMINO-PC-CONTROLS,Positive/negative controls PC1-PC6 + PCNP (pipeline calibration),,confirmed on controls; degraded case correctly returns NO_PO,PASS — pipeline CALIBRATED. PC1 Ugaritic->Hebrew recovered (0.780 vs L_fake floo,VERIFIED_FROM_ARTIFACT
DIMINO-E2E-NULL,End-to-end adaptive null programme + whole-pipeline false-positive rate,,value channel HAS power (PC3 rank 1/113); na fails rank-1 cl,End-to-end FP rate = 1.0; search-adjusted p ~ 1.0. Best-of-search manufactures a,VERIFIED_FROM_ARTIFACT
DIMINO-F-SIGNMAP,Family F — 40-sign map gate (H7 ~40 signs / H8 13 LA-only signs / H10 5 LB signs,,NOT_APPLICABLE,FULL_SIGN_MAP_VERDICT = SOURCE_BLOCKED — the exact 40-sign table is not publicly,VERIFIED_FROM_ARTIFACT
DIMINO-G-LEXICON,Family G — 408-term lexicon gate (H9),,NOT_APPLICABLE,FULL_LEXICON_VERDICT = SOURCE_BLOCKED — the 408-entry lexicon is a count only; n,VERIFIED_FROM_ARTIFACT
DIMINO-H-LB-CORRECTIONS,Family H — Linear B corrections gate (H10: 5 LB signs resolved),,NOT_APPLICABLE,LINEAR_B_CORRECTIONS_VERDICT = SOURCE_BLOCKED — '5 Linear B signs resolved' is a,VERIFIED_FROM_ARTIFACT
DIMINO-H-LOGOGRAM-CORRECTIONS,Family H — logogram corrections gate (H11),,NOT_APPLICABLE,LOGOGRAM_CORRECTIONS_VERDICT = SOURCE_BLOCKED — CLB-01 does not enumerate a logo,VERIFIED_FROM_ARTIFACT
DIMINO-VERDICT,Final mechanical adjudication — DI_MINO_CORE_VERDICT + extended verdicts,,ADEQUATE (PC passed -> genuine negative),DI_MINO_CORE_VERDICT = REJECT. Chain *301=/na/->N-W-Y->'dwell'->Semitic fails >=,VERIFIED_FROM_ARTIFACT
DIMINO-PRIOR-QUALITATIVE-AUDIT,"PRIOR qualitative literature audit of the Di Mino claim (separate instance, not ",,NOT_APPLICABLE,NOT_APPLICABLE — explicitly flagged in the paper as NOT a mechanical LOGOS verdi,REPORT_ONLY
EGY-01,Egyptian non-Cretan correspondence corpus source-status + buildability audit (§I,"buildable=False; 0 admissible records — VERIFIED_FROM_ARTIFACT (build_corpus()→[], 8 tests pass per DECISION_LOG E2..E3)",unassessable (no fittable-but-weak corpus exists) — explicit,"verdict.py: status=INCOMPLETE, egyptian_channel_readiness=NOT_READY (load-bearin",REPORT_ONLY
EGY-02,Calibration schema + inclusion rules + M0–M9 correspondence-model prereg spec fr,NOT_APPLICABLE (spec only) — sha VERIFIED_FROM_ARTIFACT (data/manifests/egyptian_model_freeze.sha256),NOT_APPLICABLE,status=SPEC_FROZEN_AWAITING_CORPUS (sha 3c56ed71),REPORT_ONLY
EGY-03,Hoch-1994 OCR auto-extraction of the calibration corpus (extract_hoch.py),"101 entries / 76 tier-A / 25 tier-C — REPORT_ONLY (extractor+counts committed, data gitignored)",NOT_APPLICABLE (corpus below standard),verdict UNCHANGED: INCOMPLETE / NOT_READY (auto-derived corpus noise-limited bel,REPORT_ONLY
EGY-04,Vision-reading of Hoch 1994 page images → hand-verified calibration corpus (REQ-,159 records; 152 tier-A/B; 156 roots; item classes LOANWORD 130 / PERSONAL_NAME 23 / DIVINE_NAME 3 / TOPONYM 1 / ETHNONYM 1 / OTHER 1 — VERIFIED_FROM_ARTIFACT (manifest + report),adequate to fit (≥150 tier-A/B threshold met),gate status: INCOMPLETE(no corpus) → CORPUS DERIVED / READY-TO-FIT; sha256 cc2c2,REPORT_ONLY
EGY-05,M2 pooled-probabilistic correspondence model fit + held-out validation (§VI),"M2 top-1 0.691 (top5 0.855, MRR 0.753) vs M0/M1 top-1 0.434 (MRR 0.562); LOFO NW 0.767 (n=30) / South 0.667 (n=3) / cross 0.602 (n=118) — VERIFIED_FROM_ARTIFACT (results/model_validation.json)",adequate at n=152; East subgroup NO_POWER,"acceptance=PASS, beats_baselines=true (validation.py)",REPORT_ONLY
EGY-06,Matched-scarcity Linear-B positive control (§VII) — recovery at Cretan-anchor sc,recovery len2 0.818 / len3 0.638 / len4 0.864 / len5 1.0; short-form (≤4) 0.685; per-anchor null 0.00671; min_detectable_anchors=2; expected@K3=2.05 vs null P(≥1)=0.020 — VERIFIED_FROM_ARTIFACT (resul,min detectable 2 anchors; P(NO_POWER at K=3)=0.031 (see EGY-,control_verdict=PASS; min_detectable_anchors=2 (gate.py),REPORT_ONLY
EGY-07,End-to-end null family — random-pairing / permuted-model / permissive-M9 (§VIII),real M2 0.691 vs random 0.000 / permuted 0.1184 / permissive M9 0.0066 — VERIFIED_FROM_ARTIFACT (results/gate.json.nulls). Note report rounds permissive to 0.007,NOT_APPLICABLE,specificity_ok=true; permissive_excessive_fp=false; search architecture NOT reje,REPORT_ONLY
EGY-08,Transcription/sign-value uncertainty sensitivity (§IX),top-1 LOW 0.691 / CENTRAL 0.586 / HIGH 0.349; short-recovery LOW 0.685 / CENTRAL 0.577 / HIGH 0.342 (≈50× null) — VERIFIED_FROM_ARTIFACT (results/gate.json.transcription_uncertainty),stays ≫ null even at HIGH,verdict_reverses_under_uncertainty=false (gate.py),REPORT_ONLY
EGY-09,Egyptian-channel power envelope (§X) — minimum useful anchor count,min useful anchors=2; P(NO_POWER at K=3 short)=0.031; recovery by length len2 0.818…len5 1.0 — VERIFIED_FROM_ARTIFACT (results/gate.json.power),this IS the power analysis,min useful anchors=2; P(NO_POWER at K=3)=0.031 (gate.py),REPORT_ONLY
EGY-10,Mechanical gate readiness verdict (§XI) → COMPLETE / READY_FOR_PREREG_DRAFT,"key_numbers: tier_A_B 152, M2_top1 0.691, baseline_top1 0.434, short_recovery 0.685, min_detectable_anchors 2, null_random 0.0, null_permuted 0.1184, HIGH_uncertainty_recovery 0.342, P_no_power_K3 0.0",min detectable 2 anchors,"status=COMPLETE, egyptian_channel_readiness=READY_FOR_PREREG_DRAFT (verdict.py, ",REPORT_ONLY
EGY-11,REQ-01 Aegean-list apparatus determination via Bělohoubková 2014 thesis (candida,3 FREEZABLE(candidate) / 2 NOT-freezable — REPORT_ONLY (from thesis + WP cross-check; per-agent apparatus in wf journal),NOT_APPLICABLE,req01_status=ADVANCED_PROXIMATE_ONLY (not CLOSED); cretan_targets_confirmatory_e,REPORT_ONLY
EGY-12,REQ-01 direct collation of Edel & Görg 2005 primary edition → frozen Cretan conf,"3→5 anchors (Phaistos/Kydonia overturned from not-freezable to freezable via Osing autopsy); Lyktos L→Egyptian r matches the model's learned P(egy|l):r — REPORT_ONLY (collation, targets json sha 6903f",NOT_APPLICABLE,REQ-01=CLOSED_PRIMARY_COLLATED; primary_edition_verified=true; confirmatory_elig,REPORT_ONLY
EGY-13,Cretan-anchor one-shot confirmatory preregistration (mint) + red-team hardening ,"design targets frozen; input hashes recorded (target b749e2f7, model e76b2f23, skeletonizer feb7e8dc, verdict-script 3cc8a8b2, pool ff83993c) — VERIFIED_FROM_ARTIFACT (prereg json)",endpoint-clearability: realistic r1=2 must reach p<0.05 (els,status=FROZEN_MINTED; plan_hash 2eab1536cf70c20d0faebafff813b190b9cea573433698b2,REPORT_ONLY
EGY-14,Cretan-anchor one-shot confirmatory RUN — mechanical CONFIRM_GENERALIZES vs hone,"r1_M2=3/3, r1_B_id=1, r1_B_egy=1, p=0.0014 (surprisal 9.48 bits); per-anchor Knossos rank_M2 1/B_id 2/B_egy 10, Amnisos 1/2/13, Lyktos 1/1/1 — VERIFIED_FROM_ARTIFACT (results/cretan_oneshot_verdict.js",p-value establishes non-randomness ONLY; does NOT test robus,"pre-registered mechanical verdict = CONFIRM_GENERALIZES (stands, no retune, inva",REPORT_ONLY
EA-01-SLOT-CLASSIFIER,Internal-only Linear A slot classifier (Task A),counts by class x tier (see effective_n); reproducibility hash dc9653a9...5d024551 MATCH,NOT_APPLICABLE,Frozen manifest of 1165 candidates; 11 tier-B TOPONYM_LIKE = the E3 target set. ,VERIFIED_FROM_ARTIFACT
EA-02-TOPONYM-POWER-ENVELOPE,Toponym-anchor power envelope pilot (Task D / E1),in-sample FP 1.00/0.97/1.00/0.98/0.72 and held-out FP 0.26/0.27/0.27/0.22/0.30 for n=2/3/4/5/6; held-out recovery 0.35-0.45,leans NO_POWER for the naive design; the two levers = a FROZ,Design-level null (provisional): in-sample best-of-search FP~0.72-1.00 = uninfor,REPORT_ONLY
EA-03-FROZEN-EGYPTIAN-CORRESPONDENCE-MODEL,Frozen Egyptian->foreign correspondence (group-writing->sound) distortion model ,NOT_RECORDED (model not fit),NOT_RECORDED,Model NOT fit; calibration source blocker (Hoch PDF OCR-corrupted) found then LI,VERIFIED_FROM_ARTIFACT
EA-04-LB-MATCHED-SCARCITY-POSITIVE-CONTROL,Linear-B matched-scarcity positive control (Task B / E2),NOT_RECORDED (not executed),gate: if pipeline cannot recover LB->Greek at matched scarci,Protocol + module design + provisional degradation scaffold + 3 tests; NOT execu,REPORT_ONLY
EA-05-END-TO-END-NULL-FRAMEWORK,End-to-end null framework + adaptive-choice inventory + search-receipt spec (Tas,NOT_RECORDED (framework not executed on real inputs),NOT_RECORDED,Spec + 10 null families + config schema + generators for families 1/3/4/5/10; fa,REPORT_ONLY
EA-06-E3-TOPONYM-CONFIRMATORY,Egyptian toponym-anchor confirmatory test (E3),NOT_RECORDED,provisional NO_POWER-leaning (EA-02) pending recalibration,Behind Stage-4 hard human-approval gate; never timestamped or run; EA-02 leans N,REPORT_ONLY
EA-07-EA5647-PERSONAL-NAMES-GREEK,Personal-name anchor channel (E4) + EA5647 Keftiu-names identification,7/7 EA5647 names read as Greek (external literature); 0/5 usable as Minoan anchors,low a-priori (thin Minoan personal-name evidence),REQ-03 closed: EA5647's seven Keftiu names read as GREEK via LB/Greek onomastics,REPORT_ONLY
EA-08-E5-ADMIN-SEMANTIC-ONTOLOGY,Mari/Ugarit/Egypt administrative ontology -> LA semantic schema (E5 / RQ1),"main-repo exploratory admin reconciliation ~29-35% vs 0.5% null (REPORT_ONLY, exploratory input, not this branch)",NOT_RECORDED,Bronze Mari/Kaptara records audited (REQ-04); the supplied Mari scan is a chrono,REPORT_ONLY
EA-09-E6-KEFTIU-RITUAL-PHONOLOGY,Keftiu ritual-language phonological constraints (E6 / RQ4),NOT_RECORDED,NOT_RECORDED,Exploratory-only for phonology; voces magicae distortion + possible non-coherenc,REPORT_ONLY
EA-10-E8-CANDIDATE-LANGUAGE-TOURNAMENT,Candidate-language tournament at equal budget (E8 / RQ5),NOT_RECORDED,NOT_RECORDED,"Runs LAST, only after anchor+calibration+null layers frozen, so it cannot become",REPORT_ONLY
EA-11-E7-POPULATION-PRIOR,Population-history (aDNA/archaeology) prior audit (E7 / RQ6),NOT_RECORDED,NOT_RECORDED,May reorder candidate tests by AT MOST a modest prior-odds nudge; held-out textu,REPORT_ONLY
EA-12-EGYPTIAN-CALIBRATION-CORPUS-BUILD,Egyptian foreign-form calibration corpus build (Task B corpus / REQ-02),NOT_RECORDED (corpus not populated),a too-small subset would itself be NO_POWER for calibration,Hoch 1994 PDF OCR corrupts the transliteration -> not fittable; no machine-reada,VERIFIED_FROM_ARTIFACT
LC-01-SIGLA-SILVER-RECONCILE,SigLA<->silver reconciliation crosswalk + corpus delta,575 matched / 766 only-silver / 227 only-SigLA; ARKH (Arkhanes/Arkalochori) ambiguity + site typos flagged,NOT_APPLICABLE,matched 575; only-silver 766 (730 genuinely absent); only-SigLA 227 (143 genuine,VERIFIED_FROM_ARTIFACT
