method_id,canonical_name,_scope,claim_layer,implementation_status,scientific_outcome,mechanical_verdict,red_team_status
OBS-06,Experiment 6 — pseudo-script O2 (sign permutation) + D8 (LA-like sparsity) stres,admin_structure,L2 (document structure),RUN_PREREGISTERED,STRUCTURAL_ONLY (template O2-robust but sign-agnostic/content-free; closure D8-f,O2: template 0.497 = 0.497 (identical -> carries NO sign/lexical content); D8: t,VERIFIED
OBS-07,Mechanical gate synthesis — OBSERVABLE_CHANNEL_READY = NO,admin_structure,L3 functional (primary) + L2 structural-transfer (secondary),RUN_CONFIRMATORY (gate evaluated),REFUTED (L3) + NO_POWER/NOT_EARNED (L2 structural-transfer) = complete well-powe,OBSERVABLE_CHANNEL_READY = NO; FUNCTIONAL_TRANSFER_LICENSE NOT_EARNED; STRUCTURA,VERIFIED
CE-A-identifiability-recount,Stage A identifiability reopening audit (syllabary parameter recount),constraint_expansion,meta (audit of L6 identifiability),RUN_EXPLORATORY,NULL,A_REOPENED — prior 259>212 INVALIDATED as category error; corrected budget is co,VERIFIED
CE-B2-sign-allography-recount,Stage B2 sign/allography inventory forensics,constraint_expansion,L0-L1 (physical/sign-id representation),RUN_EXPLORATORY,STRUCTURAL_ONLY,Confirms syllabary=92 (259 = 108 ligatures + 13 damage-tokens); allography remov,VERIFIED
CE-B1-sigla-cross-edition-independence,Stage B1 SigLA cross-edition independence check (AB-class contestation),constraint_expansion,"L1 (sign-id), bears on L5/L6 value channel",RUN_EXPLORATORY,STRUCTURAL_ONLY,SigLA = second digitization of same GORILA editions (0 held-out weight); AB valu,VERIFIED
CE-B4-joins-effective-n,Stage B4 joins/duplicates effective_n recomputation,constraint_expansion,L0 (physical/effective_n),RUN_EXPLORATORY,STRUCTURAL_ONLY,Raw 1341 overstates independence -> 1242 physical objects; 565 distinct >=2-sign,VERIFIED
CE-B5-notation-typing,Stage B5 notation-channel typing + cleaned phonetic wordform inventory,constraint_expansion,L1-L2 (sign-id/structure representation),RUN_EXPLORATORY,STRUCTURAL_ONLY,26% of the word channel was non-phonetic contamination; produces 944 clean phone,VERIFIED
CE-B6-support-invariance-axis,Stage B6 context/support invariance-axis recovery,constraint_expansion,L0-L2 (metadata/structure),RUN_EXPLORATORY,STRUCTURAL_ONLY,"'context' field mislabelled (holds chronology, not archaeology); support/object-",VERIFIED
CE-C-source-discovery,Stage C new-source & evidence discovery audit,constraint_expansion,L0 (evidence inventory),RUN_EXPLORATORY,STRUCTURAL_ONLY,C_NEW_INFORMATION_FOUND but none value-informative: Salgarella=shape/circular (<,VERIFIED
CE-D1-formula-grammar,Stage D1 formula-grammar mining,constraint_expansion,L2-L3 (structure/function),RUN_PREREGISTERED,TRIVIAL_RECOVERY,CONFIRMS_KNOWN — nothing beyond libation chain (7 stone vessels) + KU-RO/KI-RO; ,VERIFIED
CE-D2-morphology,Stage D2 morphology paradigm test (clean material),constraint_expansion,L3-L5 (grammar/lexical),RUN_PREREGISTERED,NULL,"NULL (has power, not NO_POWER) — paradigm model does not beat interpolated bigra",VERIFIED
CE-D4-accounting-closure,Stage D4 accounting-closure / fraction-typing test,constraint_expansion,L3 (function/arithmetic),RUN_PREREGISTERED,TRIVIAL_RECOVERY,CONFIRMS_KNOWN — typing fractions does NOT raise closure (8/31 exact both intege,VERIFIED
CE-D5-cross-site-support-invariance,Stage D5 cross-site/support phonotactic invariance (held-out),constraint_expansion,L2 (structure),RUN_PREREGISTERED,STRUCTURAL_ONLY,CONFIRMS_KNOWN — a GENUINE held-out positive: word-initial positional grammar su,VERIFIED
CE-D7-compression-grammar,Stage D7 administrative-grammar compression (held-out),constraint_expansion,L2 (structure),RUN_PREREGISTERED,STRUCTURAL_ONLY,CONFIRMS_KNOWN — GENUINE held-out positive: induced grammar compresses held-out ,VERIFIED
CE-E-method-validation-battery,Stage E value-recovery method-validation battery (fires on known truth),constraint_expansion,meta (method validation for L5/L6 detectors),REPRODUCED,SUPPORTED,METHOD_VALID_LA_NULL_IS_CORPUS — detectors fire on known/planted truth (LB morph,VERIFIED
CE-F-external-anchor-reaudit,Stage F external-anchor re-audit (Salgarella non-circular check),constraint_expansion,L5-L6 (lexical/phonetic value via external anchor),RUN_EXPLORATORY,NO_POWER,NO_NONCIRCULAR_ANCHOR — Salgarella's A-B scheme is the shape/homomorphy channel ,VERIFIED
CE-G-language-family-gate,Stage G language-family hypothesis authorization gate,constraint_expansion,L8 (language-id),POWER_GATED_BEFORE_RUN,NOT_APPLICABLE,G_NOT_AUTHORIZED — no value anchor exists to constrain a language-family hypothe,VERIFIED
CE-H-relabeling-invariance-null,Stage H agnostic internal value-search relabeling-invariance null,constraint_expansion,L6 (phonetic value) — proving internal null,RUN_CONFIRMATORY,NULL,PROVABLE_NULL — held-out bigram log-likelihood is IDENTICAL (-4.172251) across a,VERIFIED
CE-J-end-to-end-null,Stage J end-to-end decipherment null (gate-bounded),constraint_expansion,L6-L9 (full reading),RUN_CONFIRMATORY,NULL,No agnostic system beats the end-to-end null: only ranker left is external-ancho,VERIFIED
CE-I-sealed-challenges,Stage I sealed-challenge preregistration (no surviving hypothesis),constraint_expansion,L5-L6 (would-be sealed reading),PROPOSED_ONLY,NOT_APPLICABLE,n/a — no surviving hypothesis to seal (Stages E/F/H/J left the value layer empty,VERIFIED
CE-K-active-unlock-ranking,Stage K active-unlock ranking (what evidence would actually help),constraint_expansion,meta (acquisition planning),RUN_EXPLORATORY,NULL,Only external value-bearing evidence helps: UNLOCK_01 bilingual/biscriptal (deci,VERIFIED
CE-L-final-verdict-synthesis,Stage L final verdict synthesis (by earned layer),constraint_expansion,meta (synthesis across L0-L9),RUN_CONFIRMATORY,UNDERDETERMINED,campaign_status=COMPLETE; decipherment_readiness=NEW_CONSTRAINTS_BUT_NO_DECIPHER,VERIFIED
DIMINO-T00-CENSUS,Prior-test census: has the exact *301=/na/ core gate ever been run?,di_mino,L0,RUN_EXPLORATORY,NOT_APPLICABLE,EXACT_CORE_CLAIM_GATE (H1-H6) DOES NOT EXIST (unrun); QUALITATIVE_LITERATURE_AUD,VERIFIED
DIMINO-T01-ARCHIVE,Immutable public-claim archive + cryptographic hashing of the Di Mino claim,di_mino,L0,RUN_EXPLORATORY,NOT_APPLICABLE,"CLB-01 (AI Clambake article, 2026-06-16) + Figure 1 archived & hashed; 40-sign t",VERIFIED
DIMINO-T02-CLAIMGRAPH,Claim dependency graph + free-parameter (lower-bound search) receipt,di_mino,L1,RUN_PREREGISTERED,CIRCULAR,"Load-bearing circularity e2->e3->e4: *301 value chosen so na-wa-ya yields n-w-y,",VERIFIED
DIMINO-T03-PREREG,Frozen preregistration of H1-H12 with success/null/failure thresholds,di_mino,L0,DESIGNED_NOT_RUN,NOT_APPLICABLE,Frozen 2026-07-08 before any outcome observed; content-hashed sha 8b098a4c; prim,VERIFIED
DIMINO-T04-CORPUS,Non-circular libation-formula / *301 corpus build with derivation/held-out parti,di_mino,L2,RUN_PREREGISTERED,NOT_APPLICABLE,36 *301 attestations / 23 distinct forms / 31 LF carriers; partition 4 derivatio,VERIFIED
DIMINO-T05-SEGMENTATION,Segmentation comparison of A-TA-I-*301-WA-JA across 6 families (branching-entrop,di_mino,L2,RUN_PREREGISTERED,STRUCTURAL_ONLY,DECISIVE AGAINST the *301-WA-JA root cut: no value-free family isolates it as a ,VERIFIED
DIMINO-A-VALUE-SWEEP,Family A — exhaustive *301 value audit (H1: *301=/na/),di_mino,L6,RUN_CONFIRMATORY,REFUTED,REJECT. Primary S_morph value-INVARIANT (identical 0.2738 under any relabelling),VERIFIED
DIMINO-B-ROOT-SEARCH-NULL,Family B — Semitic root existence search-null (H2: A-TA-I-*301-WA-JA contains N-,di_mino,L5,RUN_CONFIRMATORY,NULL_PUBLISHED,REJECT — root existence is a generic search outcome: 31% (strict n-w-y) to 77% (,VERIFIED
DIMINO-B-LFAKE-CANARY,Family B — L_fake / Packard edit-distance 'match-exists' channel canary (S_lex p,di_mino,L5,RUN_CONFIRMATORY,NO_POWER,NO_POWER — the L_fake INVENTED lexicon already contains a near-match to n-w-y ~1,VERIFIED
DIMINO-B-GLOSS-FEATURE,Family B — gloss specificity + formula-feature prediction (H3: gloss 'dwell'),di_mino,L4,RUN_CONFIRMATORY,REFUTED,REJECT — 'dwell' scores 0.0/3 on observable formula features (F1 precedes theony,VERIFIED
DIMINO-C-MORPHOLOGY,Family C — exact morphology / paradigm audit + head-to-head + known-script contr,di_mino,L7,RUN_CONFIRMATORY,REFUTED,REJECT. MORPH_ROOT REFUTED (sign after *301 varies WA/U/TI/DE; *301-WA-JA recurs,VERIFIED
DIMINO-D-LOSO,Family D — leave-one-site-out formula prediction (H4 function / H6 regional para,di_mino,L3,RUN_CONFIRMATORY,NO_POWER,NO_POWER — Di Mino's exact-form prediction is IDENTICAL to the frequency/templat,VERIFIED
DIMINO-E-FULLFORMULA,Family E — full libation-formula interpretation audit (novel-parameter accountin,di_mino,L4,RUN_CONFIRMATORY,STRUCTURAL_ONLY,REJECT (one-novel-parameter): 34/35 signs of the line are conventional LB transl,VERIFIED
DIMINO-PC-CONTROLS,Positive/negative controls PC1-PC6 + PCNP (pipeline calibration),di_mino,L0,RUN_CONFIRMATORY,SUPPORTED,PASS — pipeline CALIBRATED. PC1 Ugaritic->Hebrew recovered (0.780 vs L_fake floo,VERIFIED
DIMINO-E2E-NULL,End-to-end adaptive null programme + whole-pipeline false-positive rate,di_mino,L5,RUN_CONFIRMATORY,NULL_PUBLISHED,End-to-end FP rate = 1.0; search-adjusted p ~ 1.0. Best-of-search manufactures a,VERIFIED
DIMINO-F-SIGNMAP,Family F — 40-sign map gate (H7 ~40 signs / H8 13 LA-only signs / H10 5 LB signs,di_mino,L6,SOURCE_BLOCKED,NOT_APPLICABLE,FULL_SIGN_MAP_VERDICT = SOURCE_BLOCKED — the exact 40-sign table is not publicly,VERIFIED
DIMINO-G-LEXICON,Family G — 408-term lexicon gate (H9),di_mino,L5,SOURCE_BLOCKED,NOT_APPLICABLE,FULL_LEXICON_VERDICT = SOURCE_BLOCKED — the 408-entry lexicon is a count only; n,VERIFIED
DIMINO-H-LB-CORRECTIONS,Family H — Linear B corrections gate (H10: 5 LB signs resolved),di_mino,L6,SOURCE_BLOCKED,NOT_APPLICABLE,LINEAR_B_CORRECTIONS_VERDICT = SOURCE_BLOCKED — '5 Linear B signs resolved' is a,VERIFIED
DIMINO-H-LOGOGRAM-CORRECTIONS,Family H — logogram corrections gate (H11),di_mino,L2,SOURCE_BLOCKED,NOT_APPLICABLE,LOGOGRAM_CORRECTIONS_VERDICT = SOURCE_BLOCKED — CLB-01 does not enumerate a logo,VERIFIED
DIMINO-VERDICT,Final mechanical adjudication — DI_MINO_CORE_VERDICT + extended verdicts,di_mino,L3,RUN_CONFIRMATORY,REFUTED,DI_MINO_CORE_VERDICT = REJECT. Chain *301=/na/->N-W-Y->'dwell'->Semitic fails >=,VERIFIED
DIMINO-PRIOR-QUALITATIVE-AUDIT,"PRIOR qualitative literature audit of the Di Mino claim (separate instance, not ",di_mino,L5,SUPERSEDED,NO_VERDICT_RECORDED,NOT_APPLICABLE — explicitly flagged in the paper as NOT a mechanical LOGOS verdi,VERIFIED
EGY-01,Egyptian non-Cretan correspondence corpus source-status + buildability audit (§I,egyptian,L0,SOURCE_BLOCKED,INCOMPLETE,"verdict.py: status=INCOMPLETE, egyptian_channel_readiness=NOT_READY (load-bearin",VERIFIED
EGY-02,Calibration schema + inclusion rules + M0–M9 correspondence-model prereg spec fr,egyptian,L0,DESIGNED_NOT_RUN,NOT_APPLICABLE,status=SPEC_FROZEN_AWAITING_CORPUS (sha 3c56ed71),VERIFIED
EGY-03,Hoch-1994 OCR auto-extraction of the calibration corpus (extract_hoch.py),egyptian,L0,PARTIALLY_IMPLEMENTED,INCOMPLETE,verdict UNCHANGED: INCOMPLETE / NOT_READY (auto-derived corpus noise-limited bel,VERIFIED
EGY-04,Vision-reading of Hoch 1994 page images → hand-verified calibration corpus (REQ-,egyptian,L0,REPRODUCED,SUPPORTED,gate status: INCOMPLETE(no corpus) → CORPUS DERIVED / READY-TO-FIT; sha256 cc2c2,VERIFIED
EGY-05,M2 pooled-probabilistic correspondence model fit + held-out validation (§VI),egyptian,L6,RUN_CONFIRMATORY,SUPPORTED,"acceptance=PASS, beats_baselines=true (validation.py)",VERIFIED
EGY-06,Matched-scarcity Linear-B positive control (§VII) — recovery at Cretan-anchor sc,egyptian,L6,RUN_CONFIRMATORY,SUPPORTED,control_verdict=PASS; min_detectable_anchors=2 (gate.py),VERIFIED
EGY-07,End-to-end null family — random-pairing / permuted-model / permissive-M9 (§VIII),egyptian,L6,RUN_CONFIRMATORY,SUPPORTED,specificity_ok=true; permissive_excessive_fp=false; search architecture NOT reje,VERIFIED
EGY-08,Transcription/sign-value uncertainty sensitivity (§IX),egyptian,L6,RUN_CONFIRMATORY,SUPPORTED,verdict_reverses_under_uncertainty=false (gate.py),VERIFIED
EGY-09,Egyptian-channel power envelope (§X) — minimum useful anchor count,egyptian,L6,RUN_CONFIRMATORY,SUPPORTED,min useful anchors=2; P(NO_POWER at K=3)=0.031 (gate.py),VERIFIED
EGY-10,Mechanical gate readiness verdict (§XI) → COMPLETE / READY_FOR_PREREG_DRAFT,egyptian,L0,RUN_CONFIRMATORY,SUPPORTED,"status=COMPLETE, egyptian_channel_readiness=READY_FOR_PREREG_DRAFT (verdict.py, ",VERIFIED
EGY-11,REQ-01 Aegean-list apparatus determination via Bělohoubková 2014 thesis (candida,egyptian,L1,PARTIALLY_IMPLEMENTED,INCOMPLETE,req01_status=ADVANCED_PROXIMATE_ONLY (not CLOSED); cretan_targets_confirmatory_e,VERIFIED
EGY-12,REQ-01 direct collation of Edel & Görg 2005 primary edition → frozen Cretan conf,egyptian,L1,REPRODUCED,SUPPORTED,REQ-01=CLOSED_PRIMARY_COLLATED; primary_edition_verified=true; confirmatory_elig,VERIFIED
EGY-13,Cretan-anchor one-shot confirmatory preregistration (mint) + red-team hardening ,egyptian,L6,RUN_PREREGISTERED,NOT_APPLICABLE,status=FROZEN_MINTED; plan_hash 2eab1536cf70c20d0faebafff813b190b9cea573433698b2,VERIFIED
EGY-14,Cretan-anchor one-shot confirmatory RUN — mechanical CONFIRM_GENERALIZES vs hone,egyptian,L6,RUN_PREREGISTERED,NULL_PUBLISHED,"pre-registered mechanical verdict = CONFIRM_GENERALIZES (stands, no retune, inva",VERIFIED
EA-01-SLOT-CLASSIFIER,Internal-only Linear A slot classifier (Task A),external_language,L3,REPRODUCED,STRUCTURAL_ONLY,Frozen manifest of 1165 candidates; 11 tier-B TOPONYM_LIKE = the E3 target set. ,VERIFIED
EA-02-TOPONYM-POWER-ENVELOPE,Toponym-anchor power envelope pilot (Task D / E1),external_language,L6,RUN_EXPLORATORY,NO_POWER,Design-level null (provisional): in-sample best-of-search FP~0.72-1.00 = uninfor,VERIFIED
EA-03-FROZEN-EGYPTIAN-CORRESPONDENCE-MODEL,Frozen Egyptian->foreign correspondence (group-writing->sound) distortion model ,external_language,L7,DESIGNED_NOT_RUN,INCOMPLETE,Model NOT fit; calibration source blocker (Hoch PDF OCR-corrupted) found then LI,VERIFIED
EA-04-LB-MATCHED-SCARCITY-POSITIVE-CONTROL,Linear-B matched-scarcity positive control (Task B / E2),external_language,L6,DESIGNED_NOT_RUN,INCOMPLETE,Protocol + module design + provisional degradation scaffold + 3 tests; NOT execu,VERIFIED
EA-05-END-TO-END-NULL-FRAMEWORK,End-to-end null framework + adaptive-choice inventory + search-receipt spec (Tas,external_language,L6,PARTIALLY_IMPLEMENTED,INCOMPLETE,Spec + 10 null families + config schema + generators for families 1/3/4/5/10; fa,VERIFIED
EA-06-E3-TOPONYM-CONFIRMATORY,Egyptian toponym-anchor confirmatory test (E3),external_language,L7,PROPOSED_ONLY,NO_VERDICT_RECORDED,Behind Stage-4 hard human-approval gate; never timestamped or run; EA-02 leans N,VERIFIED
EA-07-EA5647-PERSONAL-NAMES-GREEK,Personal-name anchor channel (E4) + EA5647 Keftiu-names identification,external_language,L8,RUN_EXPLORATORY,TRIVIAL_RECOVERY,REQ-03 closed: EA5647's seven Keftiu names read as GREEK via LB/Greek onomastics,VERIFIED
EA-08-E5-ADMIN-SEMANTIC-ONTOLOGY,Mari/Ugarit/Egypt administrative ontology -> LA semantic schema (E5 / RQ1),external_language,L4,PROPOSED_ONLY,INCOMPLETE,Bronze Mari/Kaptara records audited (REQ-04); the supplied Mari scan is a chrono,VERIFIED
EA-09-E6-KEFTIU-RITUAL-PHONOLOGY,Keftiu ritual-language phonological constraints (E6 / RQ4),external_language,L6,PROPOSED_ONLY,INCOMPLETE,Exploratory-only for phonology; voces magicae distortion + possible non-coherenc,VERIFIED
EA-10-E8-CANDIDATE-LANGUAGE-TOURNAMENT,Candidate-language tournament at equal budget (E8 / RQ5),external_language,L8,PROPOSED_ONLY,NO_VERDICT_RECORDED,"Runs LAST, only after anchor+calibration+null layers frozen, so it cannot become",VERIFIED
EA-11-E7-POPULATION-PRIOR,Population-history (aDNA/archaeology) prior audit (E7 / RQ6),external_language,L8,PROPOSED_ONLY,NO_VERDICT_RECORDED,May reorder candidate tests by AT MOST a modest prior-odds nudge; held-out textu,VERIFIED
EA-12-EGYPTIAN-CALIBRATION-CORPUS-BUILD,Egyptian foreign-form calibration corpus build (Task B corpus / REQ-02),external_language,L7,SOURCE_BLOCKED,INCOMPLETE,Hoch 1994 PDF OCR corrupts the transliteration -> not fittable; no machine-reada,VERIFIED
LC-01-SIGLA-SILVER-RECONCILE,SigLA<->silver reconciliation crosswalk + corpus delta,external_language,L1,RUN_CONFIRMATORY,STRUCTURAL_ONLY,matched 575; only-silver 766 (730 genuinely absent); only-SigLA 227 (143 genuine,VERIFIED
LC-02-AB-SIGN-EQUIVALENCE-MAP,A<->B sign-equivalence map freeze (77 tier-A homomorphs),external_language,L1,RUN_CONFIRMATORY,STRUCTURAL_ONLY,77 tier-A AB homomorphs (LEVEL_1 shared GORILA id; 63 high-attestation >=10 toke,VERIFIED
LC-03-KNOWN-PAIR-AUDIT,Known-pair source-critical audit (the five continuities),external_language,L5,RUN_CONFIRMATORY,TRIVIAL_RECOVERY,"4 DEVELOPMENT_BENCHMARK, 1 CONFIRMATORY_INELIGIBLE (di-ki-ta absent in silver), ",VERIFIED
LC-04-LA-CANDIDATE-PACKET-FREEZE,Internal-only LA candidate packet freeze (packet A),external_language,L3,RUN_CONFIRMATORY,STRUCTURAL_ONLY,"PRIMARY 11 (tier-B TOPONYM_LIKE), SENSITIVITY_1 33, NEGATIVE_CONTROL 21, QUARANT",VERIFIED
LC-05-LB-TARGET-MANIFEST-FREEZE,Independent LB toponym target manifest freeze (packet B),external_language,L4,RUN_CONFIRMATORY,STRUCTURAL_ONLY,"33 targets: 5 DEVELOPMENT (known-pair LB forms), 16 EVALUATION (independent KN t",VERIFIED
LC-06-CONTINUITY-MATCHING-MODEL,"Administrative toponym-continuity matching model A1-A5 (exact identity, no free ",external_language,L5,RUN_CONFIRMATORY,NULL_PUBLISHED,PRIMARY_B(11) x EVALUATION(16) = 0 matched pairs at every layer A1-A5; PRIMARY_P,VERIFIED
LC-07-CONTINUITY-POSITIVE-CONTROLS,Continuity positive controls PC1-PC4 (sensitivity),external_language,L5,RUN_CONFIRMATORY,SUPPORTED,"PC1 exact implant 100% recovery / 0 incidental FP (K=1,3,6); PC2 degraded (1 fla",VERIFIED
LC-08-CONTINUITY-END-TO-END-NULLS,"Continuity end-to-end null families (10 families, N=4000)",external_language,L5,RUN_CONFIRMATORY,NULL_PUBLISHED,"Channel is specific: freq-matched FP 1.25%, others 0.6-0.7%, real-data controls ",VERIFIED
LC-09-CONTINUITY-HELDOUT,Held-out generalization + known-pair LOO diagnostic (§VI),external_language,L5,RUN_CONFIRMATORY,NULL_PUBLISHED,Held-out PRIMARY(11)xEVALUATION(16)=0 at every layer; known-pair LOO: 2/5 exact-,VERIFIED
LC-10-CONTINUITY-POWER-ENVELOPE,Continuity power envelope (exact vs drift) (§VII),external_language,L5,RUN_CONFIRMATORY,NO_POWER,Full power for EXACT continuity (min detectable = 1 pair; recovery 1.0); ZERO po,VERIFIED
LC-11-CONTINUITY-CIRCULARITY-AUDIT,Continuity circularity audit (§IX),external_language,L5,RUN_CONFIRMATORY,SUPPORTED,"CIRCULARITY_LOW: all load-bearing components LOW (candidate blind, target indepe",VERIFIED
LC-12-CHANNEL-COMPARISON,Risk-adjusted channel comparison (LA<->LB vs Egyptian),external_language,L5,RUN_CONFIRMATORY,PARTIAL_SUPPORT,LA<->LB far more specific (FP 1.25% vs Egyptian 22-30%) and far lower circularit,VERIFIED
LC-13-ADMIN-CHANNEL-CLOSURE,Administrative channel final verdict + closure (split verdict),external_language,L5,RUN_CONFIRMATORY,NULL_PUBLISHED,"status=COMPLETE, channel_readiness=NO_POWER, circularity=LOW. Split: H_exact=NUL",VERIFIED
LR-01-LA-RITUAL-CANDIDATE-INVENTORY,"LA ritual candidate inventory (packet A, internal-only)",external_language,L3,RUN_CONFIRMATORY,STRUCTURAL_ONLY,"PRIMARY_RITUAL 9 (7 cross-site, 2 single-site), SENSITIVITY 231 (tier-C hapaxes/",VERIFIED
LR-02-LB-RITUAL-TARGET-INVENTORY,"LB ritual/religious target inventory (packet B, LB-only)",external_language,L4,RUN_CONFIRMATORY,STRUCTURAL_ONLY,"29 targets: 15 EVALUATION religious, 4 DEVELOPMENT, 4 KNOWN quarantined, 6 NEGAT",VERIFIED
LR-03-KNOWN-RITUAL-PAIR-LEDGER,Known ritual-pair quarantine ledger (§VII),external_language,L5,RUN_CONFIRMATORY,TRIVIAL_RECOVERY,"5 pairs (incl PA-I-TO admin comparison): SE-TO-I-JA 0 edits, PA-I-TO 0 edits, TU",VERIFIED
LR-04-INDEPENDENT-DRIFT-FEASIBILITY,Independent drift-model feasibility audit (D0-D4; D3 admissibility),external_language,L6,RUN_CONFIRMATORY,REFUTED,"D3 (independent constrained edit, >=2 subs) NOT admissible: transformations_esti",VERIFIED
LR-05-RITUAL-LEAKAGE-FIREWALL,Ritual leakage firewall proven before any matching interface (§XI),external_language,L3,RUN_CONFIRMATORY,SUPPORTED,"7/7 (report lists 8 guarantees) pass: LA builder cannot read LB, LB cannot read ",VERIFIED
LR-06-RITUAL-POSITIVE-CONTROLS,Ritual feasibility positive controls PC-R1..R4 (synthetic/within-script),external_language,L5,RUN_CONFIRMATORY,SUPPORTED,PC-R1 exact synthetic implant recovered 1/1..5/5; PC-R2 degraded recovered only ,VERIFIED
LR-07-RITUAL-NULLS-POWER-SIM,"Ritual null families + power simulation (12 families, permissive-drift FP)",external_language,L5,RUN_CONFIRMATORY,NO_POWER,"Exact: FP 0.8% (1.6% post-hoc-bounded), full power min-detectable 1. Permissive-",VERIFIED
LR-08-RITUAL-FINAL-FEASIBILITY-VERDICT,Final ritual feasibility verdict (§XII),external_language,L5,RUN_CONFIRMATORY,NO_POWER,"status=COMPLETE, ritual_channel_readiness=NO_POWER. Triggers: (1) drift model no",VERIFIED
