# AUDITED (derived from ledger fields): status terminality; presence of a terminal verdict; presence of at least one fielded control/null-design field (positive_control / negative_control / adversarial_control / synthetic_control / null_design). NOT AUDITED by this table: scientific adequacy of nulls, holdout usage, or verdict correctness — those are audited per-epoch in VERIFICATION_AUDIT.md and each ledger entry's orchestrator_verification field.
epoch_id,status,terminal,has_verdict,has_control_field,scientific_completeness,required_action
EPOCH-029,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-030,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-031,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-032,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-033,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-034,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-035,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-036,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-037,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-038,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-039,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-040,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-041,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-042,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-043,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-044,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-045,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-046,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-047,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-048,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-049,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-050,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-051,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-052,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-053,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-054,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-055,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-056,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-057,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-058,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-059,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-060,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-061,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-062,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-063,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-064,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-065,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-066,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-067,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-068,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-069,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-070,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-071,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-072,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-073,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-074,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-075,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-076,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-077,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-078,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-079,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-080,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-081,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-082,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-083,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-084,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-085,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-086,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-087,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-088,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-089,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-090,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-091,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-092,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-093,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-094,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-095,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-096,DE_AUTHORIZED,yes,yes,no (pre-field-schema),LEGACY_SCHEMA_OK,none
EPOCH-097,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-098,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-099,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-100,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-101,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-102,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-103,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-104,BANKED,yes,yes,yes,COMPLETE,none
EPOCH-105,BANKED,yes,yes,yes,COMPLETE,none
