method_id,method,campaign,claim_layer,held_out,null,outcome,verdict,power,licence
CE-D1-formula-grammar,Stage D1 formula-grammar mining,constraint_expansion,L2-L3 (structure,site-holdout + support-holdout + cross-g,order-shuffle null; run_count NOT_RECORD,TRIVIAL_RECOVERY,CONFIRMS_KNOWN — nothing beyond libation chain (7 ,corpus too shallow (mean,none (FUNCTIONAL not ear
CE-D2-morphology,Stage D2 morphology paradigm test (clean material),constraint_expansion,L3-L5 (grammar/l,"unseen-stem families, 5fold x 5seed, ser",interpolated bigram at 3 lambda; run_cou,NULL,"NULL (has power, not NO_POWER) — paradigm model do",HAS POWER (Stage E LB po,none
CE-D4-accounting-closure,Stage D4 accounting-closure / fraction-typing test,constraint_expansion,L3 (function/ari,closure is a within-corpus arithmetic ch,integer-only closure as baseline,TRIVIAL_RECOVERY,CONFIRMS_KNOWN — typing fractions does NOT raise c,planted control recovers,none (re-derives Bennett
CE-D5-cross-site-support-invariance,Stage D5 cross-site/support phonotactic invariance (held-out,constraint_expansion,L2 (structure),simultaneous site+support removal + held,metadata-preserving null,STRUCTURAL_ONLY,CONFIRMS_KNOWN — a GENUINE held-out positive: word,fires (significant held-,none (STRUCTURAL positiv
CE-D7-compression-grammar,Stage D7 administrative-grammar compression (held-out),constraint_expansion,L2 (structure),series-disjoint held-out documents,6 baselines + 2 shuffle nulls,STRUCTURAL_ONLY,CONFIRMS_KNOWN — GENUINE held-out positive: induce,fires (beats all baselin,none (STRUCTURAL positiv
CE-E-method-validation-battery,Stage E value-recovery method-validation battery (fires on k,constraint_expansion,meta (method val,"LB positive control on 13,562 wordforms;",best-of-100 random-map null x 500 trials,SUPPORTED,METHOD_VALID_LA_NULL_IS_CORPUS — detectors fire on,DEMONSTRATED — detectors,none (validates detector
CE-F-external-anchor-reaudit,Stage F external-anchor re-audit (Salgarella non-circular ch,constraint_expansion,L5-L6 (lexical/p,leave-one-anchor-out (LOTO) as the stand,references 2 frozen preregistered REFUTE,NO_POWER,NO_NONCIRCULAR_ANCHOR — Salgarella's A-B scheme is,no non-circular anchor s,none (SEMANTIC/LEXICAL/P
CE-G-language-family-gate,Stage G language-family hypothesis authorization gate,constraint_expansion,L8 (language-id),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,G_NOT_AUTHORIZED — no value anchor exists to const,NOT_APPLICABLE (gated be,none (LANGUAGE_ID NOT_EA
CE-H-relabeling-invariance-null,Stage H agnostic internal value-search relabeling-invariance,constraint_expansion,L6 (phonetic val,held-out sequence likelihood under relab,30 random value-maps (LL identical); gro,NULL,PROVABLE_NULL — held-out bigram log-likelihood is ,PROVABLE (analytic invar,none (proves the interna
CE-J-end-to-end-null,Stage J end-to-end decipherment null (gate-bounded),constraint_expansion,L6-L9 (full read,held-out value hits (internal 0.0); gate,best-of-100 random-map null x 500 trials,NULL,No agnostic system beats the end-to-end null: only,gate calibrated; interna,none
CE-I-sealed-challenges,Stage I sealed-challenge preregistration (no surviving hypot,constraint_expansion,L5-L6 (would-be ,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,n/a — no surviving hypothesis to seal (Stages E/F/,NOT_APPLICABLE,none
CE-K-active-unlock-ranking,Stage K active-unlock ranking (what evidence would actually ,constraint_expansion,meta (acquisitio,NOT_APPLICABLE,NOT_APPLICABLE,NULL,Only external value-bearing evidence helps: UNLOCK,NOT_APPLICABLE,none
CE-L-final-verdict-synthesis,Stage L final verdict synthesis (by earned layer),constraint_expansion,meta (synthesis ,all positives are held-out but known (D5,NOT_APPLICABLE (synthesis),UNDERDETERMINED,campaign_status=COMPLETE; decipherment_readiness=N,NOT_APPLICABLE,none (all LA transfer li
DIMINO-T00-CENSUS,Prior-test census: has the exact *301=/na/ core gate ever be,di_mino,L0,NOT_APPLICABLE,,NOT_APPLICABLE,EXACT_CORE_CLAIM_GATE (H1-H6) DOES NOT EXIST (unru,NOT_APPLICABLE,none
DIMINO-T01-ARCHIVE,Immutable public-claim archive + cryptographic hashing of th,di_mino,L0,NOT_APPLICABLE,,NOT_APPLICABLE,"CLB-01 (AI Clambake article, 2026-06-16) + Figure ",NOT_APPLICABLE,none
DIMINO-T02-CLAIMGRAPH,Claim dependency graph + free-parameter (lower-bound search),di_mino,L1,identifies the mechanical break: does /n,,CIRCULAR,Load-bearing circularity e2->e3->e4: *301 value ch,NOT_APPLICABLE,none
DIMINO-T03-PREREG,Frozen preregistration of H1-H12 with success/null/failure t,di_mino,L0,leave-target-out (remove A-TA-I-*301-WA-,,NOT_APPLICABLE,Frozen 2026-07-08 before any outcome observed; con,min ~3 independent held-,none (design)
DIMINO-T04-CORPUS,Non-circular libation-formula / *301 corpus build with deriv,di_mino,L2,named leave-form-out forms A-TA-I-*301-D,,NOT_APPLICABLE,36 *301 attestations / 23 distinct forms / 31 LF c,held_out 32; leave-site-,none
DIMINO-T05-SEGMENTATION,Segmentation comparison of A-TA-I-*301-WA-JA across 6 famili,di_mino,L2,"distributional edges scored corpus-wide,",,STRUCTURAL_ONLY,DECISIVE AGAINST the *301-WA-JA root cut: no value,NOT_APPLICABLE,STRUCTURAL only (value-f
DIMINO-A-VALUE-SWEEP,Family A — exhaustive *301 value audit (H1: *301=/na/),di_mino,L6,leave-target-out (remove A-TA-I-*301-WA-,,REFUTED,REJECT. Primary S_morph value-INVARIANT (identical,ADEQUATE — 32 held-out f,none (H1 phonetic value 
DIMINO-B-ROOT-SEARCH-NULL,Family B — Semitic root existence search-null (H2: A-TA-I-*3,di_mino,L5,H2 held-out recurrence tested in family ,,NULL_PUBLISHED,REJECT — root existence is a generic search outcom,ADEQUATE (enumerable ons,none (H2 lexical not ear
DIMINO-B-LFAKE-CANARY,Family B — L_fake / Packard edit-distance 'match-exists' cha,di_mino,L5,NOT_APPLICABLE (floor calibration),,NO_POWER,NO_POWER — the L_fake INVENTED lexicon already con,ZERO (floor >= real),none
DIMINO-B-GLOSS-FEATURE,Family B — gloss specificity + formula-feature prediction (H,di_mino,L4,diagnostic (no held-out; no bilingual gr,,REFUTED,REJECT — 'dwell' scores 0.0/3 on observable formul,limited (single target w,none (H3 semantic not ea
DIMINO-C-MORPHOLOGY,Family C — exact morphology / paradigm audit + head-to-head ,di_mino,L7,leave-target-out (fraction of non-target,,REFUTED,REJECT. MORPH_ROOT REFUTED (sign after *301 varies,MORPH detector has power,L3 structural only (gene
DIMINO-D-LOSO,Family D — leave-one-site-out formula prediction (H4 functio,di_mino,L3,leave-one-site-out; derivation sites Iou,,NO_POWER,NO_POWER — Di Mino's exact-form prediction is IDEN,INSUFFICIENT — 3 effecti,none from D (H4 function
DIMINO-E-FULLFORMULA,Family E — full libation-formula interpretation audit (novel,di_mino,L4,word-order recurrence tested across 12 m,,STRUCTURAL_ONLY,REJECT (one-novel-parameter): 34/35 signs of the l,NOT_APPLICABLE,L3 structural (invocatio
DIMINO-PC-CONTROLS,Positive/negative controls PC1-PC6 + PCNP (pipeline calibrat,di_mino,L0,known ground-truth scenarios,,SUPPORTED,PASS — pipeline CALIBRATED. PC1 Ugaritic->Hebrew r,confirmed on controls; d,NOT_APPLICABLE (calibrat
DIMINO-E2E-NULL,End-to-end adaptive null programme + whole-pipeline false-po,di_mino,L5,observed chain vs manufactured-null chai,,NULL_PUBLISHED,End-to-end FP rate = 1.0; search-adjusted p ~ 1.0.,value channel HAS power ,none
DIMINO-F-SIGNMAP,Family F — 40-sign map gate (H7 ~40 signs / H8 13 LA-only si,di_mino,L6,NOT_APPLICABLE,,NOT_APPLICABLE,FULL_SIGN_MAP_VERDICT = SOURCE_BLOCKED — the exact,NOT_APPLICABLE,none
DIMINO-G-LEXICON,Family G — 408-term lexicon gate (H9),di_mino,L5,NOT_APPLICABLE,,NOT_APPLICABLE,FULL_LEXICON_VERDICT = SOURCE_BLOCKED — the 408-en,NOT_APPLICABLE,none
DIMINO-H-LB-CORRECTIONS,Family H — Linear B corrections gate (H10: 5 LB signs resolv,di_mino,L6,NOT_APPLICABLE,,NOT_APPLICABLE,LINEAR_B_CORRECTIONS_VERDICT = SOURCE_BLOCKED — '5,NOT_APPLICABLE,none
DIMINO-H-LOGOGRAM-CORRECTIONS,Family H — logogram corrections gate (H11),di_mino,L2,NOT_APPLICABLE,,NOT_APPLICABLE,LOGOGRAM_CORRECTIONS_VERDICT = SOURCE_BLOCKED — CL,NOT_APPLICABLE,none
DIMINO-VERDICT,Final mechanical adjudication — DI_MINO_CORE_VERDICT + exten,di_mino,L3,composite of leave-target/site/form-out ,,REFUTED,DI_MINO_CORE_VERDICT = REJECT. Chain *301=/na/->N-,ADEQUATE (PC passed -> g,L3 functional/structural
DIMINO-PRIOR-QUALITATIVE-AUDIT,PRIOR qualitative literature audit of the Di Mino claim (sep,di_mino,L5,NOT_APPLICABLE,,NO_VERDICT_RECORDED,NOT_APPLICABLE — explicitly flagged in the paper a,NOT_APPLICABLE,none
EGY-01,Egyptian non-Cretan correspondence corpus source-status + bu,egyptian,L0,NOT_APPLICABLE,NOT_APPLICABLE,INCOMPLETE,"verdict.py: status=INCOMPLETE, egyptian_channel_re",unassessable (no fittabl,NONE
EGY-02,Calibration schema + inclusion rules + M0–M9 correspondence-,egyptian,L0,grouped k-fold + leave-one-family/genre/,"planned, not yet run",NOT_APPLICABLE,status=SPEC_FROZEN_AWAITING_CORPUS (sha 3c56ed71),NOT_APPLICABLE,NONE
EGY-03,Hoch-1994 OCR auto-extraction of the calibration corpus (ext,egyptian,L0,NOT_APPLICABLE,NOT_APPLICABLE,INCOMPLETE,verdict UNCHANGED: INCOMPLETE / NOT_READY (auto-de,NOT_APPLICABLE (corpus b,NONE
EGY-04,Vision-reading of Hoch 1994 page images → hand-verified cali,egyptian,L0,later skeleton-collision holdout applied,NOT_APPLICABLE,SUPPORTED,gate status: INCOMPLETE(no corpus) → CORPUS DERIVE,adequate to fit (≥150 ti,NONE (a calibration corp
EGY-05,M2 pooled-probabilistic correspondence model fit + held-out ,egyptian,L6,leave-one-out top-1 + leave-one-family-o,nulls run separately (EGY-07),SUPPORTED,"acceptance=PASS, beats_baselines=true (validation.",adequate at n=152; East ,NONE (calibration-intern
EGY-06,Matched-scarcity Linear-B positive control (§VII) — recovery,egyptian,L6,LOO by length,per-anchor null referenced (see EGY-07),SUPPORTED,control_verdict=PASS; min_detectable_anchors=2 (ga,min detectable 2 anchors,NONE
EGY-07,End-to-end null family — random-pairing / permuted-model / p,egyptian,L6,LOO top-1,"3 null families (random_pairing, permute",SUPPORTED,specificity_ok=true; permissive_excessive_fp=false,NOT_APPLICABLE,NONE
EGY-08,Transcription/sign-value uncertainty sensitivity (§IX),egyptian,L6,LOO under perturbation,NOT_APPLICABLE,SUPPORTED,verdict_reverses_under_uncertainty=false (gate.py),stays ≫ null even at HIG,NONE
EGY-09,Egyptian-channel power envelope (§X) — minimum useful anchor,egyptian,L6,LOO,per-anchor null (shared with EGY-06/07),SUPPORTED,min useful anchors=2; P(NO_POWER at K=3)=0.031 (ga,this IS the power analys,NONE
EGY-10,Mechanical gate readiness verdict (§XI) → COMPLETE / READY_F,egyptian,L0,inherits EGY-05/EGY-06,inherits EGY-07 (3),SUPPORTED,"status=COMPLETE, egyptian_channel_readiness=READY_",min detectable 2 anchors,NONE (design readiness o
EGY-11,REQ-01 Aegean-list apparatus determination via Bělohoubková ,egyptian,L1,NOT_APPLICABLE,NOT_APPLICABLE,INCOMPLETE,req01_status=ADVANCED_PROXIMATE_ONLY (not CLOSED);,NOT_APPLICABLE,NONE
EGY-12,REQ-01 direct collation of Edel & Görg 2005 primary edition ,egyptian,L1,NOT_APPLICABLE (target freeze),NOT_APPLICABLE,SUPPORTED,REQ-01=CLOSED_PRIMARY_COLLATED; primary_edition_ve,NOT_APPLICABLE,NONE (freeze only; no ma
EGY-13,Cretan-anchor one-shot confirmatory preregistration (mint) +,egyptian,L6,skeleton-collision holdout → zero target,joint permutation null N=10000; scramble,NOT_APPLICABLE,status=FROZEN_MINTED; plan_hash 2eab1536cf70c20d0f,endpoint-clearability: r,NONE (prereg only)
EGY-14,Cretan-anchor one-shot confirmatory RUN — mechanical CONFIRM,egyptian,L6,Lev≤1 skeleton-collision holdout (real; ,"1 joint permutation null, N=10000 (null ",NULL_PUBLISHED,pre-registered mechanical verdict = CONFIRM_GENERA,p-value establishes non-,NONE (downstream vocaliz
EA-01-SLOT-CLASSIFIER,Internal-only Linear A slot classifier (Task A),external_language,L3,leave-one-site-out (heldout_group=primar,"NOT_APPLICABLE (classifier, not a matche",STRUCTURAL_ONLY,Frozen manifest of 1165 candidates; 11 tier-B TOPO,NOT_APPLICABLE,none (STRUCTURAL scaffol
EA-02-TOPONYM-POWER-ENVELOPE,Toponym-anchor power envelope pilot (Task D / E1),external_language,L6,in-sample vs held-out anchor evaluation ,Monte-Carlo 300 trials/cell x 5 anchor c,NO_POWER,Design-level null (provisional): in-sample best-of,leans NO_POWER for the n,none
EA-03-FROZEN-EGYPTIAN-CORRESPONDENCE-MODEL,Frozen Egyptian->foreign correspondence (group-writing->soun,external_language,L7,"model frozen on independent corpus, appl",NOT_APPLICABLE (not run),INCOMPLETE,Model NOT fit; calibration source blocker (Hoch PD,NOT_RECORDED,none
EA-04-LB-MATCHED-SCARCITY-POSITIVE-CONTROL,Linear-B matched-scarcity positive control (Task B / E2),external_language,L6,mapping learned on training anchors must,shares EA-05 null families; not run,INCOMPLETE,Protocol + module design + provisional degradation,gate: if pipeline cannot,none
EA-05-END-TO-END-NULL-FRAMEWORK,End-to-end null framework + adaptive-choice inventory + sear,external_language,L6,pilot shows in-sample statistic null P~1,10 families designed; 5 with working gen,INCOMPLETE,Spec + 10 null families + config schema + generato,NOT_RECORDED,none
EA-06-E3-TOPONYM-CONFIRMATORY,Egyptian toponym-anchor confirmatory test (E3),external_language,L7,"train mapping on some sites, predict hel",EA-05 families (not run),NO_VERDICT_RECORDED,Behind Stage-4 hard human-approval gate; never tim,provisional NO_POWER-lea,none (PHONETIC transfer 
EA-07-EA5647-PERSONAL-NAMES-GREEK,Personal-name anchor channel (E4) + EA5647 Keftiu-names iden,external_language,L8,"channel would run last, gated on minoan_",NOT_APPLICABLE,TRIVIAL_RECOVERY,REQ-03 closed: EA5647's seven Keftiu names read as,low a-priori (thin Minoa,none
EA-08-E5-ADMIN-SEMANTIC-ONTOLOGY,Mari/Ugarit/Egypt administrative ontology -> LA semantic sch,external_language,L4,NOT_RECORDED,NOT_APPLICABLE,INCOMPLETE,Bronze Mari/Kaptara records audited (REQ-04); the ,NOT_RECORDED,none (would earn at most
EA-09-E6-KEFTIU-RITUAL-PHONOLOGY,Keftiu ritual-language phonological constraints (E6 / RQ4),external_language,L6,NOT_RECORDED,NOT_APPLICABLE,INCOMPLETE,Exploratory-only for phonology; voces magicae dist,NOT_RECORDED,none
EA-10-E8-CANDIDATE-LANGUAGE-TOURNAMENT,Candidate-language tournament at equal budget (E8 / RQ5),external_language,L8,held-out textual evidence remains decisi,EA-05 family 9 (false candidate language,NO_VERDICT_RECORDED,"Runs LAST, only after anchor+calibration+null laye",NOT_RECORDED,none (LANGUAGE_ID NOT_AU
EA-11-E7-POPULATION-PRIOR,Population-history (aDNA/archaeology) prior audit (E7 / RQ6),external_language,L8,NOT_RECORDED,NOT_APPLICABLE,NO_VERDICT_RECORDED,May reorder candidate tests by AT MOST a modest pr,NOT_RECORDED,none
EA-12-EGYPTIAN-CALIBRATION-CORPUS-BUILD,Egyptian foreign-form calibration corpus build (Task B corpu,external_language,L7,NOT_APPLICABLE (calibration data),NOT_APPLICABLE,INCOMPLETE,Hoch 1994 PDF OCR corrupts the transliteration -> ,a too-small subset would,none
LC-01-SIGLA-SILVER-RECONCILE,SigLA<->silver reconciliation crosswalk + corpus delta,external_language,L1,NOT_APPLICABLE,NOT_APPLICABLE,STRUCTURAL_ONLY,matched 575; only-silver 766 (730 genuinely absent,NOT_APPLICABLE,none (structural reconci
LC-02-AB-SIGN-EQUIVALENCE-MAP,A<->B sign-equivalence map freeze (77 tier-A homomorphs),external_language,L1,NOT_APPLICABLE (repertoire map),perturbed-map used as null family 8 in L,STRUCTURAL_ONLY,77 tier-A AB homomorphs (LEVEL_1 shared GORILA id;,NOT_APPLICABLE,"none (ORTHOGRAPHIC only,"
LC-03-KNOWN-PAIR-AUDIT,Known-pair source-critical audit (the five continuities),external_language,L5,quarantined; §VII/§VIII must not read th,NOT_APPLICABLE,TRIVIAL_RECOVERY,"4 DEVELOPMENT_BENCHMARK, 1 CONFIRMATORY_INELIGIBLE",NOT_APPLICABLE (developm,none
LC-04-LA-CANDIDATE-PACKET-FREEZE,Internal-only LA candidate packet freeze (packet A),external_language,L3,membership frozen before any matching,NOT_APPLICABLE (input freeze),STRUCTURAL_ONLY,"PRIMARY 11 (tier-B TOPONYM_LIKE), SENSITIVITY_1 33",the tiny 11-candidate se,none
LC-05-LB-TARGET-MANIFEST-FREEZE,Independent LB toponym target manifest freeze (packet B),external_language,L4,16 EVALUATION targets held for the singl,false-LB-target null = family 7 in LC-08,STRUCTURAL_ONLY,"33 targets: 5 DEVELOPMENT (known-pair LB forms), 1",16 EVALUATION targets x ,none
LC-06-CONTINUITY-MATCHING-MODEL,Administrative toponym-continuity matching model A1-A5 (exac,external_language,L5,PRIMARY x EVALUATION run ONCE after all ,compared to LC-08 nulls (observed 0 sits,NULL_PUBLISHED,PRIMARY_B(11) x EVALUATION(16) = 0 matched pairs a,full for exact continuit,none (no phonetic/lexica
LC-07-CONTINUITY-POSITIVE-CONTROLS,Continuity positive controls PC1-PC4 (sensitivity),external_language,L5,controls establish sensitivity floor bef,"NOT_APPLICABLE (controls, not nulls)",SUPPORTED,PC1 exact implant 100% recovery / 0 incidental FP ,confirms exact-continuit,none
LC-08-CONTINUITY-END-TO-END-NULLS,"Continuity end-to-end null families (10 families, N=4000)",external_language,L5,observed=0 compared to null distribution,"10 families, N=4000 each",NULL_PUBLISHED,"Channel is specific: freq-matched FP 1.25%, others",specificity good; sensit,none
LC-09-CONTINUITY-HELDOUT,Held-out generalization + known-pair LOO diagnostic (§VI),external_language,L5,PRIMARY x EVALUATION run once after all ,compared to LC-08,NULL_PUBLISHED,Held-out PRIMARY(11)xEVALUATION(16)=0 at every lay,sensitivity ceiling = ex,none
LC-10-CONTINUITY-POWER-ENVELOPE,Continuity power envelope (exact vs drift) (§VII),external_language,L5,recovery vs null 95th percentile,"FP 1.25%/family, 3.21% combined",NO_POWER,Full power for EXACT continuity (min detectable = ,step function: FULL exac,none
LC-11-CONTINUITY-CIRCULARITY-AUDIT,Continuity circularity audit (§IX),external_language,L5,held-out evaluation ran once after hash-,NOT_APPLICABLE,SUPPORTED,CIRCULARITY_LOW: all load-bearing components LOW (,NOT_APPLICABLE,none
LC-12-CHANNEL-COMPARISON,Risk-adjusted channel comparison (LA<->LB vs Egyptian),external_language,L5,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL_SUPPORT,LA<->LB far more specific (FP 1.25% vs Egyptian 22,LA<->LB power ~0 for gen,none
LC-13-ADMIN-CHANNEL-CLOSURE,Administrative channel final verdict + closure (split verdic,external_language,L5,certified once-run,10 families (LC-08),NULL_PUBLISHED,"status=COMPLETE, channel_readiness=NO_POWER, circu","exact full, drift zero",none (no phonetic/langua
LR-01-LA-RITUAL-CANDIDATE-INVENTORY,"LA ritual candidate inventory (packet A, internal-only)",external_language,L3,packet frozen before any matching (none ,NOT_APPLICABLE (inventory),STRUCTURAL_ONLY,"PRIMARY_RITUAL 9 (7 cross-site, 2 single-site), SE",the tiny independent cou,none
LR-02-LB-RITUAL-TARGET-INVENTORY,"LB ritual/religious target inventory (packet B, LB-only)",external_language,L4,15 EVALUATION held for a hypothetical fu,NOT_APPLICABLE,STRUCTURAL_ONLY,"29 targets: 15 EVALUATION religious, 4 DEVELOPMENT",15 targets is adequate c,none
LR-03-KNOWN-RITUAL-PAIR-LEDGER,Known ritual-pair quarantine ledger (§VII),external_language,L5,quarantined from both packets and the dr,informs null family 11 (known-pair selec,TRIVIAL_RECOVERY,5 pairs (incl PA-I-TO admin comparison): SE-TO-I-J,removes the only exact d,none
LR-04-INDEPENDENT-DRIFT-FEASIBILITY,Independent drift-model feasibility audit (D0-D4; D3 admissi,external_language,L6,target pairs would have to be absent fro,no admissible independent-drift null (fa,REFUTED,"D3 (independent constrained edit, >=2 subs) NOT ad",admissible models span 0,none
LR-05-RITUAL-LEAKAGE-FIREWALL,Ritual leakage firewall proven before any matching interface,external_language,L3,firewall exists before any matching inte,NOT_APPLICABLE,SUPPORTED,7/7 (report lists 8 guarantees) pass: LA builder c,NOT_APPLICABLE,none
