designation,site,description,publication,year,pages,translit_printed,accessibility,notes,channel,sources,class
ZA 11,Zakros,New join to tablet ZA 11 from fragments found among 1960s excavation sherds in Siteia Museum,To be published by V. Petrakis within L. Platon's publication of palace Room XVI,,rapport p. 108,no,pending_edition,Join announced only; no reading of joined text printed; check for Petrakis publication after 2021,delfreo-rapport,delfreo-rapport,c_pending_edition
PYR Zb 5 (-> PYR Yb 01 (?)),Pyrgos (Myrtos-Pyrgos),"Vase fragment (MSKN MP/71/79), two signs incised before firing, found 1971, LM I context with possible MM cup fragment; REATTRIBUTED from LA (PYR Zb 5) to Cretan Hieroglyphic PYR Yb 01 (?): readings ]025-056[ / ]025-019[ / ]027-056[ / ]027-019[ vs old ]AB 04-57[","Ferrara, Weingarten & Cadogan 2016, SMEA NS 2, 81-99 (87-88, 94-95, Fig. 7); cf. Rapport 1991-1995, 428-429",2016,rapport pp. 92-93,yes,open,REMOVAL candidate from LA corpus: rapport endorses hieroglyphic attribution ('ne semble pas inappropriee'); Olivier's original LA attribution was 'sans trop de conviction'; normalize PYRZb5 accordingly,delfreo-rapport,delfreo-rapport,a_ingestible
KN S (4/4) 01,Knossos (Bougada Metochi / Anetaki plot),"Four-sided glass-paste/steatite seal (Herakleion Ephorate inv. D 3702), found 2016 (Kanta); Archanes formula 042-019 | 019-095-052 on face alpha; classified HIEROGLYPHIC in rapport but LA attribution argued (Godart 1999; Anastasiadou 2016: cf. AB 08-31-31-60-13 on libation tables)","Kanta, Palaima & Perna 2022, Kadmos 61, 61-96",2022,rapport pp. 87-90,partial,open,AMBIGUITY row (listed under Hieroglyphic in rapport): Archanes-formula script attribution CH vs LA 'reste problematique'; 3-4 face-gamma signs correspond better to LA; ed.pr. Kadmos 61 paywalled; include only if inventory counts Archanes-formula items as LA,delfreo-rapport,delfreo-rapport,b_acquisition_gap
SA We 4,Samothrace,"Nodulus; footnote observation: presence of klasmatogram A 708 (exclusively LA) on SA We 3 suggests We 4 also bears an LA inscription (AB 08+04 per Olivier, ligature vs 'decorative motif' debate)","Rapport 2016-2021 fn. 14-15, citing Rapport 2001-2005, 208-209",2024,rapport p. 91 fn. 14,partial,open,"Footnote-level attribution note only; item already known; affects LA/CH classification of Samothrace noduli | [younger-pointer] pub: CMS V Suppl. 3 no. 343 (2004), pp. no. 343; Linear A reading doubtful per Younger's own description ('A ?'). CMS open on Arachne.; translit_printed=no per that source",delfreo-rapport,delfreo-rapport;younger-pointer,b_acquisition_gap
(GAP: Rapport 2011-2015),,"PREDECESSOR RAPPORT NOT ACQUIRED — coverage hole for LA finds/editions 2011-2015 (only items resolved later are recapped in Rapport 2016-2021, e.g. PK Za 27, PE <6>, Zominthos, KH 102/104/105 announcements)","M. Del Freo, 'Rapport 2011-2015 sur les textes en ecriture hieroglyphique cretoise, en lineaire A et en lineaire B', in M.-L. Nosch & H. Landenius Enegren (eds), Aegean Scripts. Proceedings of the 14th International Colloquium on Mycenaean Studies, Copenhagen 2-5 September 2015, Incunabula Graeca 105, CNR Edizioni, Rome 2017, vol. 1",2017,vol. 1 (exact pages unverified),no,paywalled,Access path: print purchase CNR Edizioni ~120 EUR (order form at ispc.cnr.it Incunabula Graeca page); author self-archive exists on Academia.edu (doc 17580940) but is LOGIN-GATED = not honest OA; CNR states 12-month-embargo green-OA allowed but no institutional-repository copy found,delfreo-rapport,delfreo-rapport,c_pending_edition
(GAP: Rapport 2006-2010),,"PREDECESSOR RAPPORT NOT ACQUIRED — coverage hole for LA finds/editions 2006-2010 (rapport cites it for KH Wc 2124, KH 102, THE Zb 14/15 numbering, KH Wc 2123)","M. Del Freo, 'Rapport 2006-2010 sur les textes en ecriture hieroglyphique cretoise, en lineaire A et en lineaire B', in P. Carlier et al. (eds), Etudes myceniennes 2010. Actes du XIIIe colloque international sur les textes egeens, Sevres-Paris-Nanterre 20-23 septembre 2010, Biblioteca di Pasiphae 10, Fabrizio Serra, Pisa-Roma 2012",2012,3-21,no,paywalled,"NOTE: 13th colloquium was Sevres/Paris/Nanterre 2010, NOT Austin (Austin was the 11th, 2000) — task brief's 'Austin 2010' corrected; access path: Serra print volume ISBN 9788862274722, ~280 EUR; pages 3-21 per BMCR 2013.01.36",delfreo-rapport,delfreo-rapport,c_pending_edition
(GAP: Rapport 2001-2005),,"PREDECESSOR RAPPORT NOT ACQUIRED — coverage hole for LA finds/editions 2001-2005 (cited in Rapport 2016-2021 at its pp. 200, 207, 208-209, 210 for PYR I (1/1) 02, VRY Zb 2, SA We 4, THE Zb numbering)","M. Del Freo, 'Rapport 2001-2005 sur les textes en ecriture hieroglyphique cretoise, en lineaire A et en lineaire B', in A. Sacconi, M. Del Freo, L. Godart & M. Negri (eds), Colloquium Romanum. Atti del XII colloquio internazionale di micenologia, Roma 20-25 febbraio 2006, Pasiphae 1-2, Fabrizio Serra, Pisa-Roma 2008",2008,(exact pages unverified; internal pp. 199-210+ cited),no,paywalled,Access path: Serra print volumes (Pasiphae 1-2); editor list of Colloquium Romanum reconstructed from standard citations — verify against the volume itself,delfreo-rapport,delfreo-rapport,c_pending_edition
(GAP: Rapport 1991-1995),,"PREDECESSOR RAPPORT NOT ACQUIRED — coverage hole for LA finds/editions 1991-1995 (cited in Rapport 2016-2021 at its pp. 420, 428-429 for PYR Zb 5 original attribution)","J.-P. Olivier, 'Rapport 1991-1995 sur les textes en ecriture hieroglyphique cretoise, en lineaire A et en lineaire B', in S. Deger-Jalkotzy, S. Hiller & O. Panagl (eds), Floreat Studia Mycenaea. Akten des X. Internationalen Mykenologischen Colloquiums, Salzburg 1.-5. Mai 1995, Verlag der OeAW, Vienna 1999",1999,(exact pages unverified; internal pp. 419-429+ cited),no,paywalled,"Author is OLIVIER not Del Freo (pre-Del Freo era of the series); OeAW print; some OeAW volumes now green-OA — unchecked; Rapport 1996-2000 (11th colloquium, Austin 2000) not cited in the 2016-2021 rapport and its publication status is unclear — separate hole, flagged but not cited-verified",delfreo-rapport,delfreo-rapport,c_pending_edition
ARKH Zb,Arkhanes,"clay object (support unspecified), inscription not published",unpublished; listed in Del Freo & Zurbach 2011 (BCH 135),2011,86,no,pending_edition,"Younger (misctexts, 2023 state): 'Inscription not published.'",younger-pointer,younger-pointer,c_pending_edition
ARM Zg 1,Armenoi,sealstone CMS V Suppl. 1B no. 310 (Rethymnon Mus. S.179); sign *301+*311 {*606}; LM II/IIIA context,CMS V Suppl. 1B no. 310; Del Freo & Zurbach 2011 p. 86,1993,no. 310,partial,open,DF&Z: 'doubtful inscription'; Younger: most likely a MM II stamp seal with random lines. CMS digitized open on Arachne; print volume paywalled.,younger-pointer,younger-pointer,b_acquisition_gap
GO Wc 3,Gournia,"disk roundel (ex inv. 12.183), palace room 16, LM IB","Watrous et al., 'Excavations at Gournia 2010-2012', Hesperia 84 (2015)",2015,446-448,yes,paywalled,"Younger prints the roundel text. Sibling GO 2 (same publication, pp. 443-446) already in inventory as GO2r/GO2v. Hesperia on JSTOR; check ASCSA OA portal.",younger-pointer,younger-pointer,b_acquisition_gap
HT Wc 3023,Haghia Triada,"roundel HMs 1177, one seal impression, no sign text, LM IB","Hallager 1996a, The Minoan Roundel (Aegaeum 14), Roundel 2: 33; Del Freo & Zurbach 2011 p. 86",1996,Roundel 2: 33,no,paywalled,No text (seal impression only) - Younger brackets the designation; DF&Z-listed as absent from GORILA. May be legitimately excluded from a sign corpus.,younger-pointer,younger-pointer,c_pending_edition
HT Zf 166,Haghia Triada,"bronze oxhide ingot, Villa space 7, single sign *323","Raison & Pope, Corpus transnumere du lineaire A (2nd ed., BCILL 74)",1994,133,yes,paywalled,"Single sign. GORILA coverage ambiguous: Younger cites only Raison-Pope for Zf 163-167, yet siblings Zf 163-165/168 are in the inventory - verify against GORILA IV before treating as a gap.",younger-pointer,younger-pointer,b_acquisition_gap
HT Zf 167,Haghia Triada,"bronze oxhide ingot, Villa space 7, single sign *308","Raison & Pope, Corpus transnumere du lineaire A (2nd ed., BCILL 74)",1994,134,yes,paywalled,"Same ambiguity as HT Zf 166. (HT Zf 169 excluded: Younger: 'two marks, not Linear A'.)",younger-pointer,younger-pointer,b_acquisition_gap
HT Zg 163,Haghia Triada,"pierced stone weight HTR 1716, MM IIIB-LM IA, single fraction sign F","Militello, 'Un peso (?) con segno inciso da Haghia Triada (HT Zg 163)', ASAtene 66-67 (1988-1989) 163-172; also Perna 2003 (Aegaeum 24) 346, pl. LXVIIIi",1988-1989,163-172,yes,paywalled,Inventory has no HT Zg series at all.,younger-pointer,younger-pointer,b_acquisition_gap
KAST Wy 1,Kastelli,nodulus (Wy),"unpublished; 'Rapport 2001-2005', 203-204 (per Younger); Del Freo & Zurbach 2011 p. 87: unpublished",,203-204,no,pending_edition,Venue of the 'Rapport' not resolvable from the archived pages (cf. Del Freo rapport series); no text printed.,younger-pointer,younger-pointer,c_pending_edition
KE 6,Kea (Ayia Irini),tablet fragment,"Caskey 1970, p. 109, fig. 2.2, pl. 1.2a-b (venue not stated on archived page; Caskey's Kea inscriptions paper = Kadmos 9?); Del Freo & Zurbach 2011 p. 87",1970,109,no,paywalled,DF&Z call it 'uninscribed fragment of a tablet'; Younger cross-references KE Zb 6 (already in inventory) 'immediately below' - possible duplicate identity. Ambiguous.,younger-pointer,younger-pointer,c_pending_edition
KE Zb 8,Kea (Ayia Irini),"clay disc Kea Mus. 283, single sign WE or fraction D","no formal Linear A edition cited; Petruso, Keos VIII (1992) p. 64 discusses it as a balance weight (per Younger)",1992,64,partial,pending_edition,Listed unnumbered ('KE Zb') in misctexts; numbered KE Zb 8 on Younger's main page (single-sign 'non-inscription' he includes anyway).,younger-pointer,younger-pointer,c_pending_edition
KH 93,Khania,"page tablet KH Mus. 93, House II?","Hallager, 'New Evidence of Linear A Archives from Khania', Kadmos 25 (1986) 115; Del Freo & Zurbach 2011 p. 87",1986,115,no,paywalled,DF&Z: 'uninscribed fragment of a tablet'. Sibling KH 92 (same article) is in inventory.,younger-pointer,younger-pointer,c_pending_edition
KH 96,Khania,"page tablet, LM IB","Hallager, Vlasakis & Markoulakis, 'New and Hitherto Unpublished Linear A Documents from Kastelli, Khania', Kadmos 30 (1991) 39-40",1991,39-40,yes,paywalled,"Siblings KH 94/95 (same article) are in inventory; KH 96 is not. | [sigla] pub: SigLA database entry (2026); ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.; translit_printed=partial per that source; accessibility=open per that source",younger-pointer,younger-pointer;sigla,b_acquisition_gap
KH Wc 2074,Khania,"roundel (Katre archive), LM IB, vestigia only","Hallager 1996a, The Minoan Roundel (Aegaeum 14), Roundel 2: 112; Del Freo & Zurbach 2011 p. 88",1996,Roundel 2: 112,partial,paywalled,'vest.' only per Younger; sibling KH Wc 2079 in inventory.,younger-pointer,younger-pointer,b_acquisition_gap
KH Wc 2121,Khania,"roundel, vestigia only","Hallager 1996a, The Minoan Roundel (Aegaeum 14), Roundel 2: 155; Del Freo & Zurbach 2011 p. 88",1996,Roundel 2: 155,partial,paywalled,'vest.' only; siblings KH Wc 2122-2124 in inventory.,younger-pointer,younger-pointer,b_acquisition_gap
KH Wn 1501-1557,Khania,"noduli series from the Katre archive (57 items, range statement only)","publication ambiguous: adjacent KH Wa/Wc Katre series cite GORILA III; cf. Hallager 2002, 'One Linear A Tablet and 45 Noduli', Creta Antica 3: 105-109",,,no,open,AMBIGUOUS: Younger states the range but gives no per-item entries or texts on the archived page; inventory contains NO 'KH Wn' items. Verify GORILA III / CMS V Suppl. 1A coverage and whether the noduli carry Linear A signs at all before treating as a 57-item gap.,younger-pointer,younger-pointer,c_pending_edition
KN Wb 50,Knossos,"nodule HMs 1236 (findspot unknown), single sign *301 + seal impression","Hallager 1995, Proceedings of the Danish Institute at Athens 1, 9-10, fig. 1; Del Freo & Zurbach 2011 p. 88",1995,9-10,partial,open,DF&Z cite it s.n. KN Wa 50. PDIA vol. 1 is OA on the Danish Institute site (best assessment).,younger-pointer,younger-pointer,b_acquisition_gap
KN Wb 51,Knossos,"nodule HMs 369 (findspot unknown), face a single dot; ring impression battle scene","Hallager 1995, Proceedings of the Danish Institute at Athens 1, 10-11, fig. 3; Del Freo & Zurbach 2011 p. 88",1995,10-11,partial,open,"Sign content minimal (dot); inclusion in a sign corpus questionable - noted, not assumed.",younger-pointer,younger-pointer,b_acquisition_gap
KN Zb 57,Knossos,"jug, MM IIIB context, reading PO-ZU-QI","Kanta 2018, in Crete Emerging Cities: Aptera-Eleutherna-Knossos (exhibition catalogue, Athens), p. 278 no. 56",2018,278,yes,paywalled,Exhibition catalogue (print).,younger-pointer,younger-pointer,b_acquisition_gap
"KN Zb (unnumbered, Brice KN Z 36)",Knossos,sherd,"Brice, CTLA (1961), 238 s.n. KN Z 36; Del Freo & Zurbach 2011 p. 89",1961,238,partial,paywalled,"AMBIGUOUS: Younger lists it adjacent to KN Zb 56 (in inventory), which Raison-Pope also equate with Brice KN Z 36 - possibly the same object; verify identity before counting as a gap.",younger-pointer,younger-pointer,b_acquisition_gap
KN Ze (unnumbered),Knossos,monumental stone inscription,"Hood, 'A Monumental Linear Inscription from Knossos', Kadmos 36 (1997) 111-117, fig. 1, pl. 1; Del Freo & Zurbach 2011 p. 89",1997,111-117,partial,paywalled,DF&Z: '?doubtful document'.,younger-pointer,younger-pointer,b_acquisition_gap
KN Zg (no no.),Knossos (Little Palace),"black steatite amygdaloid, 4 small signs at top","Brice 1961, 24 s.n. V.12; CMS II 3 no. 23; Del Freo & Zurbach 2011 p. 89",1961,24,partial,open,"AMBIGUOUS: same CMS number (II 3, 23) as KN Zg 58, which Younger reclassifies as Hieroglyphic ('see Hiero seals additions') - likely one object with disputed script. CMS open on Arachne.",younger-pointer,younger-pointer,b_acquisition_gap
MA Zb (no. unknown),Malia,"globular jug MA Mus. Strat. P89P33, *405VAS+K","Perna, 'Ideograms of Vases and Fractions in Linear A Script', METRON (Aegaeum 24, 2003) 346, pl. LXVIIIg",2003,346,yes,paywalled,No corpus number assigned; sibling MA Zb 15 in inventory. Some older Aegaeum volumes are OA via ULiege - check.,younger-pointer,younger-pointer,b_acquisition_gap
MO Zb 2,Mochlos,"pottery fragment incised with Linear A, Block C LM I houses","unpublished; mentioned by Brogan, Kentro 10 (Winter 2007-2008) 3",2008,3,no,pending_edition,"One of two fragments, one bearing the OLE sign; the Kentro newsletter itself is OA (INSTAP), but it is a mention, not an edition.",younger-pointer,younger-pointer,c_pending_edition
MO Zb 3,Mochlos,"pottery fragment incised with Linear A, Block C LM I houses","unpublished; mentioned by Brogan, Kentro 10 (Winter 2007-2008) 3",2008,3,no,pending_edition,See MO Zb 2.,younger-pointer,younger-pointer,c_pending_edition
MO Zb 4,Mochlos,support unspecified,unpublished; mentioned in Del Freo & Zurbach 2011 p. 90,2011,90,no,pending_edition,Younger: 'also unpublished'.,younger-pointer,younger-pointer,c_pending_edition
MY Zf 2,Mycenae,"flange attaching handle to bronze cauldron, Shaft Grave IV (NMA 576)","Palaima, 'The Inscribed Bronze Kessel from Shaft Grave IV...', in Duhoux (ed.), Briciaka: A Tribute to W.C. Brice (Cretan Studies 9, 2003) 187-201",2003,187-201,yes,paywalled,"AMBIGUOUS GORILA status: Younger cites only Palaima 2003 (sibling MY Zf 1 is in inventory); verify against GORILA IV before treating as a gap. | [sigla] pub: SigLA database entry (2026); ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.; translit_printed=partial per that source; accessibility=open per that source",younger-pointer,younger-pointer;sigla,b_acquisition_gap
PETS Wc (no no.),Petsophas,"roundel, found Fall 1993",unpublished,1993,,no,pending_edition,Younger: '(unpublished)'; no text printed.,younger-pointer,younger-pointer,c_pending_edition
PH Wb 55,Phaistos,"sealing HM 676, Vano LI, MM II context, vestigia only",no edition cited by Younger; seal impression = CMS II 5 no. 167,,,no,open,AMBIGUOUS: Younger cites no edition (adjacent PH W-series entries cite GORILA II) - unclear whether absent from GORILA or an oversight. 'vest.' only. CMS open on Arachne.,younger-pointer,younger-pointer,c_pending_edition
PH Wc 52,Phaistos,"roundel HM 689 (CMS II 5, 300), Vano 25, MM II; VIN 6","Hallager, Proceedings of the Danish Institute at Athens 1 (1995) 11",1995,11,yes,open,PDIA 1 OA (best assessment). Inventory PH Wc series stops at 46.,younger-pointer,younger-pointer,a_ingestible
"PK Zb (unnumbered, AIA 2004)",Palaikastro,"pithos sherd, written retrograde, A-PA3-DI[","unpublished; presented at the AIA annual meeting, 3 January 2004 (per Younger)",2004,,no,pending_edition,Younger prints a provisional reading only.,younger-pointer,younger-pointer,c_pending_edition
"PK Zb (unnumbered, Hood 1964)",Palaikastro (?),"conical cup fragment, signs RE B","Hood 1964 (Younger's bibliography lists only: 'Inscribed Cup from a Late Minoan I B Deposit at Knossos', Kadmos 3 (1964) 111-113)",1964,111-113,partial,paywalled,AMBIGUOUS: entry sits under Palaikastro but the only Hood 1964 in Younger's bibliography is a Knossos cup - site attribution unresolved; absent from GORILA per Younger's citation practice.,younger-pointer,younger-pointer,b_acquisition_gap
PSE Zb 1,Pseira,"pithos shoulder fragment PS 4370, LM IB, *188-DU-SE[","Floyd, 'Fragments from Two Pithoi with Linear A Inscriptions from Pseira', Kadmos 34 (1995) 39-48",1995,39-48,yes,paywalled,Not to be confused with inventory PSIZa1/PSZa2 (Psykhro). Kadmos = De Gruyter.,younger-pointer,younger-pointer,b_acquisition_gap
PSE Zb 2,Pseira,"pithos rim fragment PS 4163, LM IB","Floyd, Kadmos 34 (1995) 39-48",1995,39-48,partial,paywalled,Younger prints only a dot + [ - minimal sign content.,younger-pointer,younger-pointer,b_acquisition_gap
SA Wc 1,Samothrace (Mikro Vouni),"roundel: Linear A KA flanking a ladder design, plus Hieroglyphic A-SA",CMS V Suppl. 1B no. 326,1993,no. 326,partial,open,Mixed Hieroglyphic/Linear A document. Series sibling SA Wa 1 is in inventory as SAMWa1 - normalize SA <-> SAM. CMS open on Arachne.,younger-pointer,younger-pointer,b_acquisition_gap
SA Wc 2,Samothrace (Mikro Vouni),roundel impressed by lentoid + Hieroglyphic cushion seals; face: S-spiral + Hieroglyphic A-SA,CMS V Suppl. 1B no. 325 (seals nos. 322-324),1993,no. 325,no,open,"Linear A content doubtful (impressions Hieroglyphic; face motif a spiral) - listed by Younger, flagged here for completeness only.",younger-pointer,younger-pointer,c_pending_edition
THE tab. 6,Thera (Akrotiri D18),"page tablet fragment, Museum of Prehistoric Thera 8366, LM IA; ]10[ / ]TELA+SE ]200[","Boulotis, 'Les nouveaux documents en lineaire A d'Akrotiri (Thera): remarques preliminaires', BCH 122 (1998) 407-411",1998,407-411,partial,open,Division into 'tablet 5/tablet 6' is Younger's own (all under museum inv. 8366); inventory has THEtab.4/THEtab.5 from the same find but not 6. BCH 122 is on Persee (OA).,younger-pointer,younger-pointer,b_acquisition_gap
THE Zb 11,Thera (Akrotiri),"pithos from the House of the Ladies, 4 signs (reading incl. VIN+TE 120)","unpublished: Bennett & Owens (n.d.); Karnava, 'Horizons' conference paper forthcoming (per Younger, 2023 state)",,,no,pending_edition,Younger prints a provisional reading; primary edition pending - check whether Karnava's paper has appeared since Aug 2023.,younger-pointer,younger-pointer,c_pending_edition
ZA Wa 38,Zakros,"nodule HM 32/1, single sign *301 + seal impression CMS II 7 no. 23","Hallager 1995, Proceedings of the Danish Institute at Athens 1, 12, fig. 9",1995,12,partial,open,Siblings ZA Wa 36 / ZA Wb 37 (Weingarten 1983) are in inventory.,younger-pointer,younger-pointer,b_acquisition_gap
ZA Zb (unnumbered),Zakros,support unspecified,unpublished; listed in Del Freo & Zurbach 2011 p. 93,2011,93,no,pending_edition,Younger: '(unpublished)'.,younger-pointer,younger-pointer,c_pending_edition
ARKH 7,Arkhanes,tablet,SigLA database entry,2026,,yes,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap.",sigla,sigla,a_ingestible
